ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,VIDA_NL,ESO,LIBERAL,PESNL,JUSTICIALISTA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
19,NUEVO LEON,1,MONTERREY,67,265,266,7257,20815,1371,5821,4489,20275,16281,4760,652,417,162,270,82570,27,4270,86867,177073,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,2,MONTERREY,125,340,342,13304,17827,945,4449,12965,27080,23238,5897,1433,1525,330,349,109342,30,5827,115199,205422,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,3,MONTERREY,105,298,299,51518,20759,1761,2080,1725,29190,13800,4372,974,784,211,389,127563,76,2485,130124,182258,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,4,SALINAS VICTORIA,58,216,218,5376,1711,433,5377,3422,29397,12419,1282,0,978,214,297,60906,24,2413,63343,138069,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,5,APODACA,102,259,260,12411,24193,1148,2317,1409,19197,18722,1156,418,366,199,218,81754,35,2256,84045,147996,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,6,MONTERREY,334,436,438,24771,22391,1372,3023,2361,34485,23745,6177,1304,795,361,423,121208,36,4454,125698,213595,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,7,APODACA,110,272,273,8979,30547,1306,2510,2054,16940,22032,1234,541,659,168,179,87149,23,2905,90077,166023,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,8,MONTERREY,103,303,304,43302,21582,1691,2010,1268,26099,12985,3425,520,613,203,326,114024,49,3172,117245,185015,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,9,SAN NICOLAS DE LOS GARZA,113,288,289,32915,6064,746,3290,2479,30968,23008,1628,532,570,210,209,102619,20,4146,106785,175778,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,10,SAN NICOLAS DE LOS GARZA,129,309,310,46581,7558,1012,2620,2264,34779,19983,1876,461,477,304,316,118231,33,3350,121614,184596,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,11,PESQUERIA,123,270,271,16006,5239,384,7399,3210,29110,13839,614,0,274,266,85,76426,29,3327,79782,157424,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,12,GARCIA,62,211,212,1518,1310,292,10504,1410,12762,23370,1531,307,2672,184,73,55933,14,1937,57884,132911,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,13,GUADALUPE,80,282,283,10947,9896,669,4355,2612,28667,29072,4303,406,477,303,707,92414,47,4096,96557,183060,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,14,GUADALUPE,86,286,288,13534,8739,748,3884,2712,32438,27596,2625,376,741,282,246,93921,35,3930,97886,176447,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,15,GUADALUPE,144,328,329,28388,13598,1155,5178,2147,36177,27736,2424,587,953,242,651,119236,144,3774,123154,193694,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,16,APODACA,101,283,284,12319,26125,1217,2790,2647,23425,23483,1521,505,481,249,282,95044,32,3229,98305,170169,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,17,GRAL. ESCOBEDO,72,278,279,13057,6216,784,4593,4597,25907,29822,1955,631,914,301,781,89558,58,3846,93462,179292,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,18,SAN PEDRO GARZA GARCIA,93,292,294,61544,7410,1070,2649,2133,21075,14385,1631,292,568,226,168,113151,28,3134,116313,181767,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,19,SANTA CATARINA,76,259,260,31294,3980,819,2433,1752,33261,17611,969,290,501,583,166,93659,39,2938,96636,166987,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,20,GARCIA,82,197,198,8514,3347,385,7166,1914,15742,17044,2292,449,645,256,129,57883,27,1416,59326,115026,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,21,CIENEGA DE FLORES,127,298,301,21312,4795,632,7894,2996,26850,16663,1528,526,258,293,113,83860,13,3163,87036,169929,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,22,JUAREZ,80,245,245,2801,13590,519,2245,1424,25716,17516,1164,443,373,206,121,66118,16,2484,68618,148278,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,23,JUAREZ,91,253,254,2592,13326,518,2378,2748,28554,18942,1009,602,547,137,136,71489,35,2296,73820,154578,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,24,LINARES,194,392,395,16530,38912,852,4519,2238,32886,27141,714,2054,345,224,97,126512,8,6241,132761,211740,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,25,GRAL. ESCOBEDO,98,274,276,11338,5083,575,3404,5246,21346,21828,1820,346,400,207,360,71953,34,2883,74870,166068,https://www.ieepcnl.mx/info/procesos/2024/actas/
19,NUEVO LEON,26,CADEREYTA JIMENEZ,122,306,308,18678,10311,809,4457,2999,24422,20190,656,1940,612,197,135,85406,25,3896,89327,182654,https://www.ieepcnl.mx/info/procesos/2024/actas/
