CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PUP,NAO,FXMO,MUJER,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,C_PAN_PRI_1,C_PAN_PRD_1,C_PAN_PRD_PUP,C_PAN_PRD_2,C_PAN_PUP,C_PRD_PUP,C_PAN_PRD_NAO,C_PAN_PRD_3,C_PAN_NAO,C_PRD_NAO,C_PRI_PRD_1,C_PRD_PUP_1,C_PRD_NAO_1,C_PVEM_MORENA_NAO_FXMO,C_PVEM_MORENA_NAO,C_PVEM_MORENA_FXMO,C_PVEM_NAO_FXMO,C_MORENA_NAO_FXMO,C_PVEM_MORENA,C_PVEM_NAO,C_PVEM_FXMO,C_MORENA_NAO,C_MORENA_FXMO,C_NAO_FXMO,C_PVEM_MORENA_NAO_1,C_PVEM_MORENA_1,C_PVEM_NAO_1,C_MORENA_NAO_1,C_PVEM_MORENA_2,C_PVEM_MORENA_FXMO_1,C_PVEM_MORENA_3,C_PVEM_FXMO_1,C_MORENA_FXMO_1,C_PVEM_NAO_2,C_PVEM_FXMO_2,C_PT_PUP_NAO,C_PT_PUP,C_PT_NAO,C_PUP_NAO,C_PT_PUP_1,C_PT_NAO_1,C_MORENA_NAO_FXMO_1,C_MORENA_NAO_2,C_MORENA_FXMO_2,C_NAO_FXMO_1,C_MORENA_NAO_3,C_MORENA_FXMO_3,C_PUP_NAO_FXMO,C_PUP_NAO_1,C_PUP_FXMO,C_NAO_FXMO_2,C_PUP_NAO_2,C_PUP_FXMO_1,C_NAO_FXMO_3,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,2,B,1,0,B,0,0,60,4,13,66,1,286,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,1,21,461,652,ACTA CASILLA,,,
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,3,B,1,0,B,0,0,31,1,15,53,2,259,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,12,378,560,GRUPO DE RECUENTO,,,
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,3,C,1,0,C01,0,0,33,1,12,46,7,259,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,17,383,560,ACTA CASILLA,,,
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,3,C,2,0,C02,0,0,39,1,14,34,2,270,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,15,381,560,GRUPO DE RECUENTO,,,
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,4,B,1,0,B,0,0,53,3,7,39,4,229,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,24,368,591,GRUPO DE RECUENTO,,,
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,4,C,1,0,C01,0,0,56,0,12,44,3,202,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,1,11,338,591,ACTA CASILLA,,,
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,4,C,2,0,C02,0,0,47,5,12,35,5,209,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,19,338,590,ACTA CASILLA,,,
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,5,B,1,0,B,0,0,44,3,40,51,5,253,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,0,20,429,666,GRUPO DE RECUENTO,,,
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,5,S,1,0,S01,0,0,7,1,1,10,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,3,51,0,ACTA CASILLA,,,
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,2,ACATLAN DE PEREZ FIGUEROA,6,B,1,0,B,0,0,21,5,42,22,8,252,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,0,22,380,553,ACTA CASILLA,,,
