ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PUP,NAO,FXMO,MUJER,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,33,65,65,,1383,179,1341,3291,442,13757,158,88,236,,,,,,,,,20875,6,1140,22021,32348,
20,OAXACA,5,ASUNCION CUYOTEPEJI,1,2,2,252,,,7,2,,56,,257,1,7,,,,,,,,582,0,17,599,843,
20,OAXACA,6,ASUNCION IXTALTEPEC,14,26,27,,,,1798,1378,2887,2999,,8,46,40,,,,,,,,9156,0,261,9417,12490,
20,OAXACA,7,ASUNCION NOCHIXTLAN,8,27,27,1285,125,314,583,2589,,3458,325,1210,83,266,,,,,,,,10238,4,391,10633,15047,
20,OAXACA,8,ASUNCION OCOTLAN,3,5,5,,58,,400,,10,275,,344,28,213,,,,,,,,1328,1,120,1449,2444,
20,OAXACA,11,AYOTZINTEPEC,3,10,10,18,1291,,,,27,1077,,154,630,,,,,,,,,3197,2,168,3367,5303,
20,OAXACA,15,CHAHUITES,7,15,15,,,,167,812,1174,2479,,,493,,,,,,,,,5125,0,178,5303,8733,
20,OAXACA,16,CHALCATONGO DE HIDALGO,7,14,15,,156,126,711,832,1020,731,,180,153,177,,,,,,,381,4467,21,267,4755,6906,
20,OAXACA,17,CIENEGA DE ZIMATLAN,2,4,4,,447,,218,216,6,61,,,752,3,,,,,,,,1703,4,80,1787,2607,
20,OAXACA,41,CIUDAD IXTEPEC,17,42,43,82,429,37,1852,6220,1835,3614,23,24,69,91,,,,,,,,14276,2,411,14689,23172,
20,OAXACA,24,COSOLAPA,10,17,17,64,70,15,1221,81,785,2281,38,24,108,1560,,,,,,,,6247,1,413,6661,9658,
20,OAXACA,26,CUILAPAM DE GUERRERO,7,33,33,2254,2008,202,1214,377,3031,3155,66,116,112,122,131,,,,,,,12788,7,544,13339,20517,
