ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PUP,NAO,FXMO,MUJER,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,PVEM_MORENA_FXMO,PVEM_MORENA,PVEM_FXMO,MORENA_FXMO,C_PVEM_FXMO,PT_PUP,PT_NAO,PUP_NAO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,107,231,232,1063,7489,303,9521,7963,8896,38366,340,3644,3231,1195,43,40,2,8,0,0,0,0,0,0,0,0,93,0,0,0,82197,6,4114,86317,115442,
20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,77,202,203,2204,1866,683,3692,10867,4272,37276,1563,3804,595,829,0,0,0,0,112,34,9,2,0,0,0,0,0,0,0,0,67808,73,3495,71376,113998,
20,OAXACA,3,LOMA BONITA,91,217,218,4105,3104,5298,10899,3080,4780,32568,368,2314,736,688,81,65,15,17,0,0,0,0,0,0,0,0,0,0,0,0,68118,6,3356,71480,108477,
20,OAXACA,4,TEOTITLAN DE FLORES MAGON,134,276,277,1730,11440,5078,3714,9944,1990,31119,1099,3314,934,1157,306,127,29,120,0,0,0,0,32,374,12,27,0,0,0,0,72546,78,5845,78469,127928,
20,OAXACA,5,ASUNCION NOCHIXTLAN,157,269,270,2048,5276,1645,4461,7094,1937,30999,2893,2558,737,1024,121,66,14,21,0,0,0,0,94,395,17,21,0,0,0,0,61421,22,3754,65197,109208,
20,OAXACA,6,HEROICA CIUDAD DE HUAJUAPAN DE LEON,174,298,300,9651,7382,742,3602,5880,3856,35771,854,3045,2849,994,246,281,13,13,0,0,0,0,186,464,25,86,0,0,0,0,75940,106,4428,80474,140209,
20,OAXACA,7,PUTLA VILLA DE GUERRERO,108,239,240,844,4218,3081,6903,8965,1968,27553,727,846,843,2107,68,18,8,20,0,0,0,0,74,353,18,30,0,0,0,0,58644,52,8996,67692,120391,
20,OAXACA,8,HEROICA CIUDAD DE TLAXIACO,122,252,253,687,3295,1240,4427,17001,1995,28333,1855,760,2158,1271,65,27,6,10,0,0,0,0,80,388,16,61,0,0,0,0,63675,60,4838,68573,122017,
20,OAXACA,9,IXTLAN DE JUAREZ,120,242,244,2094,4346,579,3658,7141,2286,29848,1468,432,455,1628,231,73,8,13,0,0,0,0,210,400,16,13,0,0,0,0,54899,52,3644,58595,113086,
20,OAXACA,10,SAN PEDRO Y SAN PABLO AYUTLA,94,239,240,1080,2585,922,2864,10177,1161,25829,495,2125,290,2138,71,42,7,12,0,0,0,0,27,195,10,6,0,0,0,0,50036,11,5101,55148,110898,
20,OAXACA,11,MATIAS ROMERO,104,220,221,1668,4285,617,5620,10829,4499,33448,252,1264,1326,1346,144,36,6,14,0,0,0,0,52,282,18,53,0,22,0,0,65781,42,3520,69343,113148,
20,OAXACA,12,SANTA LUCIA DEL CAMINO,109,267,268,8476,9696,1060,7699,4988,11087,40155,1908,1547,1483,5068,596,164,14,14,0,0,0,0,147,677,25,41,0,0,0,0,94845,102,5001,99948,157209,
20,OAXACA,13,OAXACA DE JUAREZ,102,253,255,7903,10087,1224,9391,4352,8417,34830,1775,1583,1226,4112,565,197,16,18,0,0,0,0,138,739,31,31,0,0,0,0,86635,94,4311,91040,146399,
20,OAXACA,14,VILLA DE ETLA,54,180,181,2716,5717,1328,5299,6122,4076,25186,885,1534,1101,5657,333,71,15,22,0,0,0,0,147,474,39,28,0,0,50,0,60800,37,3714,64551,111791,
20,OAXACA,15,SANTA CRUZ XOXOCOTLAN,49,217,218,3969,7547,1123,9411,5803,7289,37670,2287,6980,1111,2666,420,106,21,11,0,0,0,0,113,544,23,44,0,0,0,0,87138,38,5177,92353,141486,
20,OAXACA,16,ZIMATLAN DE ALVAREZ,90,212,214,1354,3538,1021,6232,9365,2475,24543,776,633,1506,801,120,40,11,12,0,0,0,0,259,290,21,44,0,0,0,0,53041,17,4152,57210,107431,
20,OAXACA,17,TLACOLULA DE MATAMOROS,80,204,205,2052,3240,646,5490,7124,4947,24317,729,754,691,1059,90,68,12,12,0,0,0,0,37,298,15,17,0,0,0,0,51598,33,3862,55493,111710,
20,OAXACA,18,SANTO DOMINGO TEHUANTEPEC,106,235,236,859,3627,419,13221,7627,2530,36286,693,718,685,994,91,30,2,5,0,0,0,0,70,432,12,24,0,0,0,0,68325,27,3769,72121,118227,
20,OAXACA,19,CIUDAD IXTEPEC,89,228,230,1313,4971,522,13156,16421,5388,36961,767,364,654,1244,93,29,4,6,0,0,0,0,0,0,0,0,23,0,0,0,81916,35,3975,85926,132104,
