ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PVEM,PT,MC,MORENA,PUP,NAO,FXMO,MUJER,PAN_PRI_PRD,C_PAN_PRI_PRD,PVEM_MORENA_FXMO,C_PVEM_FXMO,PT_PUP,PT_NAO,PUP_NAO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,107,231,232,,7963,8896,38366,340,3644,,1195,8948,,,12845,,,,82197,6,4114,86317,115442,
20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,77,202,203,3692,10867,4272,37276,1563,3804,595,829,,4910,,,,,,67808,73,3495,71376,113998,
20,OAXACA,3,LOMA BONITA,91,217,218,10899,3080,4780,32568,368,2314,736,688,12685,,,,,,,68118,6,3356,71480,108477,
20,OAXACA,4,TEOTITLAN DE FLORES MAGON,134,276,277,,9944,1990,,1099,3314,,1157,18830,,36212,,,,,72546,78,5845,78469,127928,
20,OAXACA,5,ASUNCION NOCHIXTLAN,157,269,270,,7094,1937,,2893,2558,,1024,9191,,36724,,,,,61421,22,3754,65197,109208,
20,OAXACA,6,HEROICA CIUDAD DE HUAJUAPAN DE LEON,174,298,300,,5880,3856,,854,3045,,994,18328,,42983,,,,,75940,106,4428,80474,140209,
20,OAXACA,7,PUTLA VILLA DE GUERRERO,108,239,240,,8965,1968,,727,846,,2107,8257,,35774,,,,,58644,52,8996,67692,120391,
20,OAXACA,8,HEROICA CIUDAD DE TLAXIACO,122,252,253,,17001,1995,,1855,760,,1271,5330,,35463,,,,,63675,60,4838,68573,122017,
20,OAXACA,9,IXTLAN DE JUAREZ,120,242,244,,7141,2286,,1468,432,,1628,7344,,34600,,,,,54899,52,3644,58595,113086,
20,OAXACA,10,SAN PEDRO Y SAN PABLO AYUTLA,94,239,240,,10177,1161,,495,2125,,2138,4719,,29221,,,,,50036,11,5101,55148,110898,
20,OAXACA,11,MATIAS ROMERO,104,220,221,,,4499,,,1264,,1346,6770,,40799,,11103,,,65781,42,3520,69343,113148,
20,OAXACA,12,SANTA LUCIA DEL CAMINO,109,267,268,,4988,11087,,1908,1547,,5068,20020,,50227,,,,,94845,102,5001,99948,157209,
20,OAXACA,13,OAXACA DE JUAREZ,102,253,255,,4352,8417,,1775,1583,,4112,20010,,46386,,,,,86635,94,4311,91040,146399,
20,OAXACA,14,VILLA DE ETLA,54,180,181,,,4076,,885,,,5657,10202,,32274,,,7706,,60800,37,3714,64551,111791,
20,OAXACA,15,SANTA CRUZ XOXOCOTLAN,49,217,218,,5803,7289,,2287,6980,,2666,13197,,48916,,,,,87138,38,5177,92353,141486,
20,OAXACA,16,ZIMATLAN DE ALVAREZ,90,212,214,,9365,2475,,776,633,,801,6096,,32895,,,,,53041,17,4152,57210,107431,
20,OAXACA,17,TLACOLULA DE MATAMOROS,80,204,205,,7124,4947,,729,754,,1059,6120,,30865,,,,,51598,33,3862,55493,111710,
20,OAXACA,18,SANTO DOMINGO TEHUANTEPEC,106,235,236,,7627,2530,,693,718,,994,5033,,50730,,,,,68325,27,3769,72121,118227,
20,OAXACA,19,CIUDAD IXTEPEC,89,228,230,,16421,5388,36961,767,364,,1244,6938,,,13833,,,,81916,35,3975,85926,132104,
20,OAXACA,20,JUCHITAN DE ZARAGOZA,91,219,221,,4946,4672,,1297,618,,1228,4355,,57125,,,,,74241,39,3441,77721,123365,
20,OAXACA,21,OCOTLAN DE MORELOS,98,225,227,,7352,5325,,1507,1412,,2031,7859,,39711,,,,,65197,49,4654,69900,128362,
20,OAXACA,22,SANTIAGO PINOTEPA NACIONAL,105,252,253,,7129,2529,,2558,6120,,838,16804,,47165,,,,,83143,65,4056,87264,135796,
20,OAXACA,23,PUERTO ESCONDIDO,69,224,225,,12155,1052,,,,,857,17318,,32041,,,,1713,65136,36,3921,69093,127642,
20,OAXACA,24,MIAHUATLAN DE PORFIRIO DIAZ,121,269,270,,4519,1670,,9987,757,,1251,6704,,37866,,,,,62754,55,4804,67613,136754,
20,OAXACA,25,SAN PEDRO POCHUTLA,83,249,251,,12084,4932,,1092,2392,,1011,9546,,44239,,,,,75296,21,5117,80434,138908,
