ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PUP,NAO,FXMO,MUJER,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,0,VOTO EN EL EXTRANJERO,0,0,6,328,119,42,125,262,75,4320,35,18,15,71,5410,12,215,5637,7810,
20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,107,231,234,1101,7533,322,9578,7974,8900,38434,340,3647,3278,1200,82307,6,4116,86429,115442,
20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,77,202,206,2308,1957,732,3739,10925,4318,37709,1578,3818,598,847,68529,75,3539,72143,113998,
20,OAXACA,3,LOMA BONITA,91,217,219,4176,3181,5346,10908,3091,4790,32657,371,2315,737,691,68263,6,3365,71634,108477,
20,OAXACA,4,TEOTITLAN DE FLORES MAGON,134,276,280,1927,11726,5277,3954,10006,2026,31681,1110,3326,968,1177,73178,78,5876,79132,127928,
20,OAXACA,5,ASUNCION NOCHIXTLAN,157,269,271,2139,5376,1706,4714,7114,1954,31350,2900,2564,791,1033,61641,24,3771,65436,109208,
20,OAXACA,6,HEROICA CIUDAD DE HUAJUAPAN DE LEON,174,298,303,9925,7661,844,3952,5921,3931,36658,863,3062,2995,1012,76824,106,4480,81410,140209,
20,OAXACA,7,PUTLA VILLA DE GUERRERO,108,239,244,912,4295,3137,7147,9022,2006,28119,733,858,900,2120,59249,54,9042,68345,120391,
20,OAXACA,8,HEROICA CIUDAD DE TLAXIACO,122,252,256,740,3372,1278,4691,17080,2046,28988,1874,772,2234,1297,64372,64,4888,69324,122017,
20,OAXACA,9,IXTLAN DE JUAREZ,120,242,246,2239,4519,673,3969,7237,2329,30460,1474,435,549,1644,55528,52,3684,59264,113086,
20,OAXACA,10,SAN PEDRO Y SAN PABLO AYUTLA,94,239,242,1139,2648,957,2992,10208,1175,26000,502,2146,308,2148,50223,11,5119,55353,110898,
20,OAXACA,11,MATIAS ROMERO,104,220,222,1758,4386,676,5798,10894,4515,33738,267,1269,1378,1351,66030,42,3552,69624,113148,
20,OAXACA,12,SANTA LUCIA DEL CAMINO,109,267,273,8783,10021,1276,8137,5016,11149,40908,1910,1549,1576,5082,95407,104,5046,100557,157209,
20,OAXACA,13,OAXACA DE JUAREZ,102,253,258,8250,10479,1443,9918,4413,8504,35828,1789,1593,1311,4142,87670,95,4384,92149,146399,
20,OAXACA,14,VILLA DE ETLA,54,180,182,2894,5919,1463,5644,6184,4119,25769,893,1562,1191,5684,61322,37,3750,65109,111791,
20,OAXACA,15,SANTA CRUZ XOXOCOTLAN,49,217,219,4173,7748,1279,9734,5803,7289,38014,2287,6985,1182,2666,87160,38,5177,92375,141486,
20,OAXACA,16,ZIMATLAN DE ALVAREZ,90,212,216,1446,3630,1080,6511,9424,2530,25073,785,636,1628,820,53563,18,4177,57758,107431,
20,OAXACA,17,TLACOLULA DE MATAMOROS,80,204,208,2162,3375,697,5733,7226,5013,24980,736,758,730,1098,52508,34,3887,56429,111710,
20,OAXACA,18,SANTO DOMINGO TEHUANTEPEC,106,235,239,937,3716,460,13517,7669,2559,36897,709,727,734,1012,68937,30,3774,72741,118227,
20,OAXACA,19,CIUDAD IXTEPEC,89,228,233,1394,5084,561,13243,16504,5427,37421,771,369,669,1255,82698,35,4017,86750,132104,
20,OAXACA,20,JUCHITAN DE ZARAGOZA,91,219,224,659,3214,545,12524,4991,4723,43745,1302,622,1386,1272,74983,40,3490,78513,123365,
20,OAXACA,21,OCOTLAN DE MORELOS,98,225,231,3068,4201,779,10349,7476,5425,29015,1543,1432,1395,2099,66782,49,4772,71603,128362,
20,OAXACA,22,SANTIAGO PINOTEPA NACIONAL,105,252,254,1862,3639,11362,13639,7145,2548,32337,2569,6127,1402,848,83478,66,4076,87620,135796,
20,OAXACA,23,PUERTO ESCONDIDO,69,224,228,1921,14257,1296,3364,12209,1086,28528,924,799,478,875,65737,36,3959,69732,127642,
20,OAXACA,24,MIAHUATLAN DE PORFIRIO DIAZ,121,269,272,1701,4491,604,4769,4591,1721,33136,10026,759,722,1275,63795,56,4838,68689,136754,
20,OAXACA,25,SAN PEDRO POCHUTLA,83,249,255,3432,4166,2136,13193,12181,5031,30938,1111,2402,948,1031,76569,22,5157,81748,138908,
