ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PUP,NAO,FXMO,MUJER,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_PAN_PRI,C_PAN_PRD,C_PRI_PRD,PVEM_MORENA_FXMO,PVEM_MORENA,PVEM_FXMO,MORENA_FXMO,C_PVEM_FXMO,PT_PUP,PT_NAO,PUP_NAO,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
20,OAXACA,0,VOTO EN EL EXTRANJERO,0,0,6,328,119,42,125,262,75,4320,35,18,15,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5410,12,215,5637,7810,
20,OAXACA,1,ABEJONES,1,1,1,2,4,2,26,27,4,240,9,5,4,15,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,343,25,0,368,721,
20,OAXACA,2,ACATLAN DE PEREZ FIGUEROA,33,65,66,485,742,107,2390,2586,844,13108,85,69,236,161,9,16,0,6,0,0,0,0,0,0,0,0,26,0,0,0,20870,1,1212,22083,32348,
20,OAXACA,3,ANIMAS TRUJANO,2,6,6,91,201,20,183,78,127,1030,24,165,20,64,13,4,1,0,0,0,0,0,0,13,1,0,0,0,0,0,2035,1,109,2145,3584,
20,OAXACA,4,ASUNCION CACALOTEPEC,3,6,6,17,61,14,58,62,29,631,15,8,5,30,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,935,0,91,1026,1814,
20,OAXACA,5,ASUNCION CUYOTEPEJI,1,2,2,202,22,0,20,16,9,112,1,178,3,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,575,0,26,601,843,
20,OAXACA,6,ASUNCION IXTALTEPEC,14,26,26,64,204,28,1551,871,2084,4006,16,34,40,51,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8955,3,457,9415,12487,
20,OAXACA,7,ASUNCION NOCHIXTLAN,8,27,29,844,515,407,561,1552,341,4297,442,1018,134,364,25,11,2,1,0,0,0,0,13,28,4,9,0,0,0,0,10568,6,552,11126,15048,
20,OAXACA,8,ASUNCION OCOTLAN,3,5,5,47,82,4,300,61,38,382,16,213,31,117,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1293,1,155,1449,2444,
20,OAXACA,9,ASUNCION TLACOLULITA,2,2,2,3,12,2,14,94,3,211,4,2,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,352,0,21,373,644,
