CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO,NUMERO_LISTA,PERSONA_CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
3,20,OAXACA,1,SAN FELIPE JALAPA DE DIAZ,,,,,DIP_LOC_MR,MORENA,1,VANESSA RUBI OJEDA MEJIA,2,,https://www.ieepco.org.mx/autoridades_electas/resultados/docs/1dip_MR_MORENA/CONSTANCIA_MR/2024-2027 ,
3,20,OAXACA,2,SAN JUAN BAUTISTA TUXTEPEC,,,,,DIP_LOC_MR,MORENA,1,FRANCISCO JAVIER NIÃ‘O HERNANDEZ,1,,https://www.ieepco.org.mx/autoridades_electas/resultados/docs/2dip_MR_MORENA/CONSTANCIA_MR/2024-2027 ,
3,20,OAXACA,3,LOMA BONITA,,,,,DIP_LOC_MR,MORENA,1,ISIDRO ORTEGA SILVA,1,CANDIDATURA INDIGENA,https://www.ieepco.org.mx/autoridades_electas/resultados/docs/3dip_MR_MORENA/CONSTANCIA_MR/2024-2027 ,
3,20,OAXACA,4,TEOTITLAN DE FLORES MAGON,,,,,DIP_LOC_MR,PVEM_MORENA_FXMO,1,ANALY PERAL VIVAR,2,,https://www.ieepco.org.mx/autoridades_electas/resultados/docs/4dip_MR_COALICION%20PVEM_MORENA_FXMO/CONSTANCIA_MR/2024-2027 ,MORENA
3,20,OAXACA,5,ASUNCION NOCHIXTLAN,,,,,DIP_LOC_MR,PVEM_MORENA_FXMO,1,TANIA CABALLERO NAVARRO,2,CANDIDATURA INDIGENA,https://www.ieepco.org.mx/autoridades_electas/resultados/docs/5dip_MR_COALICION%20PVEM_MORENA_FXMO/CONSTANCIA_MR/2024-2027 ,MORENA
3,20,OAXACA,6,HEROICA CIUDAD DE HUAJUAPAN DE LEON,,,,,DIP_LOC_MR,PVEM_MORENA_FXMO,1,DULCE BELEN URIBE MENDOZA,2,,https://www.ieepco.org.mx/autoridades_electas/resultados/docs/6dip_MR_COALICION%20PVEM_MORENA_FXMO/CONSTANCIA_MR/2024-2027 ,PVEM
3,20,OAXACA,7,PUTLA VILLA DE GUERRERO,,,,,DIP_LOC_MR,PVEM_MORENA_FXMO,1,NICOLAS ENRIQUE FERIA ROMERO,1,CANDIDATURA INDIGENA,https://www.ieepco.org.mx/autoridades_electas/resultados/docs/7dip_MR_COALICION%20PVEM_MORENA_FXMO/CONSTANCIA_MR/2024-2027,MORENA
3,20,OAXACA,8,HEROICA CIUDAD DE TLAXIACO,,,,,DIP_LOC_MR,PVEM_MORENA_FXMO,1,MAURO CRUZ SANCHEZ,1,CANDIDATURA INDIGENA,https://www.ieepco.org.mx/autoridades_electas/resultados/docs/8dip_MR_COALICION%20PVEM_MORENA_FXMO/CONSTANCIA_MR/2024-2027,PVEM
3,20,OAXACA,9,IXTLAN DE JUAREZ,,,,,DIP_LOC_MR,PVEM_MORENA_FXMO,1,ISAIAS CARRANZA SECUNDINO,1,CANDIDATURA INDIGENA,https://www.ieepco.org.mx/autoridades_electas/resultados/docs/9dip_MR_COALICION%20PVEM_MORENA_FXMO/CONSTANCIA_MR/2024-2027,FXMO
3,20,OAXACA,10,SAN PEDRO Y SAN PABLO AYUTLA,,,,,DIP_LOC_MR,PVEM_MORENA_FXMO,1,RAYNEL RAMIREZ MIJANGOS,1,CANDIDATURA DE ADULTO MAYOR,https://www.ieepco.org.mx/autoridades_electas/resultados/docs/10dip_MR_COALICION%20PVEM_MORENA_FXMO/CONSTANCIA_MR/2024-2027,FXMO
3,20,OAXACA,11,MATIAS ROMERO,,,,,DIP_LOC_MR,PVEM_MORENA_FXMO,1,OLIVER LOPEZ GARCIA,1,CANDIDATURA DE DISCAPACIDAD,https://www.ieepco.org.mx/autoridades_electas/resultados/docs/11dip_MR_COALICION%20PVEM_MORENA_FXMO/CONSTANCIA_MR/2024-2027,MORENA
3,20,OAXACA,12,SANTA LUCIA DEL CAMINO,,,,,DIP_LOC_MR,PVEM_MORENA_FXMO,1,SANDRA DANIELA TAURINO JIMENEZ,2,CANDIDATURA DE LA DIVERSIDAD SEXUAL,https://www.ieepco.org.mx/autoridades_electas/resultados/docs/12dip_MR_COALICION%20PVEM_MORENA_FXMO/CONSTANCIA_MR/2024-2027,MORENA
