ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PRI,PRD,MC,PSI,PAN_PRI_PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PAN_PRI,PAN_PRD_PSI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,1,XICOTEPEC DE JUAREZ,135,349,352,0,0,9363,0,27251,69922,0,0,106536,358,5568,112462,187870,
21,PUEBLA,2,HUAUCHINANGO DE DEGOLLADO,97,311,312,0,0,12240,0,39027,59611,0,0,110878,93,8460,119431,187031,
21,PUEBLA,3,CHIGNAHUAPAN,129,338,338,0,0,3899,0,46132,79620,0,0,129651,13,7022,136686,188641,
21,PUEBLA,4,ZACAPOAXTLA,137,342,349,0,0,7791,0,35778,81782,0,0,125351,18,7317,132686,198400,
21,PUEBLA,5,LIBRES,103,299,299,0,0,15210,0,31567,65685,0,0,112462,15,6544,119021,175492,
21,PUEBLA,6,TEZIUTLAN,100,285,289,0,0,9945,0,34017,65943,0,0,109905,76,4915,114896,170751,
21,PUEBLA,7,SAN MARTIN TEXMELUCAN DE LABASTIDA,97,312,313,8862,0,18888,0,0,67142,0,16104,110996,102,6927,118025,201620,
21,PUEBLA,8,HUEJOTZINGO,84,285,285,0,0,21037,0,25565,65885,0,0,112487,45,5851,118383,182327,
21,PUEBLA,9,HEROICA PUEBLA DE ZARAGOZA,69,301,303,0,0,10334,0,41849,64591,0,0,116774,64,3662,120500,199813,
21,PUEBLA,10,HEROICA PUEBLA DE ZARAGOZA,136,367,368,0,0,10535,0,38518,77407,0,0,126460,82,4263,130805,220036,
21,PUEBLA,11,HEROICA PUEBLA DE ZARAGOZA,59,284,285,0,0,7388,0,26014,65231,0,0,98633,45,3578,102256,190723,
21,PUEBLA,12,AMOZOC DE MOTA,67,262,263,0,0,12636,0,20835,67731,0,0,101202,52,5270,106524,171493,
21,PUEBLA,13,TEPEACA,76,275,275,0,1839,5800,3042,0,72215,19369,0,102265,30,5417,107712,170246,
21,PUEBLA,14,CIUDAD SERDAN,110,302,304,0,0,16050,0,24843,68430,0,0,109323,18,7069,116410,174363,
21,PUEBLA,15,TECAMACHALCO,82,285,286,0,0,8265,0,31351,70244,0,0,109860,16,6144,116020,177796,
21,PUEBLA,16,HEROICA PUEBLA DE ZARAGOZA,143,364,365,0,0,9299,0,52531,71944,0,0,133774,86,4026,137886,215792,
21,PUEBLA,17,HEROICA PUEBLA DE ZARAGOZA,235,465,466,0,0,10708,0,75959,77961,0,0,164628,134,3664,168426,249735,
21,PUEBLA,18,CHOLULA DE RIVADAVIA,90,355,357,0,0,18327,0,57436,65765,0,0,141528,219,6293,148040,226185,
21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,101,311,312,0,0,6049,0,43308,62611,0,0,111968,63,4313,116344,194267,
21,PUEBLA,20,HEROICA PUEBLA DE ZARAGOZA,90,300,301,0,0,7725,0,36957,56493,0,0,101175,55,3520,104750,188359,
21,PUEBLA,21,ATLIXCO,102,304,304,0,0,11051,0,32568,65741,0,0,109360,57,4431,113848,187102,
21,PUEBLA,22,IZUCAR DE MATAMOROS,126,326,326,0,0,5426,0,27127,75994,0,0,108547,43,6167,114757,181301,
21,PUEBLA,23,ACATLAN DE OSORIO,182,388,388,0,0,2633,0,37173,81548,0,0,121354,13,5195,126562,193316,
21,PUEBLA,24,TEHUACAN,109,310,312,0,0,8464,0,24241,80295,0,0,113000,68,6184,119252,184809,
21,PUEBLA,25,TEHUACAN,76,281,282,0,0,9335,0,35920,59786,0,0,105041,39,4970,110050,179742,
21,PUEBLA,26,AJALPAN,112,318,322,0,0,7994,0,40845,76159,0,0,124998,13,8182,133193,181526,
