ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,PAN_PRI_PRD_PSI,PAN_PRI_PRD,PAN_PRI_PSI,PAN_PRD_PSI,PRI_PRD_PSI,PAN_PRI,PAN_PRD,PAN_PSI,PRI_PRD,PRI_PSI,PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA_NAP,PT_PVEM_MORENA_FXM,PT_PVEM_NAP_FXM,PT_MORENA_NAP_FXM,PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA,PT_PVEM_NAP,PT_PVEM_FXM,PT_MORENA_NAP,PT_MORENA_FXM,PT_NAP_FXM,PVEM_MORENA_NAP,PVEM_MORENA_FXM,PVEM_NAP_FXM,MORENA_NAP_FXM,PT_PVEM,PT_MORENA,PT_NAP,PT_FXM,PVEM_MORENA,PVEM_NAP,PVEM_FXM,MORENA_NAP,MORENA_FXM,NAP_FXM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,1,ACAJETE,20,75,76,2498,967,397,3563,1120,3210,201,12270,346,257,128,138,11,4,4,134,33,7,6,1,6,146,34,29,9,3,21,187,11,7,10,7,4,17,5,3,6,63,65,3,5,164,2,5,15,11,3,26136,1,1309,27446,48801,
21,PUEBLA,2,ACATENO,8,15,15,556,338,352,1185,275,105,23,2032,51,28,20,101,2,2,0,13,15,0,3,1,0,50,13,7,3,1,1,142,9,2,3,2,0,3,0,0,3,38,12,1,7,60,2,1,1,2,1,5466,0,232,5698,7466,
21,PUEBLA,3,ACATLAN,18,54,54,1018,1547,275,2136,2379,354,482,7939,774,140,55,100,4,4,2,32,3,1,13,7,2,89,36,13,6,16,6,117,9,4,7,2,3,9,3,1,7,56,88,8,19,84,12,7,18,7,10,17904,4,645,18553,29270,
21,PUEBLA,4,ACATZINGO,17,67,67,1944,1285,308,3613,990,1222,1668,9554,595,185,0,0,0,0,0,163,0,0,0,0,0,433,41,18,4,7,13,139,13,3,4,4,1,19,12,2,8,43,68,7,4,97,11,8,11,10,4,22511,15,1217,23743,41293,
21,PUEBLA,5,ACTEOPAN,3,5,5,133,454,19,44,56,23,660,286,4,15,0,1,2,0,0,2,1,42,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1,0,0,0,3,0,1763,0,130,1893,2319,
21,PUEBLA,6,AHUACATLAN,7,19,19,1199,965,362,127,3013,199,306,2275,21,42,25,22,6,2,0,20,4,2,4,2,0,15,1,30,531,50,16,16,197,4,5,4,214,4,2,2,1,11,24,0,0,4,0,0,0,0,0,9727,0,492,10219,11390,
21,PUEBLA,7,AHUATLAN,4,5,5,331,276,11,19,19,18,4,767,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,8,0,1,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,1472,1,76,1549,2400,
21,PUEBLA,8,AHUAZOTEPEC,4,15,15,245,855,63,141,984,391,99,1693,266,83,26,21,7,2,5,24,2,4,2,2,0,12,3,3,2,7,1,37,0,0,2,2,1,1,0,0,2,13,24,0,1,7,3,2,3,2,15,5058,0,344,5402,8532,
21,PUEBLA,9,AHUEHUETITLA,1,4,4,13,20,7,236,407,26,8,505,3,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,2,2,0,0,2,0,0,0,1,0,1244,0,40,1284,1865,
21,PUEBLA,10,AJALPAN,26,81,81,7673,1340,313,2167,1969,1849,289,11156,6071,191,113,82,12,14,2,121,31,13,3,8,2,76,20,14,3,5,4,88,11,5,14,11,2,14,5,1,8,51,210,29,8,64,49,3,81,20,21,34236,9,2619,36864,49205,
21,PUEBLA,11,ALBINO ZERTUCHE,1,2,2,204,283,4,10,9,10,4,478,2,4,1,1,0,0,0,1,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,1023,0,22,1045,1380,
21,PUEBLA,12,ALJOJUCA,4,9,9,688,267,46,606,74,313,30,1258,314,20,12,8,1,3,0,13,2,0,1,0,0,8,3,0,0,0,0,11,6,0,0,1,0,2,0,0,1,8,10,1,0,18,2,0,6,2,1,3736,0,272,4008,5194,
21,PUEBLA,13,ALTEPEXI,6,25,25,783,575,53,328,308,2054,267,5648,531,714,7,6,5,1,0,5,1,1,3,1,0,25,5,4,1,0,3,26,4,1,3,5,0,3,0,1,2,8,25,1,2,11,1,1,7,19,1,11450,0,758,12208,15120,
21,PUEBLA,14,AMIXTLAN,3,8,8,107,258,653,322,78,77,27,963,16,40,7,6,0,0,0,4,32,0,1,0,0,5,2,0,0,1,1,6,0,1,0,2,0,0,0,0,0,3,4,1,1,2,0,0,0,2,0,2622,0,158,2780,3927,
21,PUEBLA,15,AMOZOC,22,122,122,6446,1332,403,2099,6783,6525,460,20945,1085,520,183,201,32,11,3,134,19,8,4,7,7,363,108,51,31,26,38,339,38,30,15,16,7,20,11,2,18,216,187,13,13,131,22,11,30,34,24,49001,36,2504,51541,82628,
