CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,PAN_PRI_PRD_PSI,PAN_PRI_PRD,PAN_PRI_PSI,PAN_PRD_PSI,PRI_PRD_PSI,PAN_PRI,PAN_PRD,PAN_PSI,PRI_PRD,PRI_PSI,PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA_NAP,PT_PVEM_MORENA_FXM,PT_PVEM_NAP_FXM,PT_MORENA_NAP_FXM,PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA,PT_PVEM_NAP,PT_PVEM_FXM,PT_MORENA_NAP,PT_MORENA_FXM,PT_NAP_FXM,PVEM_MORENA_NAP,PVEM_MORENA_FXM,PVEM_NAP_FXM,MORENA_NAP_FXM,PT_PVEM,PT_MORENA,PT_NAP,PT_FXM,PVEM_MORENA,PVEM_NAP,PVEM_FXM,MORENA_NAP,MORENA_FXM,NAP_FXM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,535,3,3,444,70,14,120,19,38,15,601,9,6,4,28,0,0,1,20,3,0,0,0,0,4,1,1,1,1,0,14,3,1,1,1,0,2,1,2,0,2,7,0,0,4,0,0,0,1,0,1439,0,52,1491,2076
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,536,3,3,433,48,7,90,33,30,31,570,9,11,2,14,1,0,0,4,2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,7,6,0,1,6,0,0,1,0,1,1312,0,30,1342,1881
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,537,3,3,141,35,4,190,23,29,14,552,2,19,0,0,0,0,0,2,0,0,0,0,0,2,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1024,0,38,1062,1508
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,538,3,3,254,83,12,170,39,83,18,592,9,13,0,29,1,0,0,17,1,0,0,0,0,1,0,0,0,0,1,8,0,0,2,2,0,1,0,0,2,4,3,0,10,4,0,0,3,0,0,1362,0,69,1431,1960
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,539,2,2,119,33,6,135,17,26,3,274,5,7,1,6,0,0,0,3,1,1,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,3,1,0,1,0,1,654,0,12,666,863
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,540,2,2,141,25,2,38,21,34,15,324,5,7,1,13,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,2,4,0,1,6,0,0,0,0,0,649,0,12,661,878
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,541,3,3,148,50,9,241,23,28,7,531,6,16,1,3,0,0,0,2,3,0,0,0,0,2,1,0,0,0,4,6,1,1,0,0,0,0,0,0,0,2,2,0,0,11,0,0,2,1,1,1102,0,28,1130,1596
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,542,2,2,156,26,11,201,18,48,7,430,5,5,0,7,0,0,0,8,0,0,1,0,0,2,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,1,0,939,0,38,977,1455
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,543,1,1,124,49,8,144,12,8,13,131,4,4,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,519,0,31,550,745
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,2711,1,1,33,7,23,10,8,12,2,121,0,2,0,5,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,233,0,7,240,293
