ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,PAN_PRI_PRD_PSI,PAN_PRI_PRD,PAN_PRI_PSI,PAN_PRD_PSI,PRI_PRD_PSI,PAN_PRI,PAN_PRD,PAN_PSI,PRI_PRD,PRI_PSI,PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA_NAP,PT_PVEM_MORENA_FXM,PT_PVEM_NAP_FXM,PT_MORENA_NAP_FXM,PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA,PT_PVEM_NAP,PT_PVEM_FXM,PT_MORENA_NAP,PT_MORENA_FXM,PT_NAP_FXM,PVEM_MORENA_NAP,PVEM_MORENA_FXM,PVEM_NAP_FXM,MORENA_NAP_FXM,PT_PVEM,PT_MORENA,PT_NAP,PT_FXM,PVEM_MORENA,PVEM_NAP,PVEM_FXM,MORENA_NAP,MORENA_FXM,NAP_FXM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,0,VOTO EN EL EXTRANJERO,0,0,7,2611,209,105,117,215,154,24,4422,25,44,192,257,1,5,0,38,16,3,1,3,1,609,34,32,6,13,15,441,1,1,4,5,2,1,2,0,35,15,127,0,2,33,0,1,5,24,1,9852,17,98,9967,12407,
21,PUEBLA,1,XICOTEPEC DE JUAREZ,135,349,352,18000,7256,1593,13301,4951,4558,3754,50080,1448,1724,609,613,84,46,125,456,99,96,38,39,42,1228,174,122,72,71,140,659,67,44,96,68,9,56,44,13,50,270,468,30,42,556,43,34,78,111,22,113479,28,4915,118422,187870,
21,PUEBLA,2,HUAUCHINANGO DE DEGOLLADO,97,311,312,16627,12004,4104,9571,6484,4808,3663,43903,2566,1965,784,829,136,33,33,490,129,53,59,49,13,1130,228,102,88,104,106,722,79,50,56,60,23,72,49,21,84,309,340,38,57,468,49,39,119,142,53,112891,45,6638,119574,187031,
21,PUEBLA,3,CHIGNAHUAPAN,129,338,338,13719,25355,3292,12967,9408,2892,1325,45737,1378,6077,1008,925,63,36,15,595,202,26,77,29,21,1628,129,118,587,102,75,469,158,32,251,69,11,46,55,22,53,234,331,35,39,420,66,64,56,197,25,130419,31,5684,136134,188641,
21,PUEBLA,4,ZACAPOAXTLA,137,342,349,10049,19013,2452,19446,12803,4995,2501,43657,3689,2825,618,504,116,49,19,395,94,26,61,46,25,1220,192,114,111,93,84,665,85,41,55,107,19,52,43,39,115,707,537,59,63,445,105,43,105,131,207,128820,44,5443,134307,198400,
21,PUEBLA,5,LIBRES,103,299,299,13978,10160,1196,20702,10092,10009,2996,35807,3647,1784,450,449,72,34,23,395,48,21,59,26,35,665,146,63,36,47,58,469,60,25,37,47,18,51,28,7,39,292,427,34,80,442,68,32,96,74,26,115350,24,4958,120332,175492,
21,PUEBLA,6,TEZIUTLAN,100,285,289,17842,12826,1542,7940,10573,6382,1478,40658,2209,2758,919,599,102,38,19,541,122,49,34,29,20,1244,233,111,128,103,111,646,81,47,65,67,28,90,49,17,96,281,343,36,91,410,41,19,98,131,106,111352,29,4157,115538,170751,
21,PUEBLA,7,SAN MARTIN TEXMELUCAN DE LABASTIDA,97,312,313,18540,7355,1494,7333,11736,9355,1461,48058,2089,1055,899,773,93,56,27,392,103,40,34,24,24,1522,302,214,134,157,117,1244,126,58,99,97,31,69,54,21,97,420,633,53,49,524,51,25,77,124,30,117269,44,5068,122381,201620,
21,PUEBLA,8,HUEJOTZINGO,84,285,285,20617,5385,2342,9170,7664,9850,1455,43864,2332,1771,1283,925,94,89,27,396,493,28,48,26,41,2000,278,140,140,214,194,971,115,57,120,111,28,117,73,26,144,365,767,56,42,754,181,43,151,242,94,115323,39,3730,119092,182327,
21,PUEBLA,9,HEROICA PUEBLA DE ZARAGOZA,69,301,303,39497,3958,875,3859,3655,4808,759,47046,966,767,2078,1411,125,75,35,604,131,45,11,15,60,2513,313,169,171,187,142,1379,79,41,104,127,28,93,61,32,129,249,532,63,41,500,57,20,86,141,41,118078,43,2364,120485,199813,
