ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,MC,PAN_PRI_PRD_PSI,PT_PVEM_MORENA_NAP_FXM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,0,VOTO EN EL EXTRANJERO,0,0,7,154,3466,6232,9852,17,98,9967,12407,
21,PUEBLA,1,XICOTEPEC DE JUAREZ,135,349,352,4558,32850,76071,113479,28,4915,118422,187870,
21,PUEBLA,2,HUAUCHINANGO DE DEGOLLADO,97,311,312,4808,39006,69077,112891,45,6638,119574,187031,
21,PUEBLA,3,CHIGNAHUAPAN,129,338,338,2892,46688,80839,130419,31,5684,136134,188641,
21,PUEBLA,4,ZACAPOAXTLA,137,342,349,4995,35968,87857,128820,44,5443,134307,198400,
21,PUEBLA,5,LIBRES,103,299,299,10009,29942,75399,115350,24,4958,120332,175492,
21,PUEBLA,6,TEZIUTLAN,100,285,289,6382,36160,68810,111352,29,4157,115538,170751,
21,PUEBLA,7,SAN MARTIN TEXMELUCAN DE LABASTIDA,97,312,313,9355,31315,76599,117269,44,5068,122381,201620,
21,PUEBLA,8,HUEJOTZINGO,84,285,285,9850,33249,72224,115323,39,3730,119092,182327,
21,PUEBLA,9,HEROICA PUEBLA DE ZARAGOZA,69,301,303,4808,49679,63591,118078,43,2364,120485,199813,
21,PUEBLA,10,HEROICA PUEBLA DE ZARAGOZA,136,367,368,6006,49810,75037,130853,70,2791,133714,220036,
21,PUEBLA,11,HEROICA PUEBLA DE ZARAGOZA,59,284,285,4413,34864,63337,102614,56,2434,105104,190723,
21,PUEBLA,12,AMOZOC DE MOTA,67,262,263,5354,29656,69534,104544,35,3698,108277,171493,
21,PUEBLA,13,TEPEACA,76,275,275,3548,28304,73332,105184,26,3451,108661,170246,
21,PUEBLA,14,CIUDAD SERDAN,110,302,304,10486,27401,76233,114120,93,4822,119035,174363,
21,PUEBLA,15,TECAMACHALCO,82,285,286,4609,33439,73295,111343,24,4524,115891,177796,
21,PUEBLA,16,HEROICA PUEBLA DE ZARAGOZA,143,364,365,5321,61119,70179,136619,78,2687,139384,215792,
21,PUEBLA,17,HEROICA PUEBLA DE ZARAGOZA,235,465,466,5832,85929,74391,166152,131,2617,168900,249735,
21,PUEBLA,18,CHOLULA DE RIVADAVIA,90,355,357,7611,69935,66858,144404,130,3283,147817,226185,
21,PUEBLA,19,HEROICA PUEBLA DE ZARAGOZA,101,311,312,4816,47893,61719,114428,528,2622,117578,194267,
21,PUEBLA,20,HEROICA PUEBLA DE ZARAGOZA,90,300,301,3720,41328,56706,101754,40,2406,104200,188359,
21,PUEBLA,21,ATLIXCO,102,304,304,3848,38912,68372,111132,37,3189,114358,187102,
21,PUEBLA,22,IZUCAR DE MATAMOROS,126,326,326,2925,30131,77960,111016,39,4176,115231,181301,
21,PUEBLA,23,ACATLAN DE OSORIO,182,388,388,2035,35421,85770,123226,8,4216,127450,193316,
21,PUEBLA,24,TEHUACAN,109,310,312,4451,30698,81870,117019,18,4310,121347,184809,
21,PUEBLA,25,TEHUACAN,76,281,282,4344,25149,78253,107746,43,3582,111371,179742,
21,PUEBLA,26,AJALPAN,112,318,322,2947,43904,79409,126260,68,5925,132253,181526,
