CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,PSI,MORENA,NAP,FXM,PAN_PRI_PRD_PSI,PAN_PRI_PRD,PAN_PRI_PSI,PAN_PRD_PSI,PRI_PRD_PSI,PAN_PRI,PAN_PRD,PAN_PSI,PRI_PRD,PRI_PSI,PRD_PSI,PT_PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA_NAP,PT_PVEM_MORENA_FXM,PT_PVEM_NAP_FXM,PT_MORENA_NAP_FXM,PVEM_MORENA_NAP_FXM,PT_PVEM_MORENA,PT_PVEM_NAP,PT_PVEM_FXM,PT_MORENA_NAP,PT_MORENA_FXM,PT_NAP_FXM,PVEM_MORENA_NAP,PVEM_MORENA_FXM,PVEM_NAP_FXM,MORENA_NAP_FXM,PT_PVEM,PT_MORENA,PT_NAP,PT_FXM,PVEM_MORENA,PVEM_NAP,PVEM_FXM,MORENA_NAP,MORENA_FXM,NAP_FXM,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,21,PUEBLA,0,VOTO EN EL EXTRANJERO,0,VOTO EN EL EXTRANJERO,0,0,7,2611,209,105,117,215,154,24,4422,25,44,192,257,1,5,0,38,16,3,1,3,1,609,34,32,6,13,15,441,1,1,4,5,2,1,2,0,35,15,127,0,2,33,0,1,5,24,1,9852,17,98,9967,12407
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,535,3,3,449,64,11,107,34,24,12,602,7,7,7,25,0,0,0,25,2,0,0,0,0,22,2,1,2,0,0,19,0,3,0,3,0,0,0,0,0,8,5,0,0,6,0,0,0,4,0,1451,0,46,1497,2076
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,536,3,3,451,53,9,68,41,12,23,586,3,12,2,17,1,0,0,4,1,0,0,0,0,4,0,0,2,0,1,4,0,0,1,0,0,0,0,1,1,5,6,0,0,4,0,0,0,1,0,1313,0,30,1343,1881
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,537,3,3,142,30,8,187,31,26,13,544,6,13,0,1,0,0,0,4,0,0,0,0,0,4,1,0,2,0,0,6,0,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,1025,0,32,1057,1508
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,538,3,3,246,89,12,156,56,62,17,611,10,10,1,28,1,1,0,15,0,0,0,0,0,6,0,2,0,1,2,12,1,1,1,4,0,1,1,0,0,4,5,0,0,13,0,1,1,0,0,1371,0,66,1437,1960
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,539,2,2,130,31,13,62,76,10,150,129,1,3,3,5,0,0,2,1,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,1,0,6,1,0,0,0,0,635,0,32,667,863
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,540,2,2,149,28,2,25,23,17,19,328,1,10,0,14,0,0,0,3,0,0,0,0,0,2,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,2,3,0,0,8,0,0,0,2,0,641,0,15,656,878
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,541,3,3,156,53,9,217,63,17,4,564,4,17,1,3,0,0,0,1,2,0,0,0,0,4,0,1,0,1,0,9,0,1,0,0,0,0,0,0,1,4,6,1,0,5,3,0,3,1,0,1151,0,39,1190,1596
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,542,2,2,175,26,11,183,31,28,8,426,6,3,1,6,0,0,0,3,0,0,2,0,0,12,0,0,0,0,0,7,0,0,5,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,939,0,39,978,1455
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,543,1,1,148,50,7,139,20,3,9,127,2,5,1,8,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,540,0,15,555,745
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,65,FRANCISCO Z. MENA,2711,1,1,45,9,19,9,7,3,2,119,2,2,0,5,1,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,234,0,7,241,293
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,58,HONEY,502,3,3,204,30,6,19,47,166,4,269,5,3,6,12,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,1,0,0,1,0,0,0,1,1,786,0,30,816,1842
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,58,HONEY,503,2,2,96,63,8,19,94,153,6,391,3,11,0,9,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,3,4,0,0,2,0,0,0,0,0,872,0,40,912,1318
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,58,HONEY,504,4,4,274,192,13,53,77,284,5,620,22,9,13,20,0,0,4,8,1,1,0,0,2,5,1,0,0,0,1,2,0,1,0,0,0,1,0,0,0,2,1,0,0,3,0,1,1,0,0,1617,0,68,1685,2186
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,88,JALPAN,764,3,3,97,48,3,37,78,26,8,506,5,158,1,6,0,0,0,18,2,2,0,0,2,3,0,4,1,0,2,2,0,2,0,0,0,0,2,0,2,0,3,0,0,6,0,0,0,4,3,1031,1,43,1075,1718
4,21,PUEBLA,1,XICOTEPEC DE JUAREZ,88,JALPAN,765,4,4,112,55,15,69,111,78,7,753,13,163,2,6,0,0,0,13,0,0,0,1,0,9,1,1,0,0,0,6,1,0,0,4,1,2,1,0,1,0,6,0,1,6,0,2,1,5,0,1446,0,65,1511,2209
