CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,CAND_IND1,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,4,B,1,0,B,0,28,12,4,75,8,34,208,7,0,3,26,0,0,0,405,1,8,414,716,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,4,C,1,0,C01,0,20,6,3,84,7,34,183,5,0,2,12,0,2,2,360,0,13,373,716,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,4,C,2,0,C02,0,19,6,1,93,10,24,185,5,0,0,11,0,2,1,357,2,11,370,715,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,5,B,1,0,B,0,26,9,7,98,6,32,168,6,0,2,13,1,2,0,370,3,6,379,678,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,5,C,1,0,C01,0,25,7,6,86,10,18,162,11,0,1,12,1,4,0,343,0,14,357,678,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,5,C,2,0,C02,0,27,7,4,91,7,26,146,6,0,2,4,0,3,1,324,2,13,339,678,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,5,C,3,0,C03,0,32,12,4,83,9,27,154,1,0,0,5,0,3,4,334,0,12,346,678,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,5,C,4,0,C04,0,22,6,8,75,7,21,166,8,0,0,7,0,3,1,324,4,8,336,678,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,5,C,5,0,C05,0,29,7,3,86,7,24,125,6,0,1,3,0,3,1,295,1,11,307,678,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,6,B,1,0,B,0,10,4,4,111,4,8,91,2,0,1,1,0,5,1,242,0,5,247,490,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,6,C,1,0,C01,0,11,7,2,92,1,11,97,1,0,1,7,2,0,0,232,0,7,239,489,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,4,CANCUN,1,BENITO JUAREZ,7,B,1,0,B,0,28,7,5,51,2,22,142,6,0,2,14,1,4,3,287,0,12,299,535,COTEJADO EN PLENO,,,
