ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
23,QUINTANA ROO,1,BENITO JUAREZ,532,1185,1187,42525,12677,4949,76103,13058,25655,179122,4998,,359087,921,10936,370944,699044,
23,QUINTANA ROO,2,COZUMEL,22,111,112,5170,11674,229,3686,1047,3611,15598,666,,41681,20,1213,42914,73185,
23,QUINTANA ROO,3,FELIPE CARRILLO PUERTO,35,107,107,294,423,15274,3816,1993,752,13424,863,,36839,10,1544,38393,60335,
23,QUINTANA ROO,4,ISLA MUJERES,10,40,40,1021,223,854,952,1469,221,9965,247,,14952,8,450,15410,25609,
23,QUINTANA ROO,5,JOSE MARIA MORELOS,22,52,53,45,46,30,5822,0,6119,10995,0,,23057,5,941,24003,29872,
23,QUINTANA ROO,6,LAZARO CARDENAS,14,42,42,5035,263,283,795,3984,409,5855,213,,16837,1,567,17405,24082,
23,QUINTANA ROO,7,OTHON P. BLANCO,164,338,339,6917,2676,1587,6726,2594,41438,32975,1744,2545,99202,118,3428,102748,180981,
23,QUINTANA ROO,8,SOLIDARIDAD,201,440,441,38831,10175,687,22868,4985,3536,48402,943,,130427,124,3994,134545,261328,
23,QUINTANA ROO,9,TULUM,44,81,82,518,172,113,4095,1500,11847,9384,0,,27629,93,1076,28798,45324,
23,QUINTANA ROO,10,BACALAR,28,63,63,1424,2067,681,2884,1012,1899,5975,1589,,17531,17,904,18452,34967,
23,QUINTANA ROO,11,PUERTO MORELOS,4,37,37,1926,2569,251,5561,309,547,3114,0,,14277,15,598,14890,25375,
