ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
23,QUINTANA ROO,1,KANTUNILKIN,46,153,153,11817,3170,703,10550,3352,5783,18733,563,608,762,123,304,189,56657,78,2049,58784,95660,
23,QUINTANA ROO,2,CANCUN,59,161,162,11318,2954,697,9042,1197,5095,23174,875,474,1445,115,384,267,57037,104,1873,59014,99861,
23,QUINTANA ROO,3,CANCUN,45,126,126,1271,690,222,10193,722,1879,16506,317,73,934,42,261,254,33364,46,1069,34479,73816,
23,QUINTANA ROO,4,CANCUN,86,186,186,2832,1298,928,11855,2116,3359,31716,1127,182,1295,94,559,240,57601,45,2144,59790,108854,
23,QUINTANA ROO,5,CANCUN,45,131,132,1578,758,274,7740,834,2159,19721,395,0,955,76,211,161,34862,40,1111,36013,83788,
23,QUINTANA ROO,6,CANCUN,64,144,144,2414,1076,477,8550,1073,3038,24592,682,147,1341,66,392,228,44076,92,1554,45722,89332,
23,QUINTANA ROO,7,CANCUN,107,191,192,2990,1401,576,9813,1304,4454,32265,874,192,1661,111,622,332,56595,96,2002,58693,105836,
23,QUINTANA ROO,8,CANCUN,108,212,214,18213,3917,871,7885,1163,4622,23609,865,534,,,,,61679,67,3515,65261,116963,
23,QUINTANA ROO,9,PLAYA DEL CARMEN,44,124,125,5894,1778,245,7766,1187,1995,17592,437,416,702,49,339,161,38561,33,1273,39867,79291,
23,QUINTANA ROO,10,PLAYA DEL CARMEN,105,213,214,12590,3304,677,11763,2180,3185,24156,789,906,1189,148,593,218,61698,89,2202,63989,122109,
23,QUINTANA ROO,11,COZUMEL,47,147,148,9367,8023,459,7056,1112,2565,18320,2082,1224,1015,99,440,182,51944,36,1664,53644,92916,
23,QUINTANA ROO,12,TULUM,71,148,149,4046,1696,414,7635,2156,7996,21938,517,235,771,72,307,201,47984,39,2057,50080,85521,
23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,57,159,160,681,1034,11699,8269,1716,8334,26064,977,146,487,78,212,95,59792,31,2552,62375,90207,
23,QUINTANA ROO,14,CHETUMAL,92,201,202,3088,2577,1336,5680,2125,10923,27931,2013,143,1231,162,338,250,57797,57,2696,60550,110991,
23,QUINTANA ROO,15,CHETUMAL,100,200,201,4899,2196,871,4554,1249,15508,25247,2365,272,1236,129,385,248,59159,54,2335,61548,104957,
