ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
23,QUINTANA ROO,1,KANTUNILKIN,46,153,153,12121,3474,703,11018,3761,5783,19234,563,56657,78,2049,58784,95660,
23,QUINTANA ROO,2,CANCUN,59,161,162,11555,3191,697,9774,1868,5095,23982,875,57037,104,1873,59014,99861,
23,QUINTANA ROO,3,CANCUN,45,126,126,1308,726,222,10655,1181,1879,17076,317,33364,46,1069,34479,73816,
23,QUINTANA ROO,4,CANCUN,86,186,186,2923,1389,928,12613,2714,3359,32548,1127,57601,45,2144,59790,108854,
23,QUINTANA ROO,5,CANCUN,45,131,132,1578,758,274,8201,1270,2159,20227,395,34862,40,1111,36013,83788,
23,QUINTANA ROO,6,CANCUN,64,144,144,2488,1149,477,9226,1667,3038,25349,682,44076,92,1554,45722,89332,
23,QUINTANA ROO,7,CANCUN,107,191,192,3086,1497,576,10734,2078,4454,33296,874,56595,96,2002,58693,105836,
23,QUINTANA ROO,8,CANCUN,108,212,214,18480,4184,871,7885,1163,4622,23609,865,61679,67,3515,65261,116963,
23,QUINTANA ROO,9,PLAYA DEL CARMEN,44,124,125,6102,1986,245,8194,1525,1995,18077,437,38561,33,1273,39867,79291,
23,QUINTANA ROO,10,PLAYA DEL CARMEN,105,213,214,13043,3757,677,12529,2759,3185,24959,789,61698,89,2202,63989,122109,
23,QUINTANA ROO,11,COZUMEL,47,147,148,9979,8635,459,7664,1590,2565,18970,2082,51944,36,1664,53644,92916,
23,QUINTANA ROO,12,TULUM,71,148,149,4164,1813,414,8081,2549,7996,22450,517,47984,39,2057,50080,85521,
23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,57,159,160,754,1107,11699,8576,1964,8334,26381,977,59792,31,2552,62375,90207,
23,QUINTANA ROO,14,CHETUMAL,92,201,202,3160,2648,1336,6340,2741,10923,28636,2013,57797,57,2696,60550,110991,
23,QUINTANA ROO,15,CHETUMAL,100,200,201,5035,2332,871,5223,1849,15508,25976,2365,59159,54,2335,61548,104957,
