ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
23,QUINTANA ROO,1,BENITO JUAREZ,532,1185,1190,48164,13205,3949,68355,7531,25802,169931,4965,1815,7801,517,2514,1478,356027,525,13490,370042,699044,
23,QUINTANA ROO,2,COZUMEL,22,111,112,6652,7358,367,5421,808,2074,15044,1961,1071,838,77,378,147,42196,23,1298,43517,73185,
23,QUINTANA ROO,3,FELIPE CARRILLO PUERTO,35,107,107,413,793,11306,3768,1504,2342,14836,808,143,461,72,169,83,36698,15,1715,38428,60335,
23,QUINTANA ROO,4,ISLA MUJERES,10,40,40,1116,353,456,1028,1189,451,9358,418,62,211,24,86,67,14819,4,530,15353,25609,
23,QUINTANA ROO,5,JOSE MARIA MORELOS,22,52,53,268,241,393,4501,212,5992,11228,169,3,26,6,43,12,23094,16,837,23947,29872,
23,QUINTANA ROO,6,LAZARO CARDENAS,14,42,42,1581,199,189,980,2773,3615,6820,188,47,187,54,23,83,16739,1,653,17393,24082,
23,QUINTANA ROO,7,OTHON P. BLANCO,164,338,340,7263,3788,1753,7260,2421,24870,45176,3354,358,2207,231,636,425,99742,105,4104,103951,180981,
23,QUINTANA ROO,8,SOLIDARIDAD,201,440,442,23964,6779,1161,24998,4358,6547,55125,1553,1681,2469,254,1150,498,130537,143,4520,135200,261328,
23,QUINTANA ROO,9,TULUM,44,81,82,1281,664,267,3801,1469,7120,11837,311,29,370,37,151,117,27454,31,1378,28863,45324,
23,QUINTANA ROO,10,BACALAR,28,63,63,724,985,454,2974,953,1561,8002,1024,57,260,60,87,73,17214,6,927,18147,34967,
23,QUINTANA ROO,11,PUERTO MORELOS,4,37,37,1572,1507,154,5265,268,521,4207,127,286,194,32,110,43,14286,38,644,14968,25375,
