CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,172,B,1,0,B,0,8,8,3,220,2,2,77,6,0,6,1,7,1,341,2,15,358,693,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,172,C,1,0,C01,0,13,8,3,182,6,8,75,1,1,13,0,12,2,324,4,14,342,692,RECONTADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,173,B,1,0,B,0,13,6,5,79,3,27,182,2,1,5,0,9,0,332,0,9,341,669,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,173,C,1,0,C01,0,11,11,3,96,6,27,203,4,1,4,0,0,1,367,3,11,381,668,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,173,C,2,0,C02,0,10,4,2,66,3,21,180,4,1,10,0,6,2,309,0,17,326,668,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,173,C,3,0,C03,0,9,4,2,88,6,18,184,1,1,6,0,4,3,326,1,8,335,668,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,173,C,4,0,C04,0,14,9,4,88,3,15,202,3,2,4,0,13,1,358,0,12,370,668,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,1,BENITO JUAREZ,173,C,5,0,C05,0,17,4,5,85,6,29,154,2,1,4,0,10,2,319,0,0,319,668,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,177,B,1,0,B,0,37,57,3,158,8,8,154,2,8,0,0,1,1,437,0,30,467,674,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,177,C,1,0,C01,0,37,74,1,154,2,6,157,4,8,3,0,2,1,449,0,27,476,674,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,177,C,2,0,C02,0,34,50,1,138,8,10,156,4,6,5,0,2,0,414,23,0,437,674,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,177,C,3,0,C03,0,23,64,1,155,6,5,153,2,4,4,0,5,1,423,0,25,448,673,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,177,C,4,0,C04,0,30,88,3,128,9,8,146,0,10,6,1,3,1,433,1,20,454,673,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,177,C,5,0,C05,0,41,116,0,142,0,5,104,0,5,1,0,7,3,424,0,29,453,673,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,178,B,1,0,B,0,49,69,2,184,6,9,158,1,5,4,0,5,1,493,0,23,516,695,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,178,C,1,0,C01,0,22,48,2,149,8,7,154,0,4,9,2,4,0,409,0,14,423,610,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,178,C,2,0,C02,0,28,60,4,140,9,5,143,5,3,5,0,4,3,409,0,20,429,609,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,178,C,3,0,C03,0,32,81,0,120,7,8,141,1,6,5,2,3,3,409,0,25,434,609,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,B,1,0,B,0,52,40,5,145,8,20,96,6,9,3,3,3,2,392,0,14,406,734,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,1,0,C01,0,53,28,3,142,9,18,99,6,7,6,1,7,1,380,0,13,393,734,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,2,0,C02,0,50,27,9,182,3,29,99,4,6,6,1,0,1,417,2,22,441,734,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,3,0,C03,0,34,29,4,193,9,21,117,2,8,6,0,5,0,428,0,17,445,734,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,4,0,C04,0,33,45,4,197,11,17,96,4,10,3,1,3,1,425,1,15,441,734,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,5,0,C05,0,44,26,3,150,10,14,101,5,13,10,1,1,3,381,0,10,391,734,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,6,0,C06,0,32,34,1,155,7,22,108,2,10,6,1,2,0,380,1,19,400,734,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,7,0,C07,0,44,31,4,140,5,11,97,7,7,9,0,3,1,359,2,18,379,734,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,8,0,C08,0,44,30,2,108,3,16,102,5,17,6,1,3,2,339,0,19,358,734,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,9,0,C09,0,54,28,10,135,8,22,98,7,8,6,2,2,0,380,0,17,397,734,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,10,0,C10,0,34,35,2,140,7,12,112,3,15,12,0,4,0,376,0,16,392,734,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,11,0,C11,0,54,36,6,138,8,14,106,5,7,11,0,2,1,388,1,6,395,734,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,12,0,C12,0,23,33,5,157,6,13,117,4,4,9,0,3,2,376,0,17,393,734,RECONTADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,13,0,C13,0,55,25,3,178,13,16,106,3,9,4,0,3,1,416,1,14,431,733,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,14,0,C14,0,30,39,7,136,10,16,106,2,10,5,2,3,1,367,0,24,391,733,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,15,0,C15,0,49,29,10,151,4,18,90,5,6,2,2,2,0,368,2,15,385,733,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,16,0,C16,0,49,27,7,134,9,14,116,5,11,6,5,0,3,386,0,19,405,733,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,17,0,C17,0,33,25,6,186,2,14,104,4,7,6,1,3,1,392,0,18,410,733,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,18,0,C18,0,55,23,2,161,8,23,99,5,15,3,2,6,1,403,0,12,415,733,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,19,0,C19,0,44,18,8,160,7,19,114,0,8,3,0,2,1,384,1,19,404,733,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,20,0,C20,0,49,23,6,133,13,18,104,4,12,5,0,2,3,372,0,20,392,733,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,21,0,C21,0,44,26,4,125,10,8,112,3,12,6,0,7,1,358,1,17,376,733,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,22,0,C22,0,45,32,5,158,9,24,140,7,0,0,0,0,0,420,1,14,435,733,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,11,PUERTO MORELOS,179,C,23,0,C23,0,64,29,5,142,6,20,99,4,6,3,1,1,1,381,1,20,402,733,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,284,B,1,0,B,0,29,4,2,12,31,191,179,3,0,2,0,0,1,454,0,29,483,618,COTEJADO EN PLENO,,,
3,23,QUINTANA ROO,1,KANTUNILKIN,6,LAZARO CARDENAS,284,C,1,0,C01,0,33,6,1,13,32,167,196,4,2,5,1,0,1,461,0,22,483,617,COTEJADO EN PLENO,,,
