ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
23,QUINTANA ROO,1,KANTUNILKIN,46,153,154,12142,3486,703,11026,3762,5789,19260,563,56731,78,2051,58860,95660,
23,QUINTANA ROO,2,CANCUN,59,161,162,11555,3191,697,9774,1868,5095,23982,875,57037,104,1873,59014,99861,
23,QUINTANA ROO,3,CANCUN,45,126,126,1308,726,222,10655,1181,1879,17076,317,33364,46,1069,34479,73816,
23,QUINTANA ROO,4,CANCUN,86,186,186,2923,1389,928,12613,2714,3359,32548,1127,57601,45,2144,59790,108854,
23,QUINTANA ROO,5,CANCUN,45,131,132,1578,758,274,8201,1270,2159,20227,395,34862,40,1111,36013,83788,
23,QUINTANA ROO,6,CANCUN,64,144,144,2488,1149,477,9226,1667,3038,25349,682,44076,92,1554,45722,89332,
23,QUINTANA ROO,7,CANCUN,107,191,192,3086,1497,576,10734,2078,4454,33296,874,56595,96,2002,58693,105836,
23,QUINTANA ROO,8,CANCUN,108,212,218,18568,4201,876,7895,1176,4646,23795,866,62023,68,3543,65634,116963,
23,QUINTANA ROO,9,PLAYA DEL CARMEN,44,124,125,6102,1986,245,8194,1525,1995,18077,437,38561,33,1273,39867,79291,
23,QUINTANA ROO,10,PLAYA DEL CARMEN,105,213,216,13094,3766,680,12572,2788,3195,25090,792,61977,89,2207,64273,122109,
23,QUINTANA ROO,11,COZUMEL,47,147,149,10022,8660,462,7676,1593,2578,19037,2084,52112,36,1674,53822,92916,
23,QUINTANA ROO,12,TULUM,71,148,150,4182,1819,414,8086,2551,8003,22489,517,48061,40,2057,50158,85521,
23,QUINTANA ROO,13,FELIPE CARRILLO PUERTO,57,159,162,773,1117,11733,8610,1975,8393,26632,982,60215,31,2565,62811,90207,
23,QUINTANA ROO,14,CHETUMAL,92,201,203,3183,2662,1340,6353,2742,10961,28713,2021,57975,57,2714,60746,110991,
23,QUINTANA ROO,15,CHETUMAL,100,200,205,5154,2389,892,5342,1882,15804,26721,2401,60585,54,2415,63054,104957,
