ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,MAS,PAN_PRI,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
23,QUINTANA ROO,1,BENITO JUAREZ,532,1185,1194,48252,13222,3954,68365,7544,25826,170117,4966,1815,7801,517,2514,1478,356371,526,13518,370415,699044,
23,QUINTANA ROO,2,COZUMEL,22,111,113,6695,7383,370,5433,811,2087,15111,1963,1071,838,77,378,147,42364,23,1308,43695,73185,
23,QUINTANA ROO,3,FELIPE CARRILLO PUERTO,35,107,108,427,800,11317,3789,1506,2387,14969,809,143,461,72,169,83,36932,15,1727,38674,60335,
23,QUINTANA ROO,4,ISLA MUJERES,10,40,40,1116,353,456,1028,1189,451,9358,418,62,211,24,86,67,14819,4,530,15353,25609,
23,QUINTANA ROO,5,JOSE MARIA MORELOS,22,52,54,273,244,416,4514,221,6006,11346,173,3,26,6,43,12,23283,16,838,24137,29872,
23,QUINTANA ROO,6,LAZARO CARDENAS,14,42,42,1581,199,189,980,2773,3615,6820,188,47,187,54,23,83,16739,1,653,17393,24082,
23,QUINTANA ROO,7,OTHON P. BLANCO,164,338,344,7382,3845,1774,7379,2454,25166,45921,3390,358,2207,231,636,425,101168,105,4184,105457,180981,
23,QUINTANA ROO,8,SOLIDARIDAD,201,440,444,24015,6788,1164,25041,4387,6557,55256,1556,1681,2469,254,1150,498,130816,143,4525,135484,261328,
23,QUINTANA ROO,9,TULUM,44,81,83,1299,670,267,3806,1471,7127,11876,311,29,370,37,151,117,27531,32,1378,28941,45324,
23,QUINTANA ROO,10,BACALAR,28,63,64,747,999,458,2987,954,1599,8079,1032,57,260,60,87,73,17392,6,945,18343,34967,
23,QUINTANA ROO,11,PUERTO MORELOS,4,37,38,1593,1519,154,5273,269,527,4233,127,286,194,32,110,43,14360,38,646,15044,25375,
