CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO,NUMERO_LISTA,PERSONA CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
3,23,QUINTANA ROO,,,1,BENITO JUAREZ,,,PRES_MUN,PVEM_PT_MORENA,1,ANA PATRICIA PERALTA DE LA PEÑA,2,,,MORENA
3,23,QUINTANA ROO,,,1,BENITO JUAREZ,,,SIND_MR,PVEM_PT_MORENA,1,MIGUEL ANGEL ZENTENO CORTES,1,,,MORENA
3,23,QUINTANA ROO,,,1,BENITO JUAREZ,,,REG_MR,PVEM_PT_MORENA,1,LANDY GUADALUPE CANCHE PANTOJA,2,CANDIDATURAS DE DISCAPACIDAD,,MORENA
3,23,QUINTANA ROO,,,1,BENITO JUAREZ,,,REG_MR,PVEM_PT_MORENA,1,MARCOS DE NAELE BASILIO SALDIVAR,1,,,MORENA
3,23,QUINTANA ROO,,,1,BENITO JUAREZ,,,REG_MR,PVEM_PT_MORENA,1,MIRIAM MORALES VAZQUEZ,2,CANDIDATURAS INDIGENAS,,MORENA
3,23,QUINTANA ROO,,,1,BENITO JUAREZ,,,REG_MR,PVEM_PT_MORENA,1,PAULA PECH VAZQUEZ,2,CANDIDATURAS DE PERSONAS MAYORES,,MORENA
3,23,QUINTANA ROO,,,1,BENITO JUAREZ,,,REG_MR,PVEM_PT_MORENA,1,IVETTE LORENA MANJARREZ CARDONA,2,,,MORENA
3,23,QUINTANA ROO,,,1,BENITO JUAREZ,,,REG_MR,PVEM_PT_MORENA,1,JUAN MANUEL TORRES PAREDES,1,,,PVEM
3,23,QUINTANA ROO,,,1,BENITO JUAREZ,,,REG_MR,PVEM_PT_MORENA,1,SILVANA GUADALUPE CORDOVA UICAB,2,CANDIDATURAS DE PERSONAS JOVENES,,MORENA
3,23,QUINTANA ROO,,,1,BENITO JUAREZ,,,REG_MR,PVEM_PT_MORENA,1,SAMUEL MOLLINEDO PORTILLA,1,CANDIDATURAS DE PERSONAS JOVENES,,PVEM
3,23,QUINTANA ROO,,,1,BENITO JUAREZ,,,REG_MR,PVEM_PT_MORENA,1,SUSANA ANDREA DZIB GONZALEZ,2,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,PT
3,23,QUINTANA ROO,,,1,BENITO JUAREZ,,,REG_RP,PAN_PRI,1,JORGE RODRIGUEZ MENDEZ,1,,,PRI
3,23,QUINTANA ROO,,,1,BENITO JUAREZ,,,REG_RP,PAN_PRI,2,OLGA ESTHER MOO TUZ,2,,,PAN
3,23,QUINTANA ROO,,,1,BENITO JUAREZ,,,REG_RP,PAN_PRI,3,CARLOS ENRIQUE AVILA LIZARRAGA,1,,,PAN
3,23,QUINTANA ROO,,,1,BENITO JUAREZ,,,REG_RP,PAN_PRI,4,JULIA ISABEL FUENTES ESPINOSA,2,,,PRI
3,23,QUINTANA ROO,,,1,BENITO JUAREZ,,,REG_RP,MC,1,JESUS DE LOS ANGELES POOL MOO,1,,,MC
3,23,QUINTANA ROO,,,1,BENITO JUAREZ,,,REG_RP,MC,2,LIDIA NATALY MENDEZ VIDAL,2,CANDIDATURAS DE PERSONAS JOVENES,,MC
3,23,QUINTANA ROO,,,2,COZUMEL,,,PRES_MUN,PVEM_PT_MORENA,1,JOSE LUIS CHACON MENDEZ,1,CANDIDATURAS DE DISCAPACIDAD,,MORENA
3,23,QUINTANA ROO,,,2,COZUMEL,,,SIND_MR,PVEM_PT_MORENA,1,DANIELA GEOMARA AYALA BLANCO,2,,,MORENA
3,23,QUINTANA ROO,,,2,COZUMEL,,,REG_MR,PVEM_PT_MORENA,1,LENIN ALEJANDRO MATTAR PEREZ,1,,,MORENA
3,23,QUINTANA ROO,,,2,COZUMEL,,,REG_MR,PVEM_PT_MORENA,1, MARIA FERNANDA VARGAS GONZALEZ,2,,,MORENA
3,23,QUINTANA ROO,,,2,COZUMEL,,,REG_MR,PVEM_PT_MORENA,1,RAQUEL ADRIANA PAREDES PECH,2,,,PVEM
3,23,QUINTANA ROO,,,2,COZUMEL,,,REG_MR,PVEM_PT_MORENA,1,AZALIA BELEM GURIGUTIA BE,2,CANDIDATURAS DE PERSONAS JOVENES,,MORENA
3,23,QUINTANA ROO,,,2,COZUMEL,,,REG_MR,PVEM_PT_MORENA,1,JAVIER OVIDIO VAZQUEZ LOPEZ,1,CANDIDATURAS DE PERSONAS JOVENES,,PT
3,23,QUINTANA ROO,,,2,COZUMEL,,,REG_MR,PVEM_PT_MORENA,1, MARIA DEL CARMEN CRUZ ZUÑIGA,2,CANDIDATURAS INDIGENAS,,MORENA
3,23,QUINTANA ROO,,,2,COZUMEL,,,REG_RP,PAN_PRI,1,PEDRO OSCAR JOAQUIN DELBOUIS,1,,,PRI
3,23,QUINTANA ROO,,,2,COZUMEL,,,REG_RP,PAN_PRI,2,ANA GABRIELA ARANA MARTIN,2,CANDIDATURAS DE DISCAPACIDAD,,PRI
3,23,QUINTANA ROO,,,2,COZUMEL,,,REG_RP,MC,1,ROBERTO ALAN MARIN FLORES,1,,,MC
3,23,QUINTANA ROO,,,3,FELIPE CARRILLO PUERTO,,,PRES_MUN,PVEM_PT_MORENA,1,MARICARMEN CANDELARIA HERNANDEZ SOLIS,2,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,MORENA
3,23,QUINTANA ROO,,,3,FELIPE CARRILLO PUERTO,,,SIND_MR,PVEM_PT_MORENA,1, MARIO DIDIER AGUILAR RAMIREZ,1,CANDIDATURAS INDIGENAS,,MORENA
3,23,QUINTANA ROO,,,3,FELIPE CARRILLO PUERTO,,,REG_MR,PVEM_PT_MORENA,1,MARIA JULIANA MAY ESQUIVEL,2,CANDIDATURAS INDIGENAS,,MORENA
3,23,QUINTANA ROO,,,3,FELIPE CARRILLO PUERTO,,,REG_MR,PVEM_PT_MORENA,1,MARCO ANTONIO CARBALLO TADEO,1,,,MORENA
3,23,QUINTANA ROO,,,3,FELIPE CARRILLO PUERTO,,,REG_MR,PVEM_PT_MORENA,1,LILIANA GUADALUPE OJEDA ARANA,2,CANDIDATURAS INDIGENAS,,MORENA
3,23,QUINTANA ROO,,,3,FELIPE CARRILLO PUERTO,,,REG_MR,PVEM_PT_MORENA,1, MIGUEL ANGEL MARTINEZ GONZALEZ,1,,,MORENA
3,23,QUINTANA ROO,,,3,FELIPE CARRILLO PUERTO,,,REG_MR,PVEM_PT_MORENA,1,MARYTERE ANAHI MALDONADO CHULIM,2,CANDIDATURAS DE PERSONAS JOVENES,,PVEM
3,23,QUINTANA ROO,,,3,FELIPE CARRILLO PUERTO,,,REG_MR,PVEM_PT_MORENA,1,BRAYAN MANUEL SIERRA BARRIOS,1,CANDIDATURAS DE PERSONAS JOVENES,,PT
3,23,QUINTANA ROO,,,3,FELIPE CARRILLO PUERTO,,,REG_RP,PRD,1,MARIA LUISA POOT EK,2,CANDIDATURAS INDIGENAS,,PRD
3,23,QUINTANA ROO,,,3,FELIPE CARRILLO PUERTO,,,REG_RP,PRD,2,JESSICA ITZEL GARCIA BE,2,CANDIDATURAS DE PERSONAS JOVENES,,PRD
3,23,QUINTANA ROO,,,3,FELIPE CARRILLO PUERTO,,,REG_RP,PRD,3,ELIAS BE CITUK,1,CANDIDATURAS INDIGENAS,,PRD
3,23,QUINTANA ROO,,,4,ISLA MUJERES,,,PRES_MUN,PVEM_PT_MORENA,1,TERESA ATENEA GOMEZ RICALDE,2,,,MORENA
3,23,QUINTANA ROO,,,4,ISLA MUJERES,,,SIND_MR,PVEM_PT_MORENA,1,JOSE INES AGUILAR RODRIGUEZ,1,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,MORENA
3,23,QUINTANA ROO,,,4,ISLA MUJERES,,,REG_MR,PVEM_PT_MORENA,1,ISLA DEL MAR MAGAÑA LOPEZ,2,CANDIDATURAS DE PERSONAS JOVENES,,MORENA
3,23,QUINTANA ROO,,,4,ISLA MUJERES,,,REG_MR,PVEM_PT_MORENA,1,BELLA MAR GARRIDO GOMEZ,2,,,MORENA
3,23,QUINTANA ROO,,,4,ISLA MUJERES,,,REG_MR,PVEM_PT_MORENA,1,IMPERIA OPALINA FLORES GONZALEZ,2,CANDIDATURAS DE PERSONAS JOVENES,,PT
3,23,QUINTANA ROO,,,4,ISLA MUJERES,,,REG_MR,PVEM_PT_MORENA,1,JESUS ORLANDO SILVA KOH,1,CANDIDATURAS INDIGENAS,,MORENA
3,23,QUINTANA ROO,,,4,ISLA MUJERES,,,REG_MR,PVEM_PT_MORENA,1,MARGARITA CONCEPCION BRICEÑO MAGAÑA,2,,,PVEM
