CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QS,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,PVEM_MORENA_PT,PVEM_MORENA,PVEM_PT,MORENA_PT,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,0,A,11,0,VA11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,3,GRUPO DE RECUENTO,,,
5,22,QUERETARO,12,TEQUISQUIAPAN,17,TEQUISQUIAPAN,0,A,15,0,VA15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,ACTA CASILLA,,,
5,22,QUERETARO,12,TEQUISQUIAPAN,11,PEDRO ESCOBEDO,0,A,16,0,VA16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,ACTA CASILLA,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,0,A,18,0,VA18,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,9,ACTA CASILLA,,,
5,22,QUERETARO,15,JALPAN DE SERRA,3,CADEREYTA DE MONTES,0,A,20,0,VA20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,ACTA CASILLA,,,
5,22,QUERETARO,15,JALPAN DE SERRA,8,JALPAN DE SERRA,0,A,21,0,VA21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,ACTA CASILLA,,,
5,22,QUERETARO,15,JALPAN DE SERRA,9,LANDA DE MATAMOROS,0,A,22,0,VA22,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,ACTA CASILLA,,,
5,22,QUERETARO,15,JALPAN DE SERRA,13,PINAL DE AMOLES,0,A,23,0,VA23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,ACTA CASILLA,,,
5,22,QUERETARO,15,JALPAN DE SERRA,15,SAN JOAQUIN,0,A,24,0,VA24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ACTA CASILLA,,,
5,22,QUERETARO,9,AMEALCO DE BONFIL,7,HUIMILPAN,0,A,25,0,VA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ACTA CASILLA,,,
5,22,QUERETARO,0,VOTO ANTICIPADO,5,CORREGIDORA,0,A,26,0,VA26,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,6,GRUPO DE RECUENTO,,,
5,22,QUERETARO,0,VOTO ANTICIPADO,10,EL MARQUES,0,A,27,0,VA27,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,11,ACTA CASILLA,,,
5,22,QUERETARO,0,VOTO ANTICIPADO,14,QUERETARO,0,A,28,0,VA28,0,5,3,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,16,0,2,18,18,ACTA CASILLA,,,
5,22,QUERETARO,0,VOTO ANTICIPADO,14,QUERETARO,0,A,29,0,VA29,0,8,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,17,19,ACTA CASILLA,,,
5,22,QUERETARO,0,VOTO ANTICIPADO,14,QUERETARO,0,A,30,0,VA30,0,3,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,9,10,ACTA CASILLA,,,
5,22,QUERETARO,0,VOTO ANTICIPADO,16,SAN JUAN DEL RIO,0,A,31,0,VA31,0,2,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,10,GRUPO DE RECUENTO,,,
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,1,B,1,0,B,0,51,54,6,190,11,47,2,3,0,0,0,0,0,0,0,0,5,0,2,0,0,10,0,0,381,0,13,394,536,GRUPO DE RECUENTO,,,
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,1,C,1,0,C01,0,35,68,8,173,10,39,3,5,0,0,0,0,0,0,0,0,4,1,0,0,0,11,0,0,357,0,18,375,535,GRUPO DE RECUENTO,,,
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,2,B,1,0,B,0,50,75,3,156,6,28,3,1,0,0,0,0,0,0,0,0,4,1,0,0,0,8,0,0,335,1,9,345,507,GRUPO DE RECUENTO,,,
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,2,C,1,0,C01,0,63,65,3,134,10,34,4,4,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,331,0,11,342,506,GRUPO DE RECUENTO,,,
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,3,B,1,0,B,0,41,51,3,158,4,41,3,3,0,0,0,0,0,0,0,0,4,1,0,0,0,14,0,0,323,0,9,332,548,GRUPO DE RECUENTO,,,
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,3,C,1,0,C01,0,36,45,5,159,8,51,4,3,0,0,0,0,0,0,0,0,10,0,0,1,0,8,0,0,330,0,20,350,547,GRUPO DE RECUENTO,,,
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,3,C,2,0,C02,0,35,50,3,168,7,54,5,2,0,0,0,0,0,0,0,0,4,0,1,0,0,9,0,0,338,0,16,354,547,GRUPO DE RECUENTO,,,
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,4,B,1,0,B,0,50,59,7,178,6,48,5,0,0,0,0,0,0,0,0,0,5,1,0,0,0,8,0,0,367,3,18,388,608,GRUPO DE RECUENTO,,,
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,4,C,1,0,C01,0,55,59,3,166,14,45,3,2,0,0,0,0,0,0,0,0,9,3,0,0,0,11,0,0,370,0,11,381,608,GRUPO DE RECUENTO,,,
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,4,C,2,0,C02,0,38,63,3,169,5,48,9,0,0,0,0,0,0,0,0,0,6,2,0,0,0,6,0,0,349,0,12,361,608,GRUPO DE RECUENTO,,,
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,5,B,1,0,B,0,40,56,3,179,12,52,5,2,0,0,0,0,0,0,0,0,3,0,2,0,0,8,0,0,362,1,11,374,570,GRUPO DE RECUENTO,,,
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,5,C,1,0,C01,0,34,52,3,198,14,43,1,0,0,0,0,0,0,0,0,0,8,2,2,1,0,10,0,0,368,0,14,382,570,GRUPO DE RECUENTO,,,
