ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QS,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,PVEM_MORENA_PT,PVEM_MORENA,PVEM_PT,MORENA_PT,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
22,QUERETARO,1,AMEALCO DE BONFIL,35,99,100,,,342,11302,,,,204,,,,,,,,,7938,,,,,10631,,,30417,94,1812,32323,53345,
22,QUERETARO,2,ARROYO SECO,11,24,24,,3024,,,2851,1369,128,,,,,,,,,,,,,,,,47,,7419,0,324,7743,11782,
22,QUERETARO,3,CADEREYTA DE MONTES,32,98,99,,,550,689,1583,18649,992,470,,,,,,,,,,,,,,9028,,,31961,9,1979,33949,55797,
22,QUERETARO,4,COLON,25,88,89,,,,9703,1403,5110,3371,677,,,,936,,,,1010,,,,,7844,,,,30054,16,1531,31601,51278,
22,QUERETARO,5,CORREGIDORA,66,272,273,64071,5801,1570,2907,3121,,,3530,,,,,,,,,,,,26433,,,,,107433,80,4099,111612,175905,
22,QUERETARO,6,EZEQUIEL MONTES,17,58,58,,,399,61,233,,,25,,,,,,,,,,,,12135,,10847,,,23700,4,921,24625,35048,
22,QUERETARO,7,HUIMILPAN,15,57,58,,,,417,6576,1334,140,443,,,,,,,,,,,,,8543,,,,17453,4,735,18192,32322,
22,QUERETARO,8,JALPAN DE SERRA,15,45,46,,,,,,1967,99,,1889,,5459,,,,,,,,,,3704,,,,13118,5,589,13712,22853,
22,QUERETARO,9,LANDA DE MATAMOROS,14,32,33,,4913,,25,,,,,,,,,,,,,1422,,,,,,3954,,10314,2,618,10934,16994,
22,QUERETARO,10,EL MARQUES,56,272,273,61126,5257,389,3278,3130,29232,1935,988,,,,,,,,,,,,,,,,,105335,59,4655,110049,175452,
22,QUERETARO,11,PEDRO ESCOBEDO,25,94,95,8711,,,1398,1203,13814,2794,527,,,,,,,,,,,,,,,,7040,35487,10,1579,37076,59215,
22,QUERETARO,12,PEÑAMILLER,14,31,31,,,,2182,107,2388,2978,22,,,,,,,,,,,,,3421,,,,11098,1,374,11473,15737,
22,QUERETARO,13,PINAL DE AMOLES,18,44,45,,,4643,124,459,,,,,,,,,,,,,,,730,,6324,,,12280,7,771,13058,20895,
22,QUERETARO,14,QUERETARO,440,1377,1380,,,,29998,,,,13145,,,,,,,,,205254,,,,252293,,,,500690,406,11147,512243,847093,
22,QUERETARO,15,SAN JOAQUIN,7,17,18,38,,,,2708,305,31,,,1103,,,,,,,,,,,,,,347,4532,6,175,4713,7654,
22,QUERETARO,16,SAN JUAN DEL RIO,120,394,395,55217,6850,1454,6878,,,,9440,,,,,,,,,54120,,,,,,,,133959,64,4188,138211,235505,
22,QUERETARO,17,TEQUISQUIAPAN,30,96,97,,,,1678,2497,,,198,,,,,1033,,685,,,,,21774,12003,,,,39868,15,1183,41066,59550,
22,QUERETARO,18,TOLIMAN,13,40,40,5050,176,36,2139,7522,,,108,,,,,,106,,,,,,1203,,,,,16340,0,578,16918,22726,
