CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QS,PVEM_MORENA_PT,PVEM_MORENA,PVEM_PT,MORENA_PT,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,22,QUERETARO,1,QUERETARO,14,QUERETARO,0,A,1,0,VA01,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,4,0,2,6,6,ACTA CASILLA,,,
5,22,QUERETARO,2,QUERETARO,14,QUERETARO,0,A,2,0,VA02,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,4,5,GRUPO DE RECUENTO,,,
5,22,QUERETARO,3,QUERETARO,14,QUERETARO,0,A,3,0,VA03,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,ACTA CASILLA,,,
5,22,QUERETARO,4,QUERETARO,14,QUERETARO,0,A,4,0,VA04,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,GRUPO DE RECUENTO,,,
5,22,QUERETARO,5,QUERETARO,14,QUERETARO,0,A,5,0,VA05,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,4,4,ACTA CASILLA,,,
5,22,QUERETARO,5,QUERETARO,14,QUERETARO,0,A,6,0,VA06,0,2,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,9,0,0,9,12,ACTA CASILLA,,,
5,22,QUERETARO,6,QUERETARO,14,QUERETARO,0,A,7,0,VA07,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,ACTA CASILLA,,,
5,22,QUERETARO,6,QUERETARO,0,VOTO ANTICIPADO,0,A,8,0,VA08,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,7,9,ACTA CASILLA,,,
5,22,QUERETARO,7,QUERETARO,14,QUERETARO,0,A,9,0,VA09,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,GRUPO DE RECUENTO,,,
5,22,QUERETARO,8,CORREGIDORA,5,CORREGIDORA,0,A,10,0,VA10,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,ACTA CASILLA,,,
5,22,QUERETARO,9,AMEALCO DE BONFIL,1,AMEALCO DE BONFIL,0,A,11,0,VA11,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,ACTA CASILLA,,,
5,22,QUERETARO,9,AMEALCO DE BONFIL,0,VOTO ANTICIPADO,0,A,12,0,VA12,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,6,ACTA CASILLA,,,
5,22,QUERETARO,10,SAN JUAN DEL RIO,16,SAN JUAN DEL RIO,0,A,13,0,VA13,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,4,5,ACTA CASILLA,,,
5,22,QUERETARO,11,SAN JUAN DEL RIO,16,SAN JUAN DEL RIO,0,A,14,0,VA14,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,GRUPO DE RECUENTO,,,
5,22,QUERETARO,12,TEQUISQUIAPAN,17,TEQUISQUIAPAN,0,A,15,0,VA15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,ACTA CASILLA,,,
5,22,QUERETARO,12,TEQUISQUIAPAN,11,PEDRO ESCOBEDO,0,A,16,0,VA16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,ACTA CASILLA,,,
5,22,QUERETARO,13,EL MARQUES,10,EL MARQUES,0,A,17,0,VA17,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,4,6,ACTA CASILLA,,,
5,22,QUERETARO,14,EZEQUIEL MONTES,4,COLON,0,A,18,0,VA18,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,5,9,GRUPO DE RECUENTO,,,
5,22,QUERETARO,15,JALPAN DE SERRA,0,VOTO ANTICIPADO,0,A,19,0,VA19,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,6,ACTA CASILLA,,,
