ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QS,PVEM_MORENA_PT,PVEM_MORENA,PVEM_PT,MORENA_PT,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
22,QUERETARO,1,QUERETARO,76,220,221,28474,3625,766,4107,2955,29903,1575,1854,2457,584,111,257,1747,350,72,9,78846,69,2012,80927,132477,https://ieequeretaro-my.sharepoint.com/personal/viviana_leal_ieeq_mx/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fviviana%5Fleal%5Fieeq%5Fmx%2FDocuments%2FDocumentos%2F2024%2FSIVOPLE%5FDEOE%2FANEXO%2015%2FACTAS%20TOTALES%20POR%20CONSEJO%2FDISTRITALES%2FCD01%5FTOTAL%5FDIPUTACIONES%2Epdf&parent=%2Fpersonal%2Fviviana%5Fleal%5Fieeq%5Fmx%2FDocuments%2FDocumentos%2F2024%2FSIVOPLE%5FDEOE%2FANEXO%2015%2FACTAS%20TOTALES%20POR%20CONSEJO%2FDISTRITALES&ga=1
22,QUERETARO,2,QUERETARO,72,199,200,22572,2822,534,4889,3303,29057,1594,1595,2695,546,84,288,1549,356,50,16,71950,89,1777,73816,123132,https://ieequeretaro-my.sharepoint.com/personal/viviana_leal_ieeq_mx/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fviviana%5Fleal%5Fieeq%5Fmx%2FDocuments%2FDocumentos%2F2024%2FSIVOPLE%5FDEOE%2FANEXO%2015%2FACTAS%20TOTALES%20POR%20CONSEJO%2FDISTRITALES%2FCD02%5FTOTAL%5FDIPUTACIONES%2Epdf&parent=%2Fpersonal%2Fviviana%5Fleal%5Fieeq%5Fmx%2FDocuments%2FDocumentos%2F2024%2FSIVOPLE%5FDEOE%2FANEXO%2015%2FACTAS%20TOTALES%20POR%20CONSEJO%2FDISTRITALES&ga=1
22,QUERETARO,3,QUERETARO,31,156,157,17578,1783,358,2781,2638,22912,1240,1209,2009,395,85,195,1141,205,36,4,54569,46,1318,55933,104937,https://ieequeretaro-my.sharepoint.com/personal/viviana_leal_ieeq_mx/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fviviana%5Fleal%5Fieeq%5Fmx%2FDocuments%2FDocumentos%2F2024%2FSIVOPLE%5FDEOE%2FANEXO%2015%2FACTAS%20TOTALES%20POR%20CONSEJO%2FDISTRITALES%2FCD03%5FTOTAL%5FDIPUTACIONES%2Epdf&parent=%2Fpersonal%2Fviviana%5Fleal%5Fieeq%5Fmx%2FDocuments%2FDocumentos%2F2024%2FSIVOPLE%5FDEOE%2FANEXO%2015%2FACTAS%20TOTALES%20POR%20CONSEJO%2FDISTRITALES&ga=1
22,QUERETARO,4,QUERETARO,59,198,199,30646,5207,623,2869,2671,25203,1600,1034,2137,478,139,307,,,571,,73485,50,2559,76094,125445,https://ieequeretaro-my.sharepoint.com/personal/viviana_leal_ieeq_mx/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fviviana%5Fleal%5Fieeq%5Fmx%2FDocuments%2FDocumentos%2F2024%2FSIVOPLE%5FDEOE%2FANEXO%2015%2FACTAS%20TOTALES%20POR%20CONSEJO%2FDISTRITALES%2FCD04%5FTOTAL%5FDIPUTACIONES%2Epdf&parent=%2Fpersonal%2Fviviana%5Fleal%5Fieeq%5Fmx%2FDocuments%2FDocumentos%2F2024%2FSIVOPLE%5FDEOE%2FANEXO%2015%2FACTAS%20TOTALES%20POR%20CONSEJO%2FDISTRITALES&ga=1
22,QUERETARO,5,QUERETARO,98,246,248,44242,8975,1203,5263,1998,24415,1323,2172,2160,415,72,217,,,,,92455,92,3312,95859,146720,https://ieequeretaro-my.sharepoint.com/personal/viviana_leal_ieeq_mx/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fviviana%5Fleal%5Fieeq%5Fmx%2FDocuments%2FDocumentos%2F2024%2FSIVOPLE%5FDEOE%2FANEXO%2015%2FACTAS%20TOTALES%20POR%20CONSEJO%2FDISTRITALES%2FCD05%5FTOTAL%5FDIPUTACIONES%2Epdf&parent=%2Fpersonal%2Fviviana%5Fleal%5Fieeq%5Fmx%2FDocuments%2FDocumentos%2F2024%2FSIVOPLE%5FDEOE%2FANEXO%2015%2FACTAS%20TOTALES%20POR%20CONSEJO%2FDISTRITALES&ga=1
22,QUERETARO,6,QUERETARO,92,238,240,42973,4315,817,5436,2680,24619,1483,2213,2166,525,111,400,,,1181,,88919,102,2803,91824,139294,https://ieequeretaro-my.sharepoint.com/personal/viviana_leal_ieeq_mx/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fviviana%5Fleal%5Fieeq%5Fmx%2FDocuments%2FDocumentos%2F2024%2FSIVOPLE%5FDEOE%2FANEXO%2015%2FACTAS%20TOTALES%20POR%20CONSEJO%2FDISTRITALES%2FCD06%5FTOTAL%5FDIPUTACIONES%2Epdf&parent=%2Fpersonal%2Fviviana%5Fleal%5Fieeq%5Fmx%2FDocuments%2FDocumentos%2F2024%2FSIVOPLE%5FDEOE%2FANEXO%2015%2FACTAS%20TOTALES%20POR%20CONSEJO%2FDISTRITALES&ga=1
22,QUERETARO,7,QUERETARO,45,197,198,26242,4275,604,4447,2075,22080,1210,1507,1330,401,119,197,,,526,,65013,13,2426,67452,119632,
22,QUERETARO,8,CORREGIDORA,33,195,196,40470,7620,1118,2654,2660,20871,1595,1337,,,,439,,,,,78764,48,3077,81889,131361,https://ieequeretaro-my.sharepoint.com/personal/viviana_leal_ieeq_mx/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fviviana%5Fleal%5Fieeq%5Fmx%2FDocuments%2FDocumentos%2F2024%2FSIVOPLE%5FDEOE%2FANEXO%2015%2FACTAS%20TOTALES%20POR%20CONSEJO%2FDISTRITALES%2FCD08%5FTOTAL%5FDIPUTACIONES%2Epdf&parent=%2Fpersonal%2Fviviana%5Fleal%5Fieeq%5Fmx%2FDocuments%2FDocumentos%2F2024%2FSIVOPLE%5FDEOE%2FANEXO%2015%2FACTAS%20TOTALES%20POR%20CONSEJO%2FDISTRITALES&ga=1
22,QUERETARO,9,AMEALCO DE BONFIL,60,231,233,26240,5674,1204,5735,9094,20826,1692,1538,1528,576,246,189,,1323,,,75865,75,3880,79820,135917,https://ieequeretaro-my.sharepoint.com/personal/viviana_leal_ieeq_mx/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fviviana%5Fleal%5Fieeq%5Fmx%2FDocuments%2FDocumentos%2F2024%2FSIVOPLE%5FDEOE%2FANEXO%2015%2FACTAS%20TOTALES%20POR%20CONSEJO%2FDISTRITALES%2FCD09%5FTOTAL%5FDIPUTACIONES%2Epdf&parent=%2Fpersonal%2Fviviana%5Fleal%5Fieeq%5Fmx%2FDocuments%2FDocumentos%2F2024%2FSIVOPLE%5FDEOE%2FANEXO%2015%2FACTAS%20TOTALES%20POR%20CONSEJO%2FDISTRITALES&ga=1
22,QUERETARO,10,SAN JUAN DEL RIO,62,194,195,20226,2533,577,5007,3265,27164,1850,2539,2113,470,148,249,787,217,41,15,67201,68,1929,69198,117259,https://ieequeretaro-my.sharepoint.com/personal/viviana_leal_ieeq_mx/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fviviana%5Fleal%5Fieeq%5Fmx%2FDocuments%2FDocumentos%2F2024%2FSIVOPLE%5FDEOE%2FANEXO%2015%2FACTAS%20TOTALES%20POR%20CONSEJO%2FDISTRITALES%2FCD10%5FTOTAL%5FDIPUTACIONES%2Epdf&parent=%2Fpersonal%2Fviviana%5Fleal%5Fieeq%5Fmx%2FDocuments%2FDocumentos%2F2024%2FSIVOPLE%5FDEOE%2FANEXO%2015%2FACTAS%20TOTALES%20POR%20CONSEJO%2FDISTRITALES&ga=1
