ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QS,PVEM_MORENA_PT,MORENA_PT,PAN_PRI_PRD,PAN_PRI,PAN_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
22,QUERETARO,1,QUERETARO,76,220,221,,,,4107,,,,1854,37842,,35043,,,78846,69,2012,80927,132477,
22,QUERETARO,2,QUERETARO,72,199,200,,,,4889,,,,1595,37567,,27899,,,71950,89,1777,73816,123132,
22,QUERETARO,3,QUERETARO,31,156,157,,,,2781,,,,1209,29474,,21105,,,54569,46,1318,55933,104937,
22,QUERETARO,4,QUERETARO,59,198,199,,5207,,2869,,,,1034,32535,,,,31840,73485,50,2559,76094,125445,
22,QUERETARO,5,QUERETARO,98,246,248,44242,8975,1203,5263,,,,2172,30600,,,,,92455,92,3312,95859,146720,
22,QUERETARO,6,QUERETARO,92,238,240,,4315,,5436,,,,2213,31984,,,,44971,88919,102,2803,91824,139294,
22,QUERETARO,7,QUERETARO,45,197,198,,4275,,4447,,,,1507,27412,,,,27372,65013,13,2426,67452,119632,
22,QUERETARO,8,CORREGIDORA,33,195,196,40470,7620,1118,2654,2660,,,1337,,22905,,,,78764,48,3077,81889,131361,
22,QUERETARO,9,AMEALCO DE BONFIL,60,231,233,,,1204,5735,,,,1538,34151,,,33237,,75865,75,3880,79820,135917,
22,QUERETARO,10,SAN JUAN DEL RIO,62,194,195,,,,5007,,,,2539,35259,,24396,,,67201,68,1929,69198,117259,
22,QUERETARO,11,SAN JUAN DEL RIO,58,200,201,,,,4719,4226,25493,2689,2201,,,27659,,,66987,32,3717,70736,118246,
22,QUERETARO,12,TEQUISQUIAPAN,55,190,192,,8620,,4871,12081,25972,3859,1158,,,,,18001,74562,45,3920,78527,118765,
22,QUERETARO,13,EL MARQUES,46,197,198,,4787,,3000,1765,27069,1616,1301,,,,,38279,77817,55,3673,81545,125202,
22,QUERETARO,14,EZEQUIEL MONTES,69,217,218,,,,11704,7732,27977,3896,867,,,27886,,,80062,19,4586,84667,124789,
22,QUERETARO,15,JALPAN DE SERRA,97,260,261,,,,2028,,,,2871,39714,,35279,,,79892,34,4646,84572,135975,
