ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
22,QUERETARO,1,QUERETARO,76,220,221,29268,4387,1388,4107,4122,31143,2577,1854,78846,69,2012,80927,132477,
22,QUERETARO,2,QUERETARO,72,199,200,23292,3524,1083,4889,4516,30373,2678,1595,71950,89,1777,73816,123132,
22,QUERETARO,3,QUERETARO,31,156,157,18080,2267,758,2781,3548,23878,2048,1209,54569,46,1318,55933,104937,
22,QUERETARO,4,QUERETARO,59,198,199,30932,5207,908,2869,3692,26309,2534,1034,73485,50,2559,76094,125445,
22,QUERETARO,5,QUERETARO,98,246,248,44242,8975,1203,5263,2961,25452,2187,2172,92455,92,3312,95859,146720,
22,QUERETARO,6,QUERETARO,92,238,240,43564,4315,1407,5436,3720,25804,2460,2213,88919,102,2803,91824,139294,
22,QUERETARO,7,QUERETARO,45,197,198,26505,4275,867,4447,2778,22824,1810,1507,65013,13,2426,67452,119632,
22,QUERETARO,8,CORREGIDORA,33,195,196,40470,7620,1118,2654,2660,21091,1814,1337,78764,48,3077,81889,131361,
22,QUERETARO,9,AMEALCO DE BONFIL,60,231,233,26902,6335,1204,5735,10014,21719,2418,1538,75865,75,3880,79820,135917,
22,QUERETARO,10,SAN JUAN DEL RIO,62,194,195,20619,2911,866,5007,4278,28229,2752,2539,67201,68,1929,69198,117259,
22,QUERETARO,11,SAN JUAN DEL RIO,58,200,201,23546,3163,950,4719,4226,25493,2689,2201,66987,32,3717,70736,118246,
22,QUERETARO,12,TEQUISQUIAPAN,55,190,192,16836,8620,1165,4871,12081,25972,3859,1158,74562,45,3920,78527,118765,
22,QUERETARO,13,EL MARQUES,46,197,198,37343,4787,936,3000,1765,27069,1616,1301,77817,55,3673,81545,125202,
22,QUERETARO,14,EZEQUIEL MONTES,69,217,218,21168,5521,1197,11704,7732,27977,3896,867,80062,19,4586,84667,124789,
22,QUERETARO,15,JALPAN DE SERRA,97,260,261,21903,10180,3196,2028,6779,30150,2785,2871,79892,34,4646,84572,135975,
