ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QS,PVEM_MORENA_PT,PVEM_MORENA,PVEM_PT,MORENA_PT,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
22,QUERETARO,0,VOTO ANTICIPADO,0,0,3,7,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,14,0,0,14,21,
22,QUERETARO,1,AMEALCO DE BONFIL,35,99,100,9973,3456,364,3800,2134,7520,705,376,611,232,120,69,,834,,,30194,58,1996,32248,53345,
22,QUERETARO,2,ARROYO SECO,11,24,24,960,1868,48,148,1532,2142,210,99,83,65,19,19,54,62,1,1,7311,0,443,7754,11782,
22,QUERETARO,3,CADEREYTA DE MONTES,32,98,98,6945,2208,509,893,1623,15725,898,2063,602,356,152,161,275,340,15,6,32771,24,1377,34172,55795,
22,QUERETARO,4,COLON,25,88,89,5515,3761,382,5242,3113,8965,1448,568,,,,,390,259,19,10,29672,16,1913,31601,51278,
22,QUERETARO,5,CORREGIDORA,66,272,273,55923,8824,1374,4333,3503,27996,2081,2086,521,76,19,499,,,316,,107551,85,3903,111539,175903,
22,QUERETARO,6,EZEQUIEL MONTES,17,58,58,8416,622,233,985,1016,10478,518,154,,,,,512,387,39,5,23365,1,1309,24675,35048,
22,QUERETARO,7,HUIMILPAN,15,57,57,5488,1202,451,615,5607,2402,270,500,291,183,72,25,,249,,,17355,4,1034,18393,32321,
22,QUERETARO,8,JALPAN DE SERRA,15,45,45,3838,1092,209,434,540,5360,430,344,237,101,27,43,306,101,14,3,13079,5,928,14012,22852,
22,QUERETARO,9,LANDA DE MATAMOROS,14,32,32,3478,3120,66,234,266,2414,206,60,107,41,26,22,74,46,23,7,10190,1,694,10885,16993,
22,QUERETARO,10,EL MARQUES,56,272,273,47825,5803,1030,4320,3118,37972,2333,1963,626,161,54,95,,240,590,,106130,68,4523,110721,175447,
22,QUERETARO,11,PEDRO ESCOBEDO,25,94,95,7639,5209,370,2202,3489,13781,2093,526,,,,,,,67,,35376,29,1771,37176,59215,
22,QUERETARO,12,PEÑAMILLER,14,31,31,3112,170,82,1478,356,3814,1697,55,,,,,118,17,8,0,10907,0,566,11473,15737,
22,QUERETARO,13,PINAL DE AMOLES,18,44,44,5175,729,1976,235,539,2421,304,151,79,58,35,40,87,276,19,16,12140,2,886,13028,20894,
22,QUERETARO,14,QUERETARO,440,1377,1385,197270,29798,4649,28113,17477,171061,9539,10835,14433,3268,702,1801,4437,911,2120,29,496443,424,15381,512248,847086,
22,QUERETARO,15,SAN JOAQUIN,7,17,17,777,455,60,84,1426,1223,74,154,39,48,12,7,29,8,1,0,4397,2,318,4717,7653,
22,QUERETARO,16,SAN JUAN DEL RIO,120,394,396,43233,5176,1102,9726,7491,52657,4539,4740,2113,470,148,249,1862,491,127,64,134188,100,5646,139934,235505,
22,QUERETARO,17,TEQUISQUIAPAN,30,96,97,8981,3411,579,2669,8592,12191,1766,632,,,,,,,365,,39186,16,2149,41351,59550,
22,QUERETARO,18,TOLIMAN,13,40,40,3376,249,88,3999,3247,4720,233,90,,,,,82,25,8,1,16118,2,798,16918,22726,
