ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
22,QUERETARO,1,QUERETARO,76,220,223,29307,4391,1388,4113,4123,31172,2579,1854,78927,69,2017,81013,132477,
22,QUERETARO,2,QUERETARO,72,199,200,23292,3524,1083,4889,4516,30373,2678,1595,71950,89,1777,73816,123132,
22,QUERETARO,3,QUERETARO,31,156,157,18080,2267,758,2781,3548,23878,2048,1209,54569,46,1318,55933,104937,
22,QUERETARO,4,QUERETARO,59,198,203,31000,5222,911,2875,3698,26359,2537,1034,73636,50,2575,76261,125445,
22,QUERETARO,5,QUERETARO,98,246,252,44360,8999,1205,5282,2968,25517,2190,2176,92697,92,3322,96111,146720,
22,QUERETARO,6,QUERETARO,92,238,242,43611,4315,1407,5441,3721,25842,2462,2214,89013,102,2814,91929,139294,
22,QUERETARO,7,QUERETARO,45,197,212,27013,4323,879,4510,2806,23075,1828,1525,65959,14,2488,68461,119632,
22,QUERETARO,8,CORREGIDORA,33,195,200,40632,7650,1125,2671,2667,21178,1821,1342,79086,49,3090,82225,131361,
22,QUERETARO,9,AMEALCO DE BONFIL,60,231,239,27177,6400,1212,5799,10096,21937,2439,1568,76628,76,3923,80627,135917,
22,QUERETARO,10,SAN JUAN DEL RIO,62,194,197,20740,2921,867,5038,4289,28359,2757,2551,67522,69,1946,69537,117259,
22,QUERETARO,11,SAN JUAN DEL RIO,58,200,207,23772,3173,953,4775,4260,25655,2699,2234,67521,32,3735,71288,118246,
22,QUERETARO,12,TEQUISQUIAPAN,55,190,196,17032,8655,1169,4901,12112,26136,3877,1169,75051,53,3928,79032,118765,
22,QUERETARO,13,EL MARQUES,46,197,202,37364,4788,937,3003,1767,27094,1617,1305,77875,55,3673,81603,125202,
22,QUERETARO,14,EZEQUIEL MONTES,69,217,221,21412,5534,1198,11740,7751,28283,3935,873,80726,19,4587,85332,124789,
22,QUERETARO,15,JALPAN DE SERRA,97,260,263,22033,10200,3201,2045,6793,30318,2795,2901,80286,34,4659,84979,135975,
