ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,MC,PVEM,MORENA,PT,QS,PVEM_MORENA_PT,PVEM_MORENA,PVEM_PT,MORENA_PT,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
22,QUERETARO,0,VOTO ANTICIPADO,0,0,3,7,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,14,0,0,14,21,
22,QUERETARO,1,AMEALCO DE BONFIL,35,99,102,10137,3509,367,3844,2168,7635,719,391,611,232,120,69,,834,,,30636,59,2016,32711,53345,
22,QUERETARO,2,ARROYO SECO,11,24,24,960,1868,48,148,1532,2142,210,99,83,65,19,19,54,62,1,1,7311,0,443,7754,11782,
22,QUERETARO,3,CADEREYTA DE MONTES,32,98,99,6995,2214,510,899,1628,15806,904,2080,602,356,152,161,275,340,15,6,32943,24,1377,34344,55795,
22,QUERETARO,4,COLON,25,88,91,5568,3764,383,5258,3120,9027,1450,571,,,,,390,259,19,10,29819,16,1914,31749,51278,
22,QUERETARO,5,CORREGIDORA,66,272,277,56085,8854,1381,4350,3510,28083,2088,2091,521,76,19,499,,,316,,107873,86,3916,111875,175903,
22,QUERETARO,6,EZEQUIEL MONTES,17,58,59,8607,632,233,1005,1028,10722,555,157,,,,,512,387,39,5,23882,1,1309,25192,35048,
22,QUERETARO,7,HUIMILPAN,15,57,59,5564,1212,455,629,5651,2458,275,508,291,183,72,25,,249,,,17572,4,1048,18624,32321,
22,QUERETARO,8,JALPAN DE SERRA,15,45,46,3918,1106,213,445,549,5447,434,357,237,101,27,43,306,101,14,3,13301,5,941,14247,22852,
22,QUERETARO,9,LANDA DE MATAMOROS,14,32,32,3478,3120,66,234,266,2414,206,60,107,41,26,22,74,46,23,7,10190,1,694,10885,16993,
22,QUERETARO,10,EL MARQUES,56,272,279,47881,5806,1032,4329,3124,38044,2336,1974,626,161,54,95,,240,590,,106292,68,4532,110892,175447,
22,QUERETARO,11,PEDRO ESCOBEDO,25,94,97,7685,5223,371,2207,3494,13836,2096,528,,,,,,,67,,35507,29,1774,37310,59215,
22,QUERETARO,12,PEÑAMILLER,14,31,31,3112,170,82,1478,356,3814,1697,55,,,,,118,17,8,0,10907,0,566,11473,15737,
22,QUERETARO,13,PINAL DE AMOLES,18,44,44,5175,729,1976,235,539,2421,304,151,79,58,35,40,87,276,19,16,12140,2,886,13028,20894,
22,QUERETARO,14,QUERETARO,440,1377,1411,198050,29889,4666,28212,17520,171494,9567,10858,14433,3268,702,1801,4437,911,2120,29,497957,425,15485,513867,847086,
22,QUERETARO,15,SAN JOAQUIN,7,17,17,777,455,60,84,1426,1223,74,154,39,48,12,7,29,8,1,0,4397,2,318,4717,7653,
22,QUERETARO,16,SAN JUAN DEL RIO,120,394,404,43580,5196,1106,9813,7536,52949,4554,4785,2113,470,148,249,1862,491,127,64,135043,101,5681,140825,235505,
22,QUERETARO,17,TEQUISQUIAPAN,30,96,99,9131,3432,582,2694,8618,12300,1781,641,,,,,,,365,,39544,24,2154,41722,59550,
22,QUERETARO,18,TOLIMAN,13,40,40,3376,249,88,3999,3247,4720,233,90,,,,,82,25,8,1,16118,2,798,16918,22726,
