CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL ,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL ,DEMARCACION_LOCAL ,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO ,NUMERO_LISTA,PERSONA CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA ,PARTIDO_POLITICO 
5,22,QUERETARO,1,QUERETARO,,,,,DIP_LOC_MR,PVEM_MORENA_PT,1,LAURA ANDREA TOVAR SAAVEDRA,2,,,MORENA
5,22,QUERETARO,2,QUERETARO,,,,,DIP_LOC_MR,PVEM_MORENA_PT,1,HOMERO BARRERA MCDONALD,1,,,MORENA
5,22,QUERETARO,3,QUERETARO,,,,,DIP_LOC_MR,PVEM_MORENA_PT,1,ARTURO MAXIMILIANO GARCIA PEREZ,1,,,PVEM
5,22,QUERETARO,4,QUERETARO,,,,,DIP_LOC_MR,PVEM_MORENA_PT,1,CLAUDIA DIAZ GAYOU,2,,,PT
5,22,QUERETARO,5,QUERETARO,,,,,DIP_LOC_MR,PAN,1,JULIANA ROSARIO HERNANDEZ QUINTANAR,2,,,PAN
5,22,QUERETARO,6,QUERETARO,,,,,DIP_LOC_MR,PAN_PRD,1,MAURICIO CARDENAS PALACIOS,1,,,PAN
5,22,QUERETARO,7,QUERETARO,,,,,DIP_LOC_MR,PVEM_MORENA_PT,1,ULISES GOMEZ DE LA ROSA,1,,,PT
5,22,QUERETARO,8,CORREGIDORA,,,,,DIP_LOC_MR,PAN ,1,LUIS ANTONIO ZAPATA GUERRERO,1,CANDIDATURAS DE PERSONAS MAYORES,,PAN
5,22,QUERETARO,9,AMEALCO DE BONFIL,,,,,DIP_LOC_MR,PVEM_MORENA_PT,1,MARIA GEORGINA GUZMAN ALVAREZ,2,,,PVEM
5,22,QUERETARO,10,SAN JUAN DEL RIO,,,,,DIP_LOC_MR,PVEM_MORENA_PT,1,EDGAR INZUNZA BALLESTEROS,1,,,MORENA
5,22,QUERETARO,11,SAN JUAN DEL RIO,,,,,DIP_LOC_MR,PAN_PRI_PRD,1,GUILLERMO VEGA GUERRERO,1,,,PAN
5,22,QUERETARO,12,TEQUISQUIAPAN,,,,,DIP_LOC_MR,MORENA,1,SULLY YANIRA MAURICIO SIXTOS,2,,,MORENA
5,22,QUERETARO,13,EL MARQUES,,,,,DIP_LOC_MR,PAN_PRD,1,ALEJANDRINA VERONICA GALICIA CASTAÑON,2,,,PAN
5,22,QUERETARO,14,EZEQUIEL MONTES,,,,,DIP_LOC_MR,MORENA,1,ERIC SILVA HERNANDEZ ,1,,,MORENA
5,22,QUERETARO,15,JALPAN DE SERRA,,,,,DIP_LOC_MR,PVEM_MORENA_PT,1,MARIA BLANCA FLOR BENITEZ ESTRADA,2,,,MORENA
5,22,QUERETARO,,,,,,,DIP_LOC_RP,PAN,1,MARIA LEONOR MEJIA BARRAZA,2,,,PAN
5,22,QUERETARO,,,,,,,DIP_LOC_RP,PAN,2,LUIS GERARDO ANGELES HERRERA,1,,,PAN
5,22,QUERETARO,,,,,,,DIP_LOC_RP,PAN,3,ENRIQUE ANTONIO CORREA SADA,1,,,PAN
5,22,QUERETARO,,,,,,,DIP_LOC_RP,PRI,1,PAUL OSPITAL CARRERA,1,,,PRI
5,22,QUERETARO,,,,,,,DIP_LOC_RP,PRI,2,ADRIANA ELISA MEZA ARGALUZA,2,,,PRI
5,22,QUERETARO,,,,,,,DIP_LOC_RP,MC,1,TERESITA CALZADA ROVIROSA,2,,,MC
5,22,QUERETARO,,,,,,,DIP_LOC_RP,PVEM,1,PERLA PATRICIA FLORES SUAREZ,2,,,PVEM
5,22,QUERETARO,,,,,,,DIP_LOC_RP,MORENA,1,ROSALBA VAZQUEZ MUNGUIA,2,,,MORENA
5,22,QUERETARO,,,,,,,DIP_LOC_RP,MORENA,2,SINUHE ARTURO PIEDRAGIL ORTIZ,1,,,MORENA
5,22,QUERETARO,,,,,,,DIP_LOC_RP,MORENA,3,MARIA EUGENIA MARGARITO VAZQUEZ,2,CANDIDATURAS INDIGENAS,,MORENA
5,22,QUERETARO,,,1,AMEALCO DE BONFIL,,,PRES_MUN,MC,1,OSCAR PEREZ MARTINEZ,1,,,MC
5,22,QUERETARO,,,1,AMEALCO DE BONFIL,,,REG_MR,MC,1,VIRGINIA GARDUÑO PEREZ ,2,CANDIDATURAS DE PERSONAS JOVENES,,MC
5,22,QUERETARO,,,1,AMEALCO DE BONFIL,,,REG_MR,MC,2,DOMINGO MARQUEZ PEREZ,1,,,MC
5,22,QUERETARO,,,1,AMEALCO DE BONFIL,,,REG_MR,MC,3,ELIZABETH FRANCISCO LUCIANO,2,CANDIDATURAS INDIGENAS,,MC
5,22,QUERETARO,,,1,AMEALCO DE BONFIL,,,REG_MR,MC,4,FLORENCIO RIVERA PASCUAL ,1,,,MC
5,22,QUERETARO,,,1,AMEALCO DE BONFIL,,,REG_RP,PAN,1,ESTELA RAFAEL QUIRINO ,2,,,PAN
5,22,QUERETARO,,,1,AMEALCO DE BONFIL,,,REG_RP,MORENA,2,HECTOR ZERTUCHE MARTINEZ ,1,,,MORENA 
5,22,QUERETARO,,,1,AMEALCO DE BONFIL,,,REG_RP,PRI,3,ANEL LOPEZ RUIZ,2,,,PRI
5,22,QUERETARO,,,1,AMEALCO DE BONFIL,,,SIND_MR,MC,1,ZULEMI RODRIGUEZ FUERTES,2,,,MC
5,22,QUERETARO,,,1,AMEALCO DE BONFIL,,,SIND_MR,MC,2,MARTHA GARDUÑO SOTO,2,,,MC
5,22,QUERETARO,,,2,ARROYO SECO,,,PRES_MUN,PRI,1,FERNANDO SANCHEZ GIL,1,,,PRI
5,22,QUERETARO,,,2,ARROYO SECO,,,REG_MR,PRI,1,SANDRA PATRICIA RAMIREZ RODRIGUEZ ,2,,,PRI
5,22,QUERETARO,,,2,ARROYO SECO,,,REG_MR,PRI,2,JUAN ANGEL BENITEZ MARTINEZ ,1,,,PRI
5,22,QUERETARO,,,2,ARROYO SECO,,,REG_MR,PRI,3,HERMINIA GARCIA GONZALEZ,2,CANDIDATURAS DE PERSONAS JOVENES,,PRI
5,22,QUERETARO,,,2,ARROYO SECO,,,REG_MR,PRI,4,VIVIANA MANCILLA BALDERAS,2,,,PRI
5,22,QUERETARO,,,2,ARROYO SECO,,,REG_RP,PVEM,1,FERNANDA HUERTA MONTES,2,CANDIDATURAS DE PERSONAS JOVENES,,PVEM
5,22,QUERETARO,,,2,ARROYO SECO,,,REG_RP,MORENA,2,BENIGNO VEGA LOPEZ,1,CANDIDATURAS DE PERSONAS MAYORES,,MORENA
5,22,QUERETARO,,,2,ARROYO SECO,,,REG_RP,PVEM,3,NANCY KENAT ESCAMILLA GONZALEZ,2,CANDIDATURAS DE PERSONAS JOVENES,,PVEM
5,22,QUERETARO,,,2,ARROYO SECO,,,SIND_MR,PRI,1,MARIA ALMADELIA BALDERAS BALDERAS,2,,,PRI
5,22,QUERETARO,,,2,ARROYO SECO,,,SIND_MR,PRI,2,JUAN ANGEL MARIN YAÑEZ,1,,,PRI
5,22,QUERETARO,,,3,CADEREYTA DE MONTES,,,PRES_MUN,MORENA ,1,ASTRID ALEJANDRA ORTEGA VAZQUEZ,2,,,MORENA 
5,22,QUERETARO,,,3,CADEREYTA DE MONTES,,,REG_MR,MORENA ,1,LUIS CARLOS ARELLANO LEON,1,,,MORENA 
5,22,QUERETARO,,,3,CADEREYTA DE MONTES,,,REG_MR,MORENA ,2,ALMA MENDOZA GONZALEZ,2,,,MORENA 
5,22,QUERETARO,,,3,CADEREYTA DE MONTES,,,REG_MR,MORENA ,3,RUPERTO LEAL VARELA,1,,,MORENA 
