ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAS,MORENA,PES,PAN_PRI_PRD_PAS,PAN_PRI_PRD,PAN_PRI_PAS,PAN_PRD_PAS,PRI_PRD_PAS,PAN_PRI,PAN_PRD,PAN_PAS,PRI_PRD,PRI_PAS,PRD_PAS,PVEM_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
25,SINALOA,1,AHOME,477,715,716,30980,26311,3396,5200,6424,10828,13564,82115,1297,1073,1708,175,55,55,663,75,119,53,105,22,0,0,0,0,184218,101,9545,193864,352777,
25,SINALOA,2,ANGOSTURA,103,112,113,1725,3186,510,197,499,1977,5428,9338,423,109,88,38,8,11,46,9,48,16,77,15,138,,,,23886,7,963,24856,37427,
25,SINALOA,3,BADIRAGUATO,58,66,67,157,405,124,298,,4750,580,5556,86,,,,,,,,,,,,,,,,11956,2,676,12634,23079,
25,SINALOA,4,CONCORDIA,43,51,51,459,501,140,434,322,210,1369,6900,,26,22,5,0,2,13,0,10,1,8,1,,,,,10423,1,579,11003,19849,
25,SINALOA,5,COSALA,32,39,39,354,624,28,62,422,407,2114,3737,59,36,10,38,3,1,17,2,26,3,66,0,46,,,,8055,2,287,8344,13357,
25,SINALOA,6,CULIACAN,984,1497,1500,44016,50169,3506,9694,17594,22061,21756,202167,3583,1363,3578,209,31,56,1129,92,125,79,188,24,,,,,381420,275,18810,400505,740258,
25,SINALOA,7,CHOIX,67,75,75,5465,556,268,323,307,224,440,6351,83,31,56,8,5,6,49,19,22,0,2,1,,,,,14216,2,641,14859,24087,
25,SINALOA,8,ELOTA,59,80,81,516,1637,152,2210,814,5574,1388,5537,426,37,29,12,1,1,22,1,7,4,19,3,,,,,18390,22,1015,19427,35030,
25,SINALOA,9,ESCUINAPA,63,88,88,1208,681,131,8911,5855,532,575,4328,33,37,26,7,1,2,8,2,8,3,0,0,,,,,22348,14,1000,23362,43402,
25,SINALOA,10,EL FUERTE,164,184,185,1213,1512,386,609,12844,1835,2204,18416,362,21,50,13,4,4,34,2,7,6,14,3,,260,1237,341,41377,21,2073,43471,74276,
25,SINALOA,11,GUASAVE,394,472,473,5417,10322,661,2798,7912,8117,7799,57748,854,190,608,52,12,26,180,18,39,31,63,20,,,,,102867,47,6385,109299,199936,
25,SINALOA,12,MAZATLAN,523,796,798,41242,17851,2193,6109,5392,7028,12073,99183,1366,942,1764,129,44,37,816,56,196,36,90,34,1882,,,,198463,86,8784,207333,400216,
25,SINALOA,13,MOCORITO,109,116,117,610,1748,228,1921,1191,1298,1333,10482,214,25,53,7,2,0,22,2,11,2,16,1,,,,,19166,4,1196,20366,36320,
25,SINALOA,14,ROSARIO,81,96,97,3395,1253,192,4674,1595,495,1112,8889,,76,85,9,0,1,35,8,12,6,7,4,,,,,21848,0,1049,22897,39657,
25,SINALOA,15,SALVADOR ALVARADO,143,172,173,2025,7648,432,866,1304,2456,1944,19938,314,125,258,10,3,12,95,5,10,8,30,3,,,,,37486,24,1486,38996,66848,
25,SINALOA,16,SAN IGNACIO,37,44,44,327,368,72,446,395,107,1087,5767,110,13,13,5,1,1,6,1,10,1,9,3,,,,,8742,2,523,9267,16332,
25,SINALOA,17,SINALOA,174,189,190,1061,2556,223,2500,1997,1398,2370,18775,446,,,,,,,,,,,,,,,,31326,16,2464,33806,64988,
25,SINALOA,18,NAVOLATO,172,237,238,4328,13418,549,4191,3920,1798,3422,22430,1099,114,293,33,3,10,171,12,21,16,41,10,0,0,0,0,55879,11,3464,59354,112626,
25,SINALOA,19,ELDORADO,52,64,65,605,1399,133,609,438,462,1531,9798,355,92,40,25,5,9,20,7,9,7,38,1,,,,,15583,1,993,16577,29771,
25,SINALOA,20,JUAN JOSE RIOS,55,66,66,605,1035,90,5112,438,1383,856,6160,77,14,45,8,0,1,20,1,6,0,11,1,82,,,,15945,4,911,16860,30496,
