ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAS,MORENA,PES,PAN_PRI_PRD_PAS,PVEM_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
25,SINALOA,1,AHOME,477,715,716,0,0,0,5200,6424,10828,0,82115,1297,78354,0,0,0,0,184218,101,9545,193864,352777,
25,SINALOA,2,ANGOSTURA,103,112,113,0,0,0,197,0,1977,0,0,423,11314,9975,0,0,0,23886,7,963,24856,37427,
25,SINALOA,3,BADIRAGUATO,58,66,67,157,405,124,298,0,4750,580,5556,86,0,0,0,0,0,11956,2,676,12634,23079,
25,SINALOA,4,CONCORDIA,43,51,51,0,0,0,435,324,211,0,6902,0,2558,0,0,0,0,10430,1,579,11010,19849,
25,SINALOA,5,COSALA,32,39,39,0,0,0,62,0,407,0,0,59,3322,4205,0,0,0,8055,2,287,8344,13357,
25,SINALOA,6,CULIACAN,984,1497,1500,0,0,0,9694,17594,22061,0,202167,3583,126321,0,0,0,0,381420,275,18810,400505,740258,
25,SINALOA,7,CHOIX,67,75,75,0,0,0,323,307,224,0,6353,83,6928,0,0,0,0,14218,2,646,14866,24087,
25,SINALOA,8,ELOTA,59,80,81,0,0,0,2210,814,5574,0,5537,426,3829,0,0,0,0,18390,22,1015,19427,35030,
25,SINALOA,9,ESCUINAPA,63,88,88,0,0,0,8911,5855,532,0,4328,33,2689,0,0,0,0,22348,14,1000,23362,43402,
25,SINALOA,10,EL FUERTE,164,184,185,0,0,0,609,12844,1835,0,18416,362,5473,0,260,1237,341,41377,21,2073,43471,74276,
25,SINALOA,11,GUASAVE,394,472,473,0,0,0,2798,7912,8117,0,57748,854,25438,0,0,0,0,102867,47,6385,109299,199936,
25,SINALOA,12,MAZATLAN,523,796,798,0,0,0,6109,0,7028,0,0,1366,77495,106457,0,0,0,198455,86,8784,207325,400216,
25,SINALOA,13,MOCORITO,109,116,117,0,0,0,1921,1191,1298,0,10482,214,4060,0,0,0,0,19166,4,1196,20366,36320,
25,SINALOA,14,ROSARIO,81,96,97,0,0,0,4674,1595,495,0,8889,0,6195,0,0,0,0,21848,0,1049,22897,39657,
25,SINALOA,15,SALVADOR ALVARADO,143,172,173,0,0,0,866,1304,2456,0,19938,314,12608,0,0,0,0,37486,24,1486,38996,66848,
25,SINALOA,16,SAN IGNACIO,37,44,44,0,0,0,446,395,107,0,5767,110,1917,0,0,0,0,8742,2,523,9267,16332,
25,SINALOA,17,SINALOA,174,189,190,1061,2556,223,2500,1997,1398,2370,18775,446,0,0,0,0,0,31326,16,2464,33806,64988,
25,SINALOA,18,NAVOLATO,172,237,238,0,0,0,4191,3920,1798,0,22430,1099,22441,0,0,0,0,55879,11,3464,59354,112626,
25,SINALOA,19,ELDORADO,52,64,65,0,0,0,609,438,462,0,9798,355,3921,0,0,0,0,15583,1,993,16577,29771,
25,SINALOA,20,JUAN JOSE RIOS,55,66,66,0,0,0,5112,0,1383,0,0,77,2693,6680,0,0,0,15945,4,911,16860,30496,
