ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PT,PVEM,MC,MORENA,PES,PAN_PRI_PRD_PAS,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
25,SINALOA,1,EL FUERTE,234,262,263,1024,,2364,,647,13358,39355,56748,31,2473,59252,99979,
25,SINALOA,2,LOS MOCHIS,140,192,193,1214,1890,3893,24238,363,21175,,52773,26,2586,55385,92137,
25,SINALOA,3,AHOME,151,196,197,2246,2587,5724,24990,334,10564,,46445,21,3249,49715,91369,
25,SINALOA,4,LOS MOCHIS,76,148,149,1626,2259,2631,22185,417,11106,,40224,24,2288,42536,83007,
25,SINALOA,5,LOS MOCHIS,117,189,190,2752,,4302,,457,17898,26107,51516,30,2045,53591,91186,
25,SINALOA,6,MOCORITO,342,372,373,4222,3413,4230,36760,974,13174,,62773,22,4492,67287,124584,
25,SINALOA,7,GUASAVE,190,241,242,3379,,4445,,647,12707,34456,55634,30,3233,58897,110371,
25,SINALOA,8,GUASAVE,248,283,284,1853,,5704,,774,15131,38395,61857,39,3149,65045,113326,
25,SINALOA,9,GUAMUCHIL,266,311,312,1297,3276,5242,33432,690,24270,,68207,30,3189,71426,115758,
25,SINALOA,10,NAVOLATO,152,210,211,1970,3683,2026,24714,698,16741,,49832,10,2884,52726,101143,
25,SINALOA,11,CULIACAN DE ROSALES,100,175,176,1303,2676,4032,22069,558,13414,,44052,15,2416,46483,91927,
25,SINALOA,12,CULIACAN DE ROSALES,40,131,132,1763,4182,4563,19706,470,17582,,48266,40,1743,50049,82439,
25,SINALOA,13,CULIACAN DE ROSALES,263,280,281,1540,,4992,,547,24448,30413,61940,54,2958,64952,110073,
25,SINALOA,14,CULIACAN DE ROSALES,244,290,291,1585,3522,6294,30297,675,25170,,67543,47,3209,70799,113335,
25,SINALOA,15,CULIACAN DE ROSALES,58,145,146,1266,3009,4453,25450,657,11987,,46822,37,2098,48957,89465,
25,SINALOA,16,CULIACAN DE ROSALES,44,137,138,1383,2130,2649,21629,453,10426,,38670,27,1990,40687,85978,
25,SINALOA,17,CULIACAN DE ROSALES,98,164,165,1807,3689,2584,21296,482,7605,,37463,13,2366,39842,85451,
25,SINALOA,18,ELDORADO,146,187,189,2496,2402,2344,23608,626,9273,,40749,17,2912,43678,86898,
25,SINALOA,19,LA CRUZ,171,215,216,2834,,4657,,643,13969,25672,47775,16,2658,50449,89182,
25,SINALOA,20,MAZATLAN,103,176,178,1307,1538,3018,25840,488,15255,,47446,32,2230,49708,94557,
25,SINALOA,21,MAZATLAN,170,239,240,1357,1876,3008,32202,439,24801,,63683,50,2849,66582,110683,
25,SINALOA,22,MAZATLAN,161,219,220,2315,2247,2918,31053,685,13892,,53110,59,3286,56455,105412,
25,SINALOA,23,MAZATLAN,89,162,163,1121,1195,1103,22208,437,11496,,37560,18,2372,39950,89564,
25,SINALOA,24,EL ROSARIO,187,235,236,9623,8149,1776,23258,358,12225,,55389,25,2923,58337,102908,
