ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAS,MORENA,PES,PAN_PRI_PRD_PAS,PAN_PRI_PRD,PAN_PRI_PAS,PAN_PRD_PAS,PRI_PRD_PAS,PAN_PRI,PAN_PRD,PAN_PAS,PRI_PRD,PRI_PAS,PRD_PAS,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
25,SINALOA,1,AHOME,477,715,719,24210,19719,1910,7457,8778,16409,11592,93666,1523,559,1515,87,13,30,539,46,83,22,63,7,337,188565,100,9982,198647,352777,
25,SINALOA,2,ANGOSTURA,103,112,112,1402,3949,835,209,1447,1539,3566,10218,239,146,107,25,5,6,51,11,22,13,56,9,0,23855,6,1128,24989,37425,
25,SINALOA,3,BADIRAGUATO,58,66,66,252,538,87,244,533,1638,967,7647,127,3,15,1,0,0,9,1,0,2,3,0,0,12067,1,779,12847,23078,
25,SINALOA,4,CONCORDIA,43,51,51,594,723,149,268,268,210,1846,6056,90,31,27,7,2,1,15,1,10,4,8,0,0,10310,6,648,10964,19849,
25,SINALOA,5,COSALA,32,39,39,417,693,35,78,208,290,1803,4302,61,33,12,28,4,2,20,2,29,1,61,0,40,8119,2,319,8440,13357,
25,SINALOA,6,CULIACAN,984,1497,1504,43211,44097,3622,11883,24531,31712,22550,189458,4156,999,3373,158,23,44,1079,93,143,58,141,21,688,382040,253,19416,401709,740256,
25,SINALOA,7,CHOIX,67,75,75,4906,543,451,307,324,274,464,6787,182,36,44,7,4,1,49,20,11,4,2,2,32,14450,3,579,15032,24087,
25,SINALOA,8,ELOTA,59,80,81,902,1879,188,2022,731,3870,2676,5850,387,69,37,12,4,2,20,2,15,2,22,3,64,18757,5,1057,19819,35030,
25,SINALOA,9,ESCUINAPA,63,88,88,1143,901,151,6638,6205,968,634,6483,116,12,35,5,1,1,14,0,3,2,2,0,0,23314,5,1082,24401,43402,
25,SINALOA,10,EL FUERTE,164,184,185,1341,2249,437,611,8097,2049,2386,23259,455,29,71,10,7,0,28,3,10,3,16,14,530,41605,25,1854,43484,74276,
25,SINALOA,11,GUASAVE,394,472,474,5917,11555,792,3473,6545,9221,5642,58241,1316,154,635,31,3,15,171,11,19,14,36,2,1054,104847,64,5640,110551,199936,
25,SINALOA,12,MAZATLAN,523,796,801,31141,16827,1738,6100,6856,10047,12546,111303,2049,590,1540,86,41,16,625,55,111,34,75,19,0,201799,159,10737,212695,400216,
25,SINALOA,13,MOCORITO,109,116,117,671,2024,260,1346,1205,1202,1197,10817,198,27,63,6,1,0,29,4,6,5,13,0,0,19074,3,1244,20321,36322,
25,SINALOA,14,ROSARIO,81,96,97,2620,1292,208,2717,1676,598,1597,10719,152,47,64,6,5,4,40,5,9,1,4,1,0,21765,14,1193,22972,39657,
25,SINALOA,15,SALVADOR ALVARADO,143,172,173,2262,6431,439,857,1405,3501,2000,20443,343,82,245,8,5,2,94,6,9,7,20,4,0,38163,23,1691,39877,66851,
25,SINALOA,16,SAN IGNACIO,37,44,44,364,555,57,421,440,147,850,5626,111,8,14,3,1,2,6,1,7,0,4,0,47,8664,3,564,9231,16332,
25,SINALOA,17,SINALOA,174,189,189,1195,2776,267,2596,1673,1382,2529,18265,648,16,97,6,1,2,48,8,13,2,15,0,0,31539,18,2462,34019,64987,
25,SINALOA,18,NAVOLATO,172,237,238,3647,11128,513,2201,4107,2228,3232,27485,806,167,250,35,2,8,127,10,18,15,34,8,0,56021,11,3254,59286,112625,
25,SINALOA,19,ELDORADO,52,64,66,514,1185,171,1573,704,549,1391,9061,396,34,49,11,1,4,19,7,9,3,18,1,0,15700,3,994,16697,29773,
25,SINALOA,20,JUAN JOSE RIOS,55,66,66,859,1370,107,2282,629,1118,991,8155,164,14,53,2,0,0,13,1,2,0,2,0,61,15823,9,975,16807,30496,
