ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAS,MORENA,PES,PAN_PRI_PRD_PAS,PAN_PRI_PRD,PAN_PRI_PAS,PAN_PRD_PAS,PRI_PRD_PAS,PAN_PRI,PAN_PRD,PAN_PAS,PRI_PRD,PRI_PAS,PRD_PAS,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
25,SINALOA,1,AHOME,477,715,724,24375,19890,1921,7510,8844,16525,11668,94368,1539,559,1515,87,13,30,539,46,83,22,63,7,337,189941,101,10080,200122,352777,
25,SINALOA,2,ANGOSTURA,103,112,113,1402,3949,835,209,1447,1539,3566,10218,239,146,107,25,5,6,51,11,22,13,56,9,0,23855,6,1128,24989,37425,
25,SINALOA,3,BADIRAGUATO,58,66,67,252,538,87,244,533,1638,967,7647,127,3,15,1,0,0,9,1,0,2,3,0,0,12067,1,779,12847,23078,
25,SINALOA,4,CONCORDIA,43,51,52,624,743,154,276,279,232,1880,6227,95,31,27,7,2,1,15,1,10,4,8,0,0,10616,6,673,11295,19849,
25,SINALOA,5,COSALA,32,39,39,417,693,35,78,208,290,1803,4302,61,33,12,28,4,2,20,2,29,1,61,0,40,8119,2,319,8440,13357,
25,SINALOA,6,CULIACAN,984,1497,1512,43566,44477,3652,11988,24698,32055,22765,190790,4188,999,3373,158,23,44,1079,93,143,58,141,21,688,384999,256,19651,404906,740256,
25,SINALOA,7,CHOIX,67,75,76,4926,547,452,309,329,277,470,6830,182,36,44,7,4,1,49,20,11,4,2,2,32,14534,3,584,15121,24087,
25,SINALOA,8,ELOTA,59,80,82,902,1879,188,2022,731,3870,2676,5850,387,69,37,12,4,2,20,2,15,2,22,3,64,18757,5,1057,19819,35030,
25,SINALOA,9,ESCUINAPA,63,88,89,1172,925,154,6715,6247,988,643,6633,121,12,35,5,1,1,14,0,3,2,2,0,0,23673,5,1097,24775,43402,
25,SINALOA,10,EL FUERTE,164,184,186,1360,2265,440,617,8113,2073,2393,23352,455,29,71,10,7,0,28,3,10,3,16,14,530,41789,26,1862,43677,74276,
25,SINALOA,11,GUASAVE,394,472,476,5997,11660,796,3498,6578,9298,5686,58678,1331,154,635,31,3,15,171,11,19,14,36,2,1054,105667,65,5719,111451,199936,
25,SINALOA,12,MAZATLAN,523,796,806,31332,16926,1750,6131,6892,10102,12594,111706,2055,590,1540,86,41,16,625,55,111,34,75,19,0,202680,159,10786,213625,400216,
25,SINALOA,13,MOCORITO,109,116,118,682,2041,261,1354,1215,1213,1207,10919,200,27,63,6,1,0,29,4,6,5,13,0,0,19246,3,1257,20506,36322,
25,SINALOA,14,ROSARIO,81,96,98,2656,1321,212,2754,1700,622,1618,10891,158,47,64,6,5,4,40,5,9,1,4,1,0,22118,14,1210,23342,39657,
25,SINALOA,15,SALVADOR ALVARADO,143,172,175,2262,6431,439,857,1405,3501,2000,20443,343,82,245,8,5,2,94,6,9,7,20,4,0,38163,23,1691,39877,66851,
25,SINALOA,16,SAN IGNACIO,37,44,44,364,555,57,421,440,147,850,5626,111,8,14,3,1,2,6,1,7,0,4,0,47,8664,3,564,9231,16332,
25,SINALOA,17,SINALOA,174,189,190,1211,2814,269,2606,1688,1404,2529,18431,650,16,97,6,1,2,48,8,13,2,15,0,0,31810,18,2510,34338,64987,
25,SINALOA,18,NAVOLATO,172,237,240,3696,11241,523,2235,4160,2278,3262,27880,814,167,250,35,2,8,127,10,18,15,34,8,0,56763,11,3299,60073,112625,
25,SINALOA,19,ELDORADO,52,64,67,514,1185,171,1573,704,549,1391,9061,396,34,49,11,1,4,19,7,9,3,18,1,0,15700,3,994,16697,29773,
25,SINALOA,20,JUAN JOSE RIOS,55,66,67,879,1385,108,2298,640,1130,1003,8245,164,14,53,2,0,0,13,1,2,0,2,0,61,16000,9,988,16997,30496,
