ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
24,SAN LUIS POTOSI,1,MATEHUALA,157,270,273,11838,5657,1945,18275,2151,2035,4703,11895,9105,672,2563,1251,407,102,48,1336,418,496,202,75099,43,4945,80087,134864,
24,SAN LUIS POTOSI,2,SALINAS,181,320,321,4211,8104,1094,39052,3724,2408,10962,15203,4362,681,1819,651,203,29,73,1512,646,771,245,95750,82,6603,102435,165109,
24,SAN LUIS POTOSI,3,SANTA MARIA DEL RIO,181,312,313,9645,16753,3286,35425,1729,1371,5933,13948,3416,1796,1294,1451,469,103,71,1296,580,753,95,99414,96,6376,105886,162683,
24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,63,203,206,9006,4409,720,17158,1089,1632,7231,12332,2491,600,565,1314,280,38,43,1488,272,714,162,61544,103,2993,64640,127521,
24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,138,277,280,30021,10268,1646,16264,1338,1832,5755,16081,3818,812,2281,3141,562,118,51,1698,261,707,213,96867,167,3515,100549,152130,
24,SAN LUIS POTOSI,6,SAN LUIS POTOSI,49,195,199,10520,4266,824,19085,1203,728,6074,14546,1185,395,3277,1134,202,40,26,1632,258,751,132,66278,93,2542,68913,124472,
24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,71,233,236,15175,6738,1379,21539,1580,1170,7576,18316,1229,774,1178,1880,343,76,29,1972,293,873,189,82309,119,3706,86134,145985,
24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,73,220,224,36750,8737,1330,16142,1751,969,7807,11906,1355,483,1096,2511,464,69,17,,,,,91387,123,4142,95652,138580,
24,SAN LUIS POTOSI,9,SOLEDAD DE GRACIANO SANCHEZ,52,187,189,6655,2758,631,27385,780,906,5937,12442,2602,1724,833,675,128,41,16,783,151,574,89,65110,59,2720,67889,119935,
24,SAN LUIS POTOSI,10,SOLEDAD DE GRACIANO SANCHEZ,59,196,198,8423,3720,923,28189,1041,1379,3999,14943,1106,780,1143,912,170,48,12,1253,239,851,117,69248,120,3005,72373,127252,
24,SAN LUIS POTOSI,11,RIOVERDE,187,320,322,15625,6647,1180,26140,1463,1610,7522,15356,2345,638,1386,1398,346,76,41,1221,366,731,169,84260,57,5593,89910,164131,
24,SAN LUIS POTOSI,12,CARDENAS,164,305,309,7699,6820,2492,28259,4364,3235,3673,27423,4676,7200,810,731,248,74,53,549,258,373,243,99180,102,8633,107915,155608,
24,SAN LUIS POTOSI,13,CIUDAD VALLES,122,270,276,9024,4702,3336,18975,2627,1247,10191,24314,3377,3758,2919,1057,213,95,41,1301,351,763,261,88552,171,4079,92802,152818,
24,SAN LUIS POTOSI,14,TAMUIN,171,293,294,8442,8060,3284,17489,2518,1357,7839,26022,5510,4714,3772,677,186,89,40,1191,349,626,201,92366,24,6938,99328,151186,
24,SAN LUIS POTOSI,15,TAMAZUNCHALE,159,305,308,7556,2948,403,37288,1085,401,1936,14357,7963,832,1318,327,143,28,14,487,250,547,101,77984,41,5969,83994,163265,
