ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PVEM_PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
24,SAN LUIS POTOSI,1,MATEHUALA,157,270,273,,,,,,2035,4703,,9105,672,2563,21248,34773,75099,43,4945,80087,134864,
24,SAN LUIS POTOSI,2,SALINAS,181,320,321,,,,,,2408,10962,,4362,681,1819,14365,61153,95750,82,6603,102435,165109,
24,SAN LUIS POTOSI,3,SANTA MARIA DEL RIO,181,312,313,,,,,,1371,5933,,3416,1796,1294,31778,53826,99414,96,6376,105886,162683,
24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,63,203,206,,,,,,1632,7231,,2491,600,565,15810,33215,61544,103,2993,64640,127521,
24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,138,277,280,,,,,,1832,5755,,3818,812,2281,45807,36562,96867,167,3515,100549,152130,
24,SAN LUIS POTOSI,6,SAN LUIS POTOSI,49,195,199,,,,,,728,6074,,1185,395,3277,17012,37607,66278,93,2542,68913,124472,
24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,71,233,236,,,,,,1170,7576,,1229,774,1178,25620,44762,82309,119,3706,86134,145985,
24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,73,220,224,,,,16142,1751,969,7807,11906,1355,483,1096,49878,0,91387,123,4142,95652,138580,
24,SAN LUIS POTOSI,9,SOLEDAD DE GRACIANO SANCHEZ,52,187,189,,,,,,906,5937,,2602,1724,833,10904,42204,65110,59,2720,67889,119935,
24,SAN LUIS POTOSI,10,SOLEDAD DE GRACIANO SANCHEZ,59,196,198,,,,,,1379,3999,,1106,780,1143,14208,46633,69248,120,3005,72373,127252,
24,SAN LUIS POTOSI,11,RIOVERDE,187,320,322,,,,,,1610,7522,,2345,638,1386,25313,45446,84260,57,5593,89910,164131,
24,SAN LUIS POTOSI,12,CARDENAS,164,305,309,,,,,,3235,3673,,4676,7200,810,18117,61469,99180,102,8633,107915,155608,
24,SAN LUIS POTOSI,13,CIUDAD VALLES,122,270,276,,,,,,1247,10191,,3377,3758,2919,18468,48592,88552,171,4079,92802,152818,
24,SAN LUIS POTOSI,14,TAMUIN,171,293,294,,,,,,1357,7839,,5510,4714,3772,20778,48396,92366,24,6938,99328,151186,
24,SAN LUIS POTOSI,15,TAMAZUNCHALE,159,305,308,,,,,,401,1936,,7963,832,1318,11419,54115,77984,41,5969,83994,163265,
