CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,24,SAN LUIS POTOSI,1,MATEHUALA,0,VOTO ANTICIPADO,0,A,1,0,VA01,0,4,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,9,0,0,9,10,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,2,SALINAS,0,VOTO ANTICIPADO,0,A,2,0,VA02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,3,SANTA MARIA DEL RIO,0,VOTO ANTICIPADO,0,A,3,0,VA03,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,0,VOTO ANTICIPADO,0,A,4,0,VA04,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,0,VOTO ANTICIPADO,0,A,5,0,VA05,0,3,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,9,0,0,9,13,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,6,SAN LUIS POTOSI,0,VOTO ANTICIPADO,0,A,6,0,VA06,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,4,4,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,0,VOTO ANTICIPADO,0,A,7,0,VA07,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,0,VOTO ANTICIPADO,0,A,8,0,VA08,0,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,8,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,9,SOLEDAD DE GRACIANO SANCHEZ,0,VOTO ANTICIPADO,0,A,9,0,VA09,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,7,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,10,SOLEDAD DE GRACIANO SANCHEZ,0,VOTO ANTICIPADO,0,A,10,0,VA10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,11,RIOVERDE,0,VOTO ANTICIPADO,0,A,11,0,VA11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,12,CARDENAS,0,VOTO ANTICIPADO,0,A,12,0,VA12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,0,VOTO ANTICIPADO,0,A,13,0,VA13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,15,TAMAZUNCHALE,0,VOTO ANTICIPADO,0,A,14,0,VA14,0,0,0,0,4,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,10,0,3,13,16,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,2,SALINAS,1,AHUALULCO,1,B,1,0,B,0,17,18,23,100,5,3,19,51,75,3,1,0,1,0,0,1,5,2,0,324,0,20,344,527,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,2,SALINAS,1,AHUALULCO,1,C,1,0,C01,0,28,13,14,86,7,3,26,46,87,15,2,1,0,1,0,1,0,1,1,332,1,24,357,526,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,2,SALINAS,1,AHUALULCO,1,C,2,0,C02,0,19,14,17,109,5,8,33,38,67,2,1,0,0,0,0,5,1,2,2,323,0,7,330,526,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,2,SALINAS,1,AHUALULCO,2,B,1,0,B,0,16,19,20,129,10,4,28,51,102,10,0,2,1,0,0,6,1,6,0,405,1,25,431,615,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,2,SALINAS,1,AHUALULCO,2,C,1,0,C01,0,16,18,16,117,9,8,31,55,104,8,1,3,0,0,0,4,0,4,1,395,1,25,421,615,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,2,SALINAS,1,AHUALULCO,2,C,2,0,C02,0,26,25,7,132,4,6,34,46,84,14,0,2,1,0,0,5,0,1,0,387,1,20,408,615,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,2,SALINAS,1,AHUALULCO,2,C,3,0,C03,0,31,14,14,112,13,2,22,50,93,6,1,2,0,0,0,7,2,7,0,376,0,26,402,615,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,2,SALINAS,1,AHUALULCO,3,B,1,0,B,0,1,9,2,129,3,0,1,5,6,0,0,0,0,0,0,6,1,2,0,165,0,13,178,310,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,2,SALINAS,1,AHUALULCO,4,B,1,0,B,0,4,2,1,199,2,2,3,5,1,1,0,0,0,1,0,6,3,1,0,231,0,11,242,362,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,2,SALINAS,1,AHUALULCO,5,B,1,0,B,0,2,2,9,123,5,0,3,15,7,0,0,0,1,0,0,0,2,3,0,172,0,10,182,249,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,2,SALINAS,1,AHUALULCO,6,B,1,0,B,0,11,6,13,120,13,3,28,33,40,1,0,0,0,0,0,0,0,0,0,268,0,34,302,524,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,2,SALINAS,1,AHUALULCO,6,E,1,0,E01,0,9,26,8,144,8,3,25,25,34,0,0,0,0,0,0,0,2,7,1,292,0,27,319,606,ACTA CASILLA,,,
2,24,SAN LUIS POTOSI,2,SALINAS,1,AHUALULCO,6,E,1,1,E01C01,0,12,12,8,142,7,2,43,44,40,2,0,1,0,0,0,3,3,2,0,321,0,24,345,605,GRUPO DE RECUENTO,,,
2,24,SAN LUIS POTOSI,2,SALINAS,1,AHUALULCO,7,B,1,0,B,0,12,5,15,137,7,3,26,44,76,5,2,0,0,0,0,3,3,5,1,344,0,27,371,612,ACTA CASILLA,,,
