ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
24,SAN LUIS POTOSI,1,MATEHUALA,157,270,273,12510,6301,2437,19178,2906,2035,4703,12689,9105,672,2563,75099,43,4945,80087,134864,
24,SAN LUIS POTOSI,2,SALINAS,181,320,321,4544,8459,1362,40265,4673,2408,10962,16215,4362,681,1819,95750,82,6603,102435,165109,
24,SAN LUIS POTOSI,3,SANTA MARIA DEL RIO,181,312,313,10415,17507,3856,36524,2498,1371,5933,14804,3416,1796,1294,99414,96,6376,105886,162683,
24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,63,203,206,9603,5009,1198,18147,1802,1632,7231,13266,2491,600,565,61544,103,2993,64640,127521,
24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,138,277,280,31408,11622,2777,17314,2141,1832,5755,17107,3818,812,2281,96867,167,3515,100549,152130,
24,SAN LUIS POTOSI,6,SAN LUIS POTOSI,49,195,199,11019,4758,1235,20134,1942,728,6074,15531,1185,395,3277,66278,93,2542,68913,124472,
24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,71,233,236,16012,7550,2058,22780,2478,1170,7576,19504,1229,774,1178,82309,119,3706,86134,145985,
24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,73,220,224,37854,9814,2210,16142,1751,969,7807,11906,1355,483,1096,91387,123,4142,95652,138580,
24,SAN LUIS POTOSI,9,SOLEDAD DE GRACIANO SANCHEZ,52,187,189,6965,3055,884,28009,1161,906,5937,13034,2602,1724,833,65110,59,2720,67889,119935,
24,SAN LUIS POTOSI,10,SOLEDAD DE GRACIANO SANCHEZ,59,196,198,8836,4115,1257,29152,1636,1379,3999,15845,1106,780,1143,69248,120,3005,72373,127252,
24,SAN LUIS POTOSI,11,RIOVERDE,187,320,322,16302,7307,1704,27096,2137,1610,7522,16213,2345,638,1386,84260,57,5593,89910,164131,
24,SAN LUIS POTOSI,12,CARDENAS,164,305,309,8104,7214,2799,28758,4797,3235,3673,27914,4676,7200,810,99180,102,8633,107915,155608,
24,SAN LUIS POTOSI,13,CIUDAD VALLES,122,270,276,9531,5181,3756,19966,3366,1247,10191,25260,3377,3758,2919,88552,171,4079,92802,152818,
24,SAN LUIS POTOSI,14,TAMUIN,171,293,294,8806,8398,3574,18373,3190,1357,7839,26833,5510,4714,3772,92366,24,6938,99328,151186,
24,SAN LUIS POTOSI,15,TAMAZUNCHALE,159,305,308,7751,3135,533,37848,1423,401,1936,14844,7963,832,1318,77984,41,5969,83994,163265,
