CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,CP,MC,MORENA,NASLP,ML,PES,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,24,SAN LUIS POTOSI,12,CARDENAS,0,VOTO ANTICIPADO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,0,VOTO ANTICIPADO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2,24,SAN LUIS POTOSI,1,MATEHUALA,0,VOTO ANTICIPADO,0,0,1,4,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,9,0,0,9,10
2,24,SAN LUIS POTOSI,2,SALINAS,0,VOTO ANTICIPADO,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
2,24,SAN LUIS POTOSI,11,RIOVERDE,0,VOTO ANTICIPADO,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,0,VOTO ANTICIPADO,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,0,VOTO ANTICIPADO,0,0,1,3,1,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,9,0,0,9,13
2,24,SAN LUIS POTOSI,6,SAN LUIS POTOSI,0,VOTO ANTICIPADO,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,4,4
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,0,VOTO ANTICIPADO,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,0,VOTO ANTICIPADO,0,0,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,8
2,24,SAN LUIS POTOSI,3,SANTA MARIA DEL RIO,0,VOTO ANTICIPADO,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4
2,24,SAN LUIS POTOSI,9,SOLEDAD DE GRACIANO SANCHEZ,0,VOTO ANTICIPADO,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,7
2,24,SAN LUIS POTOSI,10,SOLEDAD DE GRACIANO SANCHEZ,0,VOTO ANTICIPADO,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
2,24,SAN LUIS POTOSI,15,TAMAZUNCHALE,0,VOTO ANTICIPADO,0,0,1,0,0,0,4,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,10,0,3,13,16
2,24,SAN LUIS POTOSI,2,SALINAS,1,AHUALULCO,1,3,3,64,45,54,295,17,14,78,135,229,20,4,1,1,1,0,7,6,5,3,979,1,51,1031,1579
2,24,SAN LUIS POTOSI,2,SALINAS,1,AHUALULCO,2,4,4,89,76,57,490,36,20,115,202,383,38,2,9,2,0,0,22,3,18,1,1563,3,96,1662,2460
