CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO,NUMERO_LISTA,PERSONA_CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO 
2,24,SAN LUIS POTOSI,1,MATEHUALA,,,DIP_LOC_MR,PVEM_PT_MORENA,1,TOMAS SAVALA GONZALEZ,1,,,PT
2,24,SAN LUIS POTOSI,2,SALINAS,,,DIP_LOC_MR,PVEM_PT_MORENA,1,DULCELINA SANCHEZ DE LIRA ,2,,,PVEM
2,24,SAN LUIS POTOSI,3,SANTA MARIA DEL RIO,,,DIP_LOC_MR,PVEM_PT_MORENA,1,CESAR ARTURO LARA ROCHA,1,,,PVEM
2,24,SAN LUIS POTOSI,4,SAN LUIS POTOSI,,,DIP_LOC_MR,PVEM_PT_MORENA,1,JACQUELINN JAUREGUI MENDOZA,2,,,PT
2,24,SAN LUIS POTOSI,5,SAN LUIS POTOSI,,,DIP_LOC_MR,PAN_PRI_PRD,1,RUBEN GUAJARDO BARRERA,1,,,PAN
2,24,SAN LUIS POTOSI,6,SAN LUIS POTOSI,,,DIP_LOC_MR,PVEM_PT_MORENA,1,MARTHA PATRICIA ARADILLAS ARADILLAS,2,,,PVEM
2,24,SAN LUIS POTOSI,7,SAN LUIS POTOSI,,,DIP_LOC_MR,PVEM_PT_MORENA,1,CUAUHTLI FERNANDO BADILLO MORENO,1,,,MORENA
2,24,SAN LUIS POTOSI,8,SAN LUIS POTOSI,,,DIP_LOC_MR,PAN_PRI_PRD,1,MARIA ARANZAZU PUENTE BUSTIUNDI,2,,,PAN
2,24,SAN LUIS POTOSI,9,SOLEDAD DE GRACIANO SANCHEZ,,,DIP_LOC_MR,PVEM_PT_MORENA,1,LUIS FERNANDO GAMEZ MACIAS,1,,,PVEM
2,24,SAN LUIS POTOSI,10,SOLEDAD DE GRACIANO SANCHEZ,,,DIP_LOC_MR,PVEM_PT_MORENA,1,DIANA RUELAS GAITAN,2,,,PT
2,24,SAN LUIS POTOSI,11,RIOVERDE,,,DIP_LOC_MR,PVEM_PT_MORENA,1,MARIA LETICIA VAZQUEZ HERNANDEZ,2,,,PT
2,24,SAN LUIS POTOSI,12,CARDENAS,,,DIP_LOC_MR,PVEM_PT_MORENA,1,JOSE ROBERTO GARCIA CASTILLO,1,,,MORENA
2,24,SAN LUIS POTOSI,13,CIUDAD VALLES,,,DIP_LOC_MR,PVEM_PT_MORENA,1,NANCY JEANINE GARCIA MARTINEZ,2,,,MORENA
2,24,SAN LUIS POTOSI,14,TAMUIN,,,DIP_LOC_MR,PVEM_PT_MORENA,1,ROXANNA HERNANDEZ RAMIREZ,2,CANDIDATURAS INDIGENAS,,PVEM
2,24,SAN LUIS POTOSI,15,TAMAZUNCHALE,,,DIP_LOC_MR,PVEM_PT_MORENA,1,BRISSEIRE SANCHEZ LOPEZ,2,,,PVEM
2,24,SAN LUIS POTOSI,,,,,DIP_LOC_RP,PAN,1,MIREYA VANCINI VILLANUEVA,2,,,PAN
2,24,SAN LUIS POTOSI,,,,,DIP_LOC_RP,PAN,2,MARCELINO RIVERA HERNANDEZ,1,,,PAN
2,24,SAN LUIS POTOSI,,,,,DIP_LOC_RP,PRI,1,MA SARA ROCHA MEDINA,2,,,PRI
2,24,SAN LUIS POTOSI,,,,,DIP_LOC_RP,PRI,2,FRINNE AZUARA YARZABAL,2,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,PRI
2,24,SAN LUIS POTOSI,,,,,DIP_LOC_RP,PVEM ,1,LUIS FELIPE CASTRO BARRON,1,,,PVEM
2,24,SAN LUIS POTOSI,,,,,DIP_LOC_RP,PVEM,2,MARIA DOLORES ROBLES CHAIREZ,2,,,PVEM
2,24,SAN LUIS POTOSI,,,,,DIP_LOC_RP,PVEM,3,HECTOR SERRANO CORTES,1,,,PVEM
2,24,SAN LUIS POTOSI,,,,,DIP_LOC_RP,MC,1,MARCO ANTONIO GAMA BASARTE,1,,,PMC
2,24,SAN LUIS POTOSI,,,,,DIP_LOC_RP,MORENA,1,CARLOS ARTEMIO ARREOLA MALLOL,1,,,MORENA
2,24,SAN LUIS POTOSI,,,,,DIP_LOC_RP,MORENA,2,JESSICA GABRIELA LOPEZ TORRES,2,,,MORENA
2,24,SAN LUIS POTOSI,,,,,DIP_LOC_RP,MORENA,3,LUIS EMILIO ROSAS MONTIEL,1,,,MORENA
2,24,SAN LUIS POTOSI,,,,,DIP_LOC_RP,NASLP,1,JUAN CARLOS BARCENAS RAMIREZ,1,,,PNASLP
