CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,0,A,1,0,VA01,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,3,8,8,ACTA LEVANTADA EN CONSEJO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,652,B,1,0,B,0,33,21,2,0,0,25,0,0,0,1,5,2,0,0,0,59,0,0,0,0,0,0,148,0,5,153,430,ACTA LEVANTADA EN CONSEJO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,652,C,1,0,C01,0,21,28,2,0,0,23,0,0,0,2,2,1,0,0,0,62,0,0,0,0,0,0,141,0,6,147,429,ACTA LEVANTADA EN CONSEJO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,652,S,1,0,S01,0,6,2,1,0,0,15,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,38,1,2,41,0,ACTA LEVANTADA EN CONSEJO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,653,B,1,0,B,0,13,24,1,0,0,12,0,0,0,2,2,0,0,0,0,23,0,0,0,0,0,0,77,0,3,80,175,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,654,B,1,0,B,0,24,18,3,0,0,19,0,0,0,6,7,1,0,0,0,51,0,0,0,0,0,0,129,1,6,136,273,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,655,B,1,0,B,0,61,38,5,0,0,34,0,0,0,2,6,0,1,0,0,68,0,0,0,0,0,0,215,2,1,218,519,GRUPO DE RECUENTO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,656,B,1,0,B,0,79,42,0,0,0,34,0,0,0,2,9,4,1,0,0,47,0,0,0,0,0,0,218,1,3,222,395,ACTA LEVANTADA EN CONSEJO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,656,C,1,0,C01,0,63,40,2,0,0,23,0,0,0,2,11,2,0,0,0,55,0,0,0,0,0,0,198,0,3,201,394,ACTA LEVANTADA EN CONSEJO,,,
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,657,B,1,0,B,0,93,42,4,0,0,32,0,0,0,8,9,2,0,1,0,49,0,0,0,0,0,0,240,3,0,243,441,ACTA LEVANTADA EN CONSEJO,,,
