ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,SONORA,1,ACONCHI,2,5,5,21,25,7,,,876,,,,,0,3,0,0,,1019,,,,,,,1951,0,48,1999,2635,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_ACONCHI.pdf
26,SONORA,2,AGUA PRIETA,29,112,112,8449,1513,472,,,1174,,,,406,536,120,34,10,,17770,,,,,,,30484,141,925,31550,71928,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_AGUA%20PRIETA.pdf
26,SONORA,62,ALAMOS,28,42,42,296,2967,77,,,1376,,,,91,204,42,4,6,,6510,,,,,,,11573,1,434,12008,19637,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_ALAMOS.pdf
26,SONORA,3,ALTAR,7,16,16,209,67,13,1596,157,19,1961,,,,8,4,1,0,,,,,,,,,4035,0,102,4137,7121,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_ALTAR.pdf
26,SONORA,4,ARIVECHI,3,4,4,3,7,3,,,244,,,,,,,,,,572,,,,,,,829,0,20,849,1131,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_ARIVECHI.pdf
26,SONORA,5,ARIZPE,5,7,7,391,442,15,,,486,,,,86,46,11,0,1,,594,,,,,,,2072,0,51,2123,2970,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_ARIZPE.pdf
26,SONORA,6,ATIL,1,1,1,4,3,0,,,,,,,292,,,,,,286,,,,,,,585,0,12,597,747,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_ATIL.pdf
26,SONORA,7,BACADEHUACHI,1,2,2,19,402,11,,,,,,,0,17,1,0,2,,613,,,,,,,1065,0,6,1071,1249,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_BACADEHUACHI.pdf
26,SONORA,8,BACANORA,3,4,4,297,10,3,,,,,,,,7,9,0,0,,548,,,,,,,874,0,15,889,1121,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_BACANORA.pdf
26,SONORA,9,BACERAC,1,2,2,23,386,4,,,,,,,,23,11,0,0,,490,,,,,,,937,0,1,938,1175,https://www.ieesonora.org.mx/elecciones2024/computo/CME/ACTA_BACERAC.pdf
