CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,3,8,8
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,652,3,3,60,51,5,,,63,,,,3,7,3,0,0,,135,,,,,,,327,1,13,341,859
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,653,1,1,13,24,1,,,12,,,,2,2,0,0,0,,23,,,,,,,77,0,3,80,175
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,654,1,1,24,18,3,,,19,,,,6,7,1,0,0,,51,,,,,,,129,1,6,136,273
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,655,1,1,61,38,5,,,34,,,,2,6,0,1,0,,68,,,,,,,215,2,1,218,519
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,656,2,2,142,82,2,,,57,,,,4,20,6,1,0,,102,,,,,,,416,1,6,423,789
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,657,2,2,155,84,6,,,67,,,,15,20,2,0,1,,109,,,,,,,459,4,2,465,881
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,658,2,2,121,79,9,,,70,,,,10,11,4,0,0,,100,,,,,,,404,0,10,414,776
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,662,1,1,69,54,4,,,38,,,,1,7,2,1,1,,72,,,,,,,249,2,6,257,589
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,663,2,2,42,22,2,,,20,,,,7,3,1,1,0,,70,,,,,,,168,0,7,175,214
