ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,SONORA,1,SAN LUIS RIO COLORADO,74,205,206,11054,5493,1713,3374,2454,7660,5521,1994,1993,1774,43030,49,1535,44614,121511,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_SAN%20LUIS%20RIO%20COLORADO%201.pdf
26,SONORA,2,PUERTO PEÑASCO,52,178,180,2488,2863,5208,5524,4017,10046,9038,3263,3263,3488,49198,53,1855,51106,113379,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_PUERTO%20PENASCO%202.pdf
26,SONORA,3,CABORCA,76,185,188,7495,8012,931,6140,4465,3910,10047,3628,3628,2632,50888,15,2000,52903,103670,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_CABORCA%203.pdf
26,SONORA,4,NOGALES,62,165,166,4013,2716,528,5577,4055,6158,9126,3295,3295,1531,40294,27,1177,41498,102818,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_NOGALES%204.pdf
26,SONORA,5,NOGALES,81,191,192,6695,3554,865,5963,4337,4875,9758,3523,3523,1221,44314,45,1359,45718,114747,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_NOGALES%205.pdf
26,SONORA,6,HERMOSILLO,92,215,216,10576,10252,1303,8582,6242,7028,14043,5070,5070,2032,70198,49,2033,72280,132454,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_HERMOSILLO%206.pdf
26,SONORA,7,AGUA PRIETA,73,197,197,10340,5460,925,7495,5451,7742,12264,4428,4428,1408,59941,56,2971,62968,114958,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_AGUA%20PRIETA%207.pdf
26,SONORA,8,HERMOSILLO,79,199,200,13530,12813,1399,6857,4987,6645,11220,4051,4051,2013,67566,51,1943,69560,118610,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_HERMOSILLO%208.pdf
26,SONORA,9,HERMOSILLO,58,177,178,1887,2136,3874,6772,4925,5440,11082,4001,4001,1730,45848,38,1367,47253,108234,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_HERMOSILLO%209.pdf
26,SONORA,10,HERMOSILLO,79,204,205,15887,12523,1759,6885,5008,5038,11267,4068,4067,2026,68528,55,1598,70181,124110,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_HERMOSILLO%2010.pdf
26,SONORA,11,HERMOSILLO,73,159,160,7194,7045,876,4698,3417,4854,7688,2775,2775,1249,42571,37,1256,43864,94160,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_HERMOSILLO%2011.pdf
26,SONORA,12,HERMOSILLO,52,162,163,2606,2124,4595,5999,4363,5598,9818,3545,3545,1220,43413,38,1301,44752,103592,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_HERMOSILLO%2012.pdf
26,SONORA,13,GUAYMAS,77,178,179,5736,7164,1388,6319,4596,4182,10342,3734,3734,2007,49202,19,1024,50245,102028,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_GUAYMAS%2013.pdf
26,SONORA,14,EMPALME,65,159,161,1407,3017,3133,6749,4908,4286,11045,3988,3988,820,43341,27,1575,44943,91142,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_EMPALME%2014.pdf
26,SONORA,15,CAJEME,88,202,203,2997,5215,710,9019,6559,5776,14757,5328,5328,1602,57291,40,1362,58693,112553,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_CAJEME%2015.pdf
26,SONORA,16,CAJEME,82,189,190,5924,7324,905,6953,5057,5589,11378,4108,4108,1023,52369,17,1281,53667,109167,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_CAJEME%2016.pdf
26,SONORA,17,CAJEME,67,186,187,4855,7626,908,7642,5558,5305,12505,4516,4515,1876,55306,22,1438,56766,109175,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_CAJEME%2017.pdf
26,SONORA,18,CANANEA,98,209,212,7572,19364,1287,5606,4077,6896,9174,3312,3312,1819,62419,19,3146,65584,114479,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_CANANEA%2018.pdf
26,SONORA,19,NAVOJOA,54,158,159,1627,1503,3062,6707,4877,5571,10975,3963,3963,6841,49089,4,1134,50227,96172,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_NAVOJOA%2019.pdf
26,SONORA,20,ETCHOJOA,74,166,169,616,3102,526,,,7714,24478,,,11993,48429,17,2012,50458,94090,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_ETCHOJOA%2020.pdf
26,SONORA,21,HUATABAMPO,114,215,216,9009,9996,1160,8271,6015,5737,13535,4887,4887,2305,65802,14,2323,68139,110109,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_HUATABAMPO%2021.pdf
