ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,MC,MORENA,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,SONORA,1,ACONCHI,2,5,5,88,728,13,318,,7,,,,,,768,1922,0,81,2003,2635,
26,SONORA,2,AGUA PRIETA,29,112,112,5942,1515,481,2771,,789,,,,,,19687,31185,42,1539,32766,71928,
26,SONORA,62,ALAMOS,28,42,42,295,2955,82,1031,,117,179,39,3,24,,6598,11323,0,392,11715,19637,
26,SONORA,3,ALTAR,7,16,16,397,550,73,216,,45,17,12,1,2,,2747,4060,1,199,4260,7121,
26,SONORA,4,ARIVECHI,3,4,4,18,57,8,139,,5,3,0,0,0,,581,811,1,38,850,1131,
26,SONORA,5,ARIZPE,5,7,7,242,780,7,254,,62,,,,,,652,1997,0,120,2117,2970,
26,SONORA,6,ATIL,1,1,1,113,63,3,24,,82,2,0,0,0,,252,539,0,55,594,747,
26,SONORA,7,BACADEHUACHI,1,2,2,50,332,8,21,,8,,,,,,612,1031,0,40,1071,1249,
26,SONORA,8,BACANORA,3,4,4,226,34,6,11,,4,1,7,0,0,,574,863,0,26,889,1121,
26,SONORA,9,BACERAC,1,2,2,73,266,5,16,,8,,,,,,549,917,0,31,948,1175,
26,SONORA,10,BACOACHI,2,3,4,26,314,267,115,,4,,,,,,401,1127,0,71,1198,1556,
26,SONORA,58,BACUM,13,30,31,248,531,1756,1092,,53,18,1,2,2,,5921,9624,0,364,9988,17736,
26,SONORA,11,BANAMICHI,2,3,3,253,422,5,26,,4,,,,,,598,1308,0,64,1372,1693,
26,SONORA,12,BAVIACORA,6,9,9,468,1337,14,158,,11,,,,,,564,2552,0,97,2649,3572,
26,SONORA,13,BAVISPE,2,3,3,24,378,3,20,,15,,,,,,620,1060,0,26,1086,1322,
26,SONORA,71,BENITO JUAREZ,12,27,28,82,1332,160,859,4994,1819,24,8,3,0,,0,9281,3,374,9658,16548,
26,SONORA,14,BENJAMIN HILL,4,8,8,501,242,17,87,,289,9,6,0,3,,1094,2248,0,72,2320,3761,
26,SONORA,46,CABORCA,36,110,111,3525,3769,442,2446,,1256,340,103,10,8,,17643,29542,7,1040,30589,67684,
26,SONORA,59,CAJEME,237,577,580,12866,19227,1823,16670,,4501,1868,523,56,101,,107331,164966,79,4081,169126,330895,
26,SONORA,15,CANANEA,19,53,54,2457,3717,189,1446,,551,,,,,,5161,13521,7,515,14043,31011,
26,SONORA,47,CARBO,2,6,6,31,576,210,89,,22,,,,,,1346,2274,0,85,2359,3911,
26,SONORA,16,CUCURPE,1,2,2,52,218,105,27,,2,,,,,,381,785,0,46,831,1009,
26,SONORA,17,CUMPAS,8,12,12,555,587,112,763,,46,,,,,,1586,3649,1,288,3938,5686,
26,SONORA,18,DIVISADEROS,1,2,2,13,27,4,468,,3,0,0,1,0,,348,864,0,20,884,1332,
26,SONORA,60,EMPALME,30,72,72,752,834,1081,1902,,576,70,12,5,2,,13133,18367,4,641,19012,41658,
26,SONORA,63,ETCHOJOA,40,83,84,234,1060,197,4639,10138,8678,42,9,6,2,,0,25005,14,920,25939,46371,
26,SONORA,19,FRONTERAS,5,13,13,435,259,96,1191,,41,,,,,,2349,4371,1,163,4535,6884,
26,SONORA,70,GENERAL PLUTARCO ELIAS CALLES,8,19,19,,,,844,,1546,,,,,878,2525,5793,1,155,5949,10737,
26,SONORA,20,GRANADOS,1,2,2,85,167,13,368,,4,,,,,,302,939,1,30,970,1132,
26,SONORA,61,GUAYMAS,91,213,215,5544,7067,1179,4550,,2103,993,167,27,17,,36715,58362,34,1396,59792,123100,
26,SONORA,49,HERMOSILLO,433,1116,1122,44679,40148,3505,34603,,10270,5229,1403,119,74,17222,180872,338124,268,9498,347890,681160,
26,SONORA,21,HUACHINERA,2,3,3,115,150,8,34,,245,,,,,,365,917,1,52,970,1150,
26,SONORA,22,HUASABAS,1,2,2,64,106,4,56,,19,,,,,,460,709,0,52,761,1214,
26,SONORA,64,HUATABAMPO,41,104,105,6721,2782,425,2614,,684,479,128,22,10,,19841,33706,12,1134,34852,60387,
26,SONORA,23,HUEPAC,2,3,3,113,373,6,11,,4,,,,,,522,1029,0,43,1072,1340,
26,SONORA,24,IMURIS,8,19,19,305,1852,38,775,,429,,,,,,1927,5326,3,210,5539,10476,
26,SONORA,48,LA COLORADA,5,6,6,44,818,20,559,,167,,,,,,555,2163,0,113,2276,2704,
26,SONORA,25,MAGDALENA,15,44,45,2216,4100,164,1877,,205,,,,,,4579,13141,0,708,13849,26227,
26,SONORA,50,MAZATAN,1,3,3,91,137,4,251,,234,,,,,,543,1260,0,20,1280,1517,
26,SONORA,26,MOCTEZUMA,4,9,9,911,433,34,107,,28,,,,,,1535,3048,1,272,3321,4671,
26,SONORA,27,NACO,4,10,10,1064,463,27,748,,26,,,,,,974,3302,1,107,3410,4928,
26,SONORA,28,NACORI CHICO,2,4,4,97,116,2,225,,5,,,,,,655,1100,0,39,1139,1483,
26,SONORA,29,NACOZARI DE GARCIA,10,19,19,915,671,125,707,,172,,,,,,3864,6454,8,297,6759,10432,
26,SONORA,65,NAVOJOA,78,216,218,254,701,128,7804,9346,8364,34,11,7,5,6192,30882,63728,4,1877,65609,128238,
26,SONORA,30,NOGALES,142,353,355,10151,5780,1040,10878,,2744,912,223,40,29,,52055,83852,72,2477,86401,216091,
26,SONORA,66,ONAVAS,1,2,2,12,52,1,193,,130,0,2,0,0,,319,709,0,22,731,869,
26,SONORA,51,OPODEPE,5,6,6,160,446,20,73,,5,,,,,,741,1445,0,82,1527,2175,
26,SONORA,31,OQUITOA,1,1,1,9,100,2,9,,112,2,1,0,0,,102,337,0,16,353,446,
26,SONORA,52,PITIQUITO,6,14,15,298,662,30,647,,402,38,21,1,0,,1897,3996,1,115,4112,6422,
26,SONORA,53,PUERTO PEÑASCO,27,86,87,,,,5747,,1128,,,,,5940,13181,25996,9,901,26906,54997,
26,SONORA,67,QUIRIEGO,3,6,6,39,81,23,487,,586,3,2,1,0,,1446,2668,0,112,2780,3511,
26,SONORA,54,RAYON,2,3,3,86,588,13,47,,10,,,,,,527,1271,3,191,1465,1937,
26,SONORA,68,ROSARIO,5,10,10,82,697,6,77,,13,109,4,0,1,,2188,3177,1,109,3287,4789,
26,SONORA,32,SAHUARIPA,9,12,12,281,866,45,46,,24,47,9,3,0,,1260,2581,0,138,2719,4638,
26,SONORA,33,SAN FELIPE DE JESUS,1,1,1,53,172,3,87,,1,,,,,,148,464,0,16,480,582,
26,SONORA,72,SAN IGNACIO RIO MUERTO,8,22,22,116,1272,105,924,,95,32,9,2,1,,3634,6190,8,198,6396,10676,
26,SONORA,34,SAN JAVIER,1,1,1,19,222,2,68,,2,2,0,0,0,,210,525,0,14,539,650,
26,SONORA,55,SAN LUIS RIO COLORADO,91,278,280,10604,5051,1375,11115,,2588,915,247,41,27,3741,24735,60439,92,2334,62865,169156,
26,SONORA,56,SAN MIGUEL DE HORCASITAS,4,11,11,330,1054,46,245,,64,,,,,,1825,3564,2,332,3898,7027,
26,SONORA,35,SAN PEDRO DE LA CUEVA,2,4,4,86,403,8,31,,445,18,9,0,0,,488,1488,0,92,1580,1956,
26,SONORA,36,SANTA ANA,13,24,25,1709,1860,87,406,,120,143,100,33,49,,2866,7373,5,367,7745,12875,
26,SONORA,37,SANTA CRUZ,1,3,3,115,56,16,155,,8,3,5,0,1,,397,756,0,59,815,1474,
26,SONORA,38,SARIC,2,4,4,294,136,8,17,,4,9,7,1,0,,469,945,0,29,974,1807,
26,SONORA,39,SOYOPA,5,5,5,121,78,12,446,,163,1,4,0,0,,654,1479,0,49,1528,1872,
26,SONORA,40,SUAQUI GRANDE,1,3,3,556,45,5,40,,5,2,2,0,0,,602,1257,0,20,1277,1551,
26,SONORA,41,TEPACHE,2,3,3,18,308,175,24,,9,2,1,0,0,,481,1018,0,26,1044,1468,
26,SONORA,42,TRINCHERAS,2,3,3,69,193,13,37,,65,14,2,0,0,,580,973,1,54,1028,1426,
26,SONORA,43,TUBUTAMA,4,4,4,228,77,6,21,,257,16,11,1,0,,258,875,0,53,928,1381,
26,SONORA,57,URES,13,21,21,521,1512,146,100,,31,,,,,,3258,5568,3,329,5900,10132,
26,SONORA,44,VILLA HIDALGO,3,4,4,10,17,7,715,,2,,,,,,508,1259,0,35,1294,1704,
26,SONORA,45,VILLA PESQUEIRA,3,4,4,36,220,17,438,,6,,,,,,985,1702,1,23,1726,2005,
26,SONORA,69,YECORA,7,11,11,82,908,20,45,,88,55,25,0,6,,1608,2837,0,106,2943,4302,
