ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,SONORA,1,SAN LUIS RIO COLORADO,74,205,208,11086,5512,1715,3382,2461,7694,5622,1997,1995,1778,43242,49,1549,44840,121511,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_SAN%20LUIS%20RIO%20COLORADO%201.pdf
26,SONORA,2,PUERTO PEÑASCO,52,178,182,2543,2906,5211,5542,4025,10087,9175,3267,3264,3493,49513,53,1909,51475,113379,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_PUERTO%20PENASCO%202.pdf
26,SONORA,3,CABORCA,76,185,190,7575,8106,935,6179,4482,3953,10375,3634,3629,2644,51512,15,2067,53594,103670,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_CABORCA%203.pdf
26,SONORA,4,NOGALES,62,165,167,4083,2766,529,5584,4064,6197,9338,3299,3301,1531,40692,27,1276,41995,102818,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_NOGALES%204.pdf
26,SONORA,5,NOGALES,81,191,194,6775,3617,867,5971,4357,4941,10025,3535,3524,1234,44846,45,1359,46250,114747,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_NOGALES%205.pdf
26,SONORA,6,HERMOSILLO,92,215,216,10576,10252,1303,8582,6242,7028,14043,5070,5070,2032,70198,49,2033,72280,132454,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_HERMOSILLO%206.pdf
26,SONORA,7,AGUA PRIETA,73,197,200,10542,5607,931,7518,5474,7844,12751,4442,4454,1425,60988,56,3084,64128,114958,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_AGUA%20PRIETA%207.pdf
26,SONORA,8,HERMOSILLO,79,199,202,13645,12932,1400,6892,5007,6686,11591,4056,4053,2019,68281,51,2270,70602,118610,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_HERMOSILLO%208.pdf
26,SONORA,9,HERMOSILLO,58,177,178,1887,2136,3874,6772,4925,5440,11082,4001,4001,1730,45848,38,1367,47253,108234,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_HERMOSILLO%209.pdf
26,SONORA,10,HERMOSILLO,79,204,207,16000,12731,1767,6906,5016,5082,11557,4070,4070,2033,69232,55,1666,70953,124110,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_HERMOSILLO%2010.pdf
26,SONORA,11,HERMOSILLO,73,159,162,7607,7165,881,4751,3443,4910,8197,2782,2780,1266,43782,37,1341,45160,94160,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_HERMOSILLO%2011.pdf
26,SONORA,12,HERMOSILLO,52,162,163,2606,2124,4595,5999,4363,5598,9818,3545,3545,1220,43413,38,1301,44752,103592,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_HERMOSILLO%2012.pdf
26,SONORA,13,GUAYMAS,77,178,181,5811,7229,1392,6332,4602,4210,10513,3738,3738,2011,49576,19,1051,50646,102028,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_GUAYMAS%2013.pdf
26,SONORA,14,EMPALME,65,159,162,1443,3063,3140,6763,4925,4322,11220,3991,3989,826,43682,27,1612,45321,91142,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_EMPALME%2014.pdf
26,SONORA,15,CAJEME,88,202,205,3039,5478,714,9061,6597,5844,15213,5336,5340,1606,58228,40,1398,59666,112553,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_CAJEME%2015.pdf
26,SONORA,16,CAJEME,82,189,191,5993,7397,906,6970,5065,5639,11517,4112,4109,1029,52737,17,1299,54053,109167,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_CAJEME%2016.pdf
26,SONORA,17,CAJEME,67,186,188,4905,7667,911,7655,5568,5351,12655,4516,4516,1882,55626,22,1509,57157,109175,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_CAJEME%2017.pdf
26,SONORA,18,CANANEA,98,209,212,7572,19364,1287,5606,4077,6896,9174,3312,3312,1819,62419,19,3146,65584,114479,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_CANANEA%2018.pdf
26,SONORA,19,NAVOJOA,54,158,161,1686,1613,3069,6777,4906,5677,11598,3971,3967,6902,50166,4,1200,51370,96172,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_NAVOJOA%2019.pdf
26,SONORA,20,ETCHOJOA,74,166,169,616,3102,526,,,7714,24478,,,11993,48429,17,2012,50458,94090,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_ETCHOJOA%2020.pdf
26,SONORA,21,HUATABAMPO,114,215,217,9074,10064,1163,8300,6026,5758,13724,4889,4887,2314,66199,14,2338,68551,110109,https://www.ieesonora.org.mx/elecciones2024/computo/CDE/ACTA_HUATABAMPO%2021.pdf
