CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAS,PES,PS,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,C_PAN_PRI_PRD,C_MORENA_PT_PVEM_NAS_PES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,0,0,1,0,1,0,,,2,0,,,0,0,0,0,0,0,2,5,0,3,8,8
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,652,3,4,100,69,11,8,6,71,101,3,2,9,7,2,0,0,0,106,495,0,19,514,859
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,653,1,1,20,26,2,,,13,0,,,0,2,0,0,0,0,14,77,0,3,80,175
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,654,1,1,27,19,4,,,17,0,,,7,8,1,0,0,0,45,128,3,6,137,273
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,655,1,1,73,38,4,,,29,0,,,4,6,1,0,0,0,68,223,0,1,224,519
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,656,2,2,149,87,7,,,47,0,,,10,17,7,0,0,0,93,417,0,11,428,789
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,657,2,2,169,88,10,,,70,0,,,20,9,3,0,10,0,82,461,0,6,467,881
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,658,2,2,136,87,9,,,47,0,,,16,11,4,0,0,0,91,401,0,14,415,776
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,662,1,1,85,51,5,,,33,0,,,10,4,2,1,1,0,61,253,0,10,263,589
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,663,2,3,29,17,1,0,1,17,0,0,0,7,3,0,0,1,0,37,113,0,24,137,214
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,664,2,2,108,61,6,,,41,0,,,15,3,4,0,0,0,108,346,0,15,361,789
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,665,1,1,96,69,9,,,51,0,,,12,11,3,0,0,0,88,339,1,9,349,641
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,666,2,2,219,134,14,,,70,0,,,26,26,6,1,0,0,156,652,0,19,671,1243
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,667,2,2,180,100,10,,,74,0,,,12,11,5,1,0,0,169,562,1,12,575,1180
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,668,3,3,202,90,17,,,116,0,,,22,28,8,2,0,0,186,671,1,20,692,1528
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,669,3,3,250,62,22,,,130,0,,,29,11,1,2,1,0,228,736,2,21,759,1710
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,671,1,1,80,44,3,,,28,0,,,8,11,0,0,0,0,42,216,0,3,219,387
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,672,1,1,102,40,3,,,25,0,,,15,11,4,1,0,0,67,268,0,9,277,608
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,673,1,1,90,51,6,,,62,0,,,24,11,0,1,0,0,80,325,0,10,335,748
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,674,1,1,73,40,6,,,36,0,,,10,8,0,1,0,0,77,251,0,8,259,572
1,26,SONORA,1,SAN LUIS RIO COLORADO,55,SAN LUIS RIO COLORADO,675,1,1,66,40,2,,,41,0,,,10,4,0,0,0,0,53,216,0,7,223,547
