CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO,NUMERO_LISTA,PERSONA_CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
1,26,SONORA,1,SAN LUIS RIO COLORADO,,,,,DIP_LOC_MR,PAN_PRI_PRD,1,JUAN PABLO ARENIVAR MARTINEZ,1,,https://www.ieesonora.org.mx/elecciones2024/resultados/distritos/Distrito1.jpg,PAN
1,26,SONORA,2,PUERTO PEÑASCO,,,,,DIP_LOC_MR,C_MORENA_PT_PVEM_NAS_PES,1,RUBEN REFUGIO GONZALEZ AGUAYO,1,CANDIDATURAS DE PERSONAS MAYORES,https://www.ieesonora.org.mx/elecciones2024/resultados/distritos/Distrito2.jpg,PT
1,26,SONORA,3,CABORCA,,,,,DIP_LOC_MR,C_MORENA_PT_PVEM_NAS_PES,1,MARIA ALICIA GAYTAN SANCHEZ,2,CANDIDATURAS DE PERSONAS MAYORES,https://www.ieesonora.org.mx/elecciones2024/resultados/distritos/Distrito3.jpg,MORENA
1,26,SONORA,4,NOGALES,,,,,DIP_LOC_MR,C_MORENA_PT_PVEM_NAS_PES,1,AZALIA GUEVARA ESPINOZA,2,,https://www.ieesonora.org.mx/elecciones2024/resultados/distritos/Distrito4.jpg,PVEM
1,26,SONORA,5,NOGALES,,,,,DIP_LOC_MR,C_MORENA_PT_PVEM_NAS_PES,1,MARCELA VALENZUELA NEVAREZ,2,,https://www.ieesonora.org.mx/elecciones2024/resultados/distritos/Distrito5.jpg,MORENA
1,26,SONORA,6,HERMOSILLO,,,,,DIP_LOC_MR,C_MORENA_PT_PVEM_NAS_PES,1,DAVID FIGUEROA ORTEGA,1,,https://www.ieesonora.org.mx/elecciones2024/resultados/distritos/Distrito6.jpg,PVEM
1,26,SONORA,7,AGUA PRIETA,,,,,DIP_LOC_MR,C_MORENA_PT_PVEM_NAS_PES,1,PALOMA MARIA TERAN VILLALOBOS,2,,https://www.ieesonora.org.mx/elecciones2024/resultados/distritos/Distrito7.jpg,PES
1,26,SONORA,8,HERMOSILLO,,,,,DIP_LOC_MR,C_MORENA_PT_PVEM_NAS_PES,1,ELIA SAHARA SALLARD HERNANDEZ,2,CANDIDATURAS DE PERSONAS MAYORES,https://www.ieesonora.org.mx/elecciones2024/resultados/distritos/Distrito8.jpg,NAS
1,26,SONORA,9,HERMOSILLO,,,,,DIP_LOC_MR,C_MORENA_PT_PVEM_NAS_PES,1,OSCAR ORTIZ ARVAYO,1,,https://www.ieesonora.org.mx/elecciones2024/resultados/distritos/Distrito9.jpg,PT
1,26,SONORA,10,HERMOSILLO,,,,,DIP_LOC_MR,C_MORENA_PT_PVEM_NAS_PES,1,NORBERTO BARRAZA ALMAZAN,1,CANDIDATURAS DE PERSONAS MAYORES,https://www.ieesonora.org.mx/elecciones2024/resultados/distritos/Distrito10.jpg,PES
1,26,SONORA,11,HERMOSILLO,,,,,DIP_LOC_MR,C_MORENA_PT_PVEM_NAS_PES,1,MARIA EDUWIGES ESPINOZA TAPIA,2,,https://www.ieesonora.org.mx/elecciones2024/resultados/distritos/Distrito11.jpg,MORENA
1,26,SONORA,12,HERMOSILLO,,,,,DIP_LOC_MR,C_MORENA_PT_PVEM_NAS_PES,1,RENE EDMUNDO GARCIA ROJO,1,CANDIDATURAS DE PERSONAS JOVENES,https://www.ieesonora.org.mx/elecciones2024/resultados/distritos/Distrito12.jpg,PT
1,26,SONORA,13,GUAYMAS,,,,,DIP_LOC_MR,C_MORENA_PT_PVEM_NAS_PES,1,SEBASTIAN ANTONIO ORDUÑO FRAGOZA,1,,https://www.ieesonora.org.mx/elecciones2024/resultados/distritos/Distrito13.jpg,PT
1,26,SONORA,14,EMPALME,,,,,DIP_LOC_MR,C_MORENA_PT_PVEM_NAS_PES,1,REBECA IRENE SILVA GALLARDO,2,CANDIDATURAS DE PERSONAS MAYORES,https://www.ieesonora.org.mx/elecciones2024/resultados/distritos/Distrito14.jpg,NAS
