CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,CAND_IND2,CAND_IND3,PVEM_MORENA,PAN_PRI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,27,TABASCO,1,CARDENAS,2,CARDENAS,71,7,7,0,30,751,63,60,85,1267,134,,,28,,2418,4,112,2534,4619
3,27,TABASCO,1,CARDENAS,2,CARDENAS,72,4,4,0,14,262,23,22,22,579,65,,,10,,997,0,47,1044,1118
3,27,TABASCO,1,CARDENAS,2,CARDENAS,80,1,1,0,1,43,8,5,10,165,32,,,6,,270,0,17,287,652
3,27,TABASCO,1,CARDENAS,2,CARDENAS,81,3,3,0,12,284,16,30,18,588,75,,,18,,1041,20,23,1084,1917
3,27,TABASCO,1,CARDENAS,2,CARDENAS,86,5,5,0,28,442,40,36,38,1076,110,,,14,,1784,0,73,1857,3262
3,27,TABASCO,1,CARDENAS,2,CARDENAS,102,2,2,0,3,53,22,10,5,421,4,,,13,,531,0,18,549,938
3,27,TABASCO,1,CARDENAS,2,CARDENAS,112,2,2,0,3,58,3,11,6,546,4,,,15,,646,0,23,669,1082
3,27,TABASCO,1,CARDENAS,2,CARDENAS,113,2,2,0,0,115,9,10,6,318,4,,,11,,473,0,24,497,855
3,27,TABASCO,1,CARDENAS,2,CARDENAS,114,2,2,0,9,154,16,24,6,297,6,,,8,,520,0,28,548,972
3,27,TABASCO,1,CARDENAS,2,CARDENAS,115,2,2,0,5,88,9,15,4,315,2,,,24,,462,0,16,478,913
3,27,TABASCO,1,CARDENAS,2,CARDENAS,116,2,2,0,5,113,19,6,7,224,4,,,10,,388,0,32,420,758
3,27,TABASCO,1,CARDENAS,2,CARDENAS,126,2,2,0,4,100,19,7,6,442,2,,,11,,591,0,39,630,992
3,27,TABASCO,1,CARDENAS,2,CARDENAS,128,3,3,0,17,76,11,6,9,677,4,,,6,,806,0,65,871,1468
3,27,TABASCO,1,CARDENAS,2,CARDENAS,135,1,1,0,9,62,4,6,0,189,1,,,2,,273,0,22,295,511
3,27,TABASCO,1,CARDENAS,2,CARDENAS,141,2,2,0,6,101,20,4,6,462,2,,,8,,609,0,37,646,1372
3,27,TABASCO,1,CARDENAS,2,CARDENAS,157,3,3,0,13,96,37,13,12,937,16,,,26,,1150,0,60,1210,2090
3,27,TABASCO,1,CARDENAS,2,CARDENAS,158,2,2,0,5,49,11,9,8,394,16,,,0,,492,0,24,516,842
3,27,TABASCO,1,CARDENAS,2,CARDENAS,159,2,2,0,9,80,24,8,7,486,10,,,9,,633,0,50,683,1298
3,27,TABASCO,1,CARDENAS,2,CARDENAS,161,2,2,0,9,160,12,13,15,573,32,,,8,,822,0,40,862,1347
3,27,TABASCO,1,CARDENAS,2,CARDENAS,163,4,4,0,18,139,49,23,15,873,4,,,20,,1141,9,43,1193,2268
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,699,4,4,0,0,112,22,19,71,989,,,,,,1213,0,118,1331,2153
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,700,2,2,0,0,88,9,14,81,517,,,,,,709,1,61,771,1237
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,701,2,2,0,0,51,8,3,61,359,,,,,,482,0,42,524,782
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,702,2,2,0,0,86,11,4,36,391,,,,,,528,1,32,561,712
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,703,4,4,0,0,82,29,18,90,750,,,,,,969,1,111,1081,1827
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,704,3,3,0,0,103,17,21,66,658,,,,,,865,1,60,926,1534
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,705,2,2,0,0,63,23,25,32,463,,,,,,606,0,57,663,1174
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,706,4,4,0,0,180,20,14,59,814,,,,,,1087,0,128,1215,2253
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,707,4,4,0,0,105,24,18,100,974,,,,,,1221,0,94,1315,2291
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,708,4,4,0,0,144,16,12,43,833,,,,,,1048,0,86,1134,1801
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,709,1,1,0,0,53,11,2,5,354,,,,,,425,0,30,455,747
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,710,2,2,0,0,124,6,2,28,486,,,,,,646,1,41,688,1226
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,711,2,2,0,0,26,14,9,40,581,,,,,,670,0,47,717,1245
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,712,3,3,0,0,142,16,9,62,748,,,,,,977,0,102,1079,1693
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,713,3,3,0,0,73,22,9,75,736,,,,,,915,11,74,1000,1674
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,714,3,3,0,0,151,8,19,54,775,,,,,,1007,0,53,1060,1741
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,715,1,1,0,0,1,2,1,0,47,,,,,,51,0,11,62,132
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,716,3,3,0,0,137,23,14,27,781,,,,,,982,0,79,1061,1799
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,717,2,2,0,0,71,11,5,71,304,,,,,,462,0,50,512,960
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,718,3,3,0,0,85,12,18,68,706,,,,,,889,0,55,944,1525
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,719,3,3,0,0,173,20,13,55,715,,,,,,976,0,54,1030,1684
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,720,3,3,0,0,141,9,8,40,645,,,,,,843,0,63,906,1622
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,721,3,3,0,0,107,22,12,54,619,,,,,,814,0,314,1128,1531
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,722,4,4,0,0,110,27,15,134,888,,,,,,1174,0,108,1282,2383
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,723,4,4,0,0,139,29,23,121,848,,,,,,1160,0,101,1261,2307
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,726,3,3,0,0,63,17,11,27,716,,,,,,834,1,51,886,1706
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,727,4,4,0,0,188,21,18,231,1112,,,,,,1570,0,109,1679,2983
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,728,3,3,0,0,157,33,12,87,682,,,,,,971,1,72,1044,1599
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,729,5,5,0,0,179,34,25,155,1276,,,,,,1669,0,133,1802,3014
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,731,3,3,0,0,166,24,10,237,831,,,,,,1268,0,77,1345,2150
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,732,2,2,0,0,79,17,7,34,333,,,,,,470,0,24,494,802
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,733,4,4,0,0,122,22,20,218,922,,,,,,1304,0,101,1405,2401
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,736,3,3,0,0,70,18,8,147,926,,,,,,1169,0,53,1222,1707
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,1199,3,3,0,0,190,18,12,81,703,,,,,,1004,0,75,1079,1954
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,1200,3,3,0,0,205,23,16,54,659,,,,,,957,0,62,1019,2185
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,1201,2,2,0,0,166,9,10,71,344,,,,,,600,0,43,643,1054
3,27,TABASCO,2,CARDENAS,2,CARDENAS,0,0,1,0,0,1,0,0,0,4,0,,,0,,5,0,0,5,5
3,27,TABASCO,2,CARDENAS,2,CARDENAS,46,2,2,0,9,143,17,11,12,319,70,,,15,,596,0,44,640,1140
3,27,TABASCO,2,CARDENAS,2,CARDENAS,47,8,8,0,20,615,66,29,43,1403,169,,,27,,2372,0,180,2552,5382
3,27,TABASCO,2,CARDENAS,2,CARDENAS,51,3,3,0,5,187,21,15,20,468,51,,,25,,792,0,54,846,1556
3,27,TABASCO,2,CARDENAS,2,CARDENAS,52,3,3,0,8,201,22,7,26,524,36,,,18,,842,5,43,890,1613
3,27,TABASCO,2,CARDENAS,2,CARDENAS,53,3,3,0,22,277,27,17,38,500,78,,,4,,963,0,43,1006,1978
3,27,TABASCO,2,CARDENAS,2,CARDENAS,54,2,2,0,13,152,20,15,19,347,24,,,9,,599,2,20,621,1198
3,27,TABASCO,2,CARDENAS,2,CARDENAS,58,1,1,0,7,126,17,3,19,220,42,,,5,,439,0,17,456,707
3,27,TABASCO,2,CARDENAS,2,CARDENAS,59,2,2,0,11,161,13,6,24,275,46,,,9,,545,0,14,559,910
3,27,TABASCO,2,CARDENAS,2,CARDENAS,60,2,2,0,6,170,10,11,23,337,36,,,12,,605,0,21,626,962
3,27,TABASCO,2,CARDENAS,2,CARDENAS,67,1,1,0,5,141,8,7,11,142,12,,,7,,333,0,11,344,589
3,27,TABASCO,2,CARDENAS,2,CARDENAS,68,1,1,0,11,97,7,5,11,201,35,,,5,,372,0,19,391,651
3,27,TABASCO,2,CARDENAS,2,CARDENAS,69,1,1,0,8,117,8,1,12,184,29,,,6,,365,0,20,385,619
3,27,TABASCO,2,CARDENAS,2,CARDENAS,70,3,3,0,21,331,21,12,37,593,72,,,10,,1097,2,35,1134,1847
3,27,TABASCO,2,CARDENAS,2,CARDENAS,73,3,3,0,11,200,15,9,11,311,37,,,3,,597,0,32,629,817
3,27,TABASCO,2,CARDENAS,2,CARDENAS,90,2,2,0,5,266,23,20,7,473,2,,,10,,806,0,46,852,1334
3,27,TABASCO,2,CARDENAS,2,CARDENAS,91,2,2,0,3,335,14,4,10,374,5,,,5,,750,0,54,804,1367
3,27,TABASCO,2,CARDENAS,2,CARDENAS,92,3,3,0,8,204,39,19,15,448,3,,,19,,755,0,62,817,1572
3,27,TABASCO,2,CARDENAS,2,CARDENAS,93,2,2,0,9,209,26,15,11,409,2,,,11,,692,0,29,721,1174
3,27,TABASCO,2,CARDENAS,2,CARDENAS,94,2,2,0,7,130,17,3,5,241,2,,,7,,412,0,24,436,770
