ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
27,TABASCO,1,BALANCAN,44,84,85,352,340,1719,1232,2794,2284,17480,,,26201,12,1959,28172,43681,
27,TABASCO,2,CARDENAS,122,319,321,864,2235,15027,5409,2259,3510,64467,,213,93984,93,6701,100778,182047,
27,TABASCO,3,CENTLA,64,144,145,425,928,2896,10592,3199,4075,24632,,,46747,7,2854,49608,79939,
27,TABASCO,4,CENTRO,307,865,874,13252,18057,7906,25258,15562,18185,185650,,847,284717,478,20854,306049,529256,
27,TABASCO,5,COMALCALCO,100,276,278,864,1610,32456,2701,2025,1341,62025,,,103022,68,5508,108598,163599,
27,TABASCO,6,CUNDUACAN,60,167,168,441,926,2088,7240,964,2336,30524,12782,,57301,30,3984,61315,99871,
27,TABASCO,7,EMILIANO ZAPATA,16,44,45,229,63,153,562,431,6294,8981,,,16713,4,676,17393,24631,
27,TABASCO,8,HUIMANGUILLO,99,253,254,587,1152,8293,2228,1450,9140,51951,,317,75118,53,5145,80316,137162,
27,TABASCO,9,JALAPA,28,55,57,209,523,243,3667,3953,1237,8878,,107,18817,3,1145,19965,29045,
27,TABASCO,10,JALPA DE MENDEZ,37,113,114,249,1615,13466,1469,6076,311,20747,,,43933,8,2626,46567,69376,
27,TABASCO,11,JONUTA,26,49,49,81,116,5853,309,160,226,12169,,,18914,9,706,19629,24515,
27,TABASCO,12,MACUSPANA,82,210,210,1718,1635,2615,7370,1973,7105,33762,,610,56788,83,4700,61571,121579,
27,TABASCO,13,NACAJUCA,53,169,170,1380,1909,1313,3065,21487,2094,29631,,423,61302,35,3824,65161,107533,
27,TABASCO,14,PARAISO,45,131,133,350,537,3811,1068,942,13835,26489,,,47032,25,2224,49281,74839,
27,TABASCO,15,TACOTALPA,27,70,71,220,474,588,1384,3830,4690,10132,,131,21449,4,1522,22975,35490,
27,TABASCO,16,TEAPA,27,72,72,521,860,444,960,3887,2550,13550,,126,22898,4,1408,24310,42416,
27,TABASCO,17,TENOSIQUE,44,90,90,1590,1083,477,2203,6171,2353,13075,,,26952,13,1528,28493,46648,
