CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,27,TABASCO,1,CARDENAS,2,CARDENAS,0,0,1,0,0,0,0,0,0,1,,0,1,0,0,1,1
3,27,TABASCO,1,CARDENAS,2,CARDENAS,71,7,7,69,75,356,151,64,148,1487,,34,2384,2,131,2517,4619
3,27,TABASCO,1,CARDENAS,2,CARDENAS,72,4,4,25,28,121,49,39,44,643,,13,962,2,52,1016,1118
3,27,TABASCO,1,CARDENAS,2,CARDENAS,80,1,1,7,6,54,19,13,18,197,,7,321,0,20,341,652
3,27,TABASCO,1,CARDENAS,2,CARDENAS,81,3,3,24,36,136,51,38,51,700,,14,1050,0,41,1091,1917
3,27,TABASCO,1,CARDENAS,2,CARDENAS,86,5,5,24,60,195,94,49,80,1245,,11,1758,11,85,1854,3262
3,27,TABASCO,1,CARDENAS,2,CARDENAS,102,2,2,2,10,38,19,5,8,438,,8,528,0,28,556,938
3,27,TABASCO,1,CARDENAS,2,CARDENAS,112,2,2,1,8,32,22,11,6,550,,18,648,0,13,661,1082
3,27,TABASCO,1,CARDENAS,2,CARDENAS,113,2,2,1,2,54,17,16,7,361,,9,467,0,30,497,855
3,27,TABASCO,1,CARDENAS,2,CARDENAS,114,2,2,1,16,116,18,22,14,324,,8,519,0,33,552,972
3,27,TABASCO,1,CARDENAS,2,CARDENAS,115,2,2,3,10,53,16,12,10,343,,13,460,0,17,477,913
3,27,TABASCO,1,CARDENAS,2,CARDENAS,116,2,2,1,9,54,22,7,15,268,,5,381,0,9,390,758
3,27,TABASCO,1,CARDENAS,2,CARDENAS,126,2,2,3,6,47,23,12,12,470,,4,577,0,35,612,992
3,27,TABASCO,1,CARDENAS,2,CARDENAS,128,3,3,1,18,40,20,16,17,696,,1,809,0,67,876,1468
3,27,TABASCO,1,CARDENAS,2,CARDENAS,135,1,1,4,9,39,4,4,5,209,,3,277,0,19,296,511
3,27,TABASCO,1,CARDENAS,2,CARDENAS,141,2,2,6,6,65,20,10,7,490,,5,609,0,38,647,1372
3,27,TABASCO,1,CARDENAS,2,CARDENAS,157,3,3,44,14,49,50,9,18,952,,17,1153,0,62,1215,2090
3,27,TABASCO,1,CARDENAS,2,CARDENAS,158,2,2,29,4,24,12,16,6,402,,0,493,0,23,516,842
