CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,27,TABASCO,1,CARDENAS,2,CARDENAS,0,A,7,0,VA07,0,0,0,0,0,0,0,1,,0,1,0,0,1,1,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0000_VA02.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,71,B,1,0,B,0,14,12,51,24,11,26,212,,6,356,0,18,374,660,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0071_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,71,C,1,0,C01,0,11,12,43,13,6,21,209,,5,320,0,15,335,660,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0071_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,71,C,2,0,C02,0,3,12,54,19,9,23,208,,9,337,1,29,367,660,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0071_C02.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,71,C,3,0,C03,0,15,16,44,24,9,12,187,,10,317,0,33,350,660,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0071_C03.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,71,C,4,0,C04,0,7,9,53,34,9,25,210,,0,347,0,13,360,660,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0071_C04.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,71,C,5,0,C05,0,9,6,54,12,9,16,236,,3,345,0,0,345,660,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0071_C05.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,71,C,6,0,C06,0,10,8,57,25,11,25,225,,1,362,1,23,386,659,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0071_C06.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,72,B,1,0,B,0,8,7,44,15,9,14,200,,0,297,1,0,298,559,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0072_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,72,C,1,0,C01,0,7,9,46,19,12,13,203,,5,314,0,13,327,559,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0072_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,72,SMR,1,0,SMR01,0,9,12,24,14,16,13,178,,7,273,1,32,306,0,Acta casilla,,,http://iepct.mx/computos/2024/DIP/1/acta_casilla_consejo/DIP_0072_SMR01.jpg
