ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CAND_IND1,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
27,TABASCO,1,BALANCAN,44,84,86,356,341,1739,1238,2820,2297,17579,,,26370,12,1970,28352,43681,
27,TABASCO,2,CARDENAS,122,319,325,879,2269,15153,5478,2307,3594,65313,,213,95206,100,6754,102060,182047,
27,TABASCO,3,CENTLA,64,144,146,425,928,2896,10592,3199,4075,24632,,,46747,7,2854,49608,79939,
27,TABASCO,4,CENTRO,307,865,883,13362,18225,7964,25414,15680,18305,187090,,847,286887,479,20997,308363,529256,
27,TABASCO,5,COMALCALCO,100,276,282,884,1627,32558,2731,2050,1363,62524,,,103737,68,5551,109356,163599,
27,TABASCO,6,CUNDUACAN,60,167,170,447,933,2099,7261,974,2360,30713,12782,,57569,71,4001,61641,99871,
27,TABASCO,7,EMILIANO ZAPATA,16,44,46,242,67,160,572,441,6333,9155,,,16970,4,685,17659,24631,
27,TABASCO,8,HUIMANGUILLO,99,253,257,600,1162,8345,2265,1469,9215,52374,,317,75747,53,5187,80987,137162,
27,TABASCO,9,JALAPA,28,55,58,214,531,251,3685,3974,1252,8984,,107,18998,3,1145,20146,29045,
27,TABASCO,10,JALPA DE MENDEZ,37,113,115,256,1624,13498,1485,6116,318,20969,,,44266,8,2636,46910,69376,
27,TABASCO,11,JONUTA,26,49,50,89,122,5875,316,167,233,12243,,,19045,10,712,19767,24515,
27,TABASCO,12,MACUSPANA,82,210,212,1744,1663,2643,7413,1993,7241,34208,,610,57515,84,4746,62345,121579,
27,TABASCO,13,NACAJUCA,53,169,171,1387,1917,1316,3078,21556,2108,29762,,423,61547,35,3839,65421,107533,
27,TABASCO,14,PARAISO,45,131,138,364,551,3839,1090,956,13906,26918,,,47624,25,2224,49873,74839,
27,TABASCO,15,TACOTALPA,27,70,72,222,479,591,1390,3845,4708,10213,,131,21579,4,1524,23107,35490,
27,TABASCO,16,TEAPA,27,72,73,536,877,454,968,3912,2578,13759,,126,23210,6,1408,24624,42416,
27,TABASCO,17,TENOSIQUE,44,90,92,1604,1098,484,2249,6230,2388,13261,,,27314,13,1547,28874,46648,
