CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,PAN_PRI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,27,TABASCO,1,CARDENAS,2,CARDENAS,71,B,1,0,B,0,12,5,40,12,14,20,244,15,0,2,1,0,365,0,9,374,660,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0071_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,71,C,1,0,C01,0,6,4,44,5,10,16,231,7,1,4,1,1,330,0,5,335,660,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0071_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,71,C,2,0,C02,0,6,9,35,17,13,20,227,15,3,4,5,0,354,0,13,367,660,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0071_C02.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,71,C,3,0,C03,0,9,5,37,9,17,11,221,22,1,2,2,0,336,1,17,354,660,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0071_C03.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,71,C,4,0,C04,0,7,9,53,34,9,25,210,0,0,0,0,0,347,0,13,360,660,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0071_C04.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,71,C,5,0,C05,0,10,2,38,8,12,17,249,13,1,4,1,1,356,0,5,361,660,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0071_C05.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,71,C,6,0,C06,0,15,6,44,19,12,20,247,7,2,3,0,1,376,0,9,385,659,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0071_C06.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,72,B,1,0,B,0,4,7,28,11,7,14,231,0,0,0,0,0,302,0,18,320,559,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0072_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,72,C,1,0,C01,0,6,8,28,17,13,3,232,10,2,1,3,1,324,0,3,327,559,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0072_C01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,72,S,1,0,S01,0,4,9,29,14,19,16,250,15,0,3,1,1,361,0,15,376,0,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0072_SMR01.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,72,S,2,0,S02,0,3,7,34,13,18,19,332,17,5,0,1,0,449,0,16,465,0,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0072_SMR02.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,80,B,1,0,B,0,3,6,36,13,19,15,212,20,0,0,0,7,331,0,13,344,652,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0080_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,81,B,1,0,B,0,7,6,42,9,11,15,274,10,0,4,1,0,379,0,4,383,639,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0081_B.jpg
3,27,TABASCO,1,CARDENAS,2,CARDENAS,81,C,1,0,C01,0,5,7,35,15,15,13,247,12,0,0,3,1,353,0,11,364,639,Grupo de recuento,,,http://iepct.mx/computos/2024/GUB/1/acta_recuento/GRUPO01.pdf
3,27,TABASCO,1,CARDENAS,2,CARDENAS,81,C,2,0,C02,0,7,3,32,12,12,14,25,9,1,0,2,0,117,0,7,124,639,Acta casilla,,,http://iepct.mx/computos/2024/GUB/1/acta_casilla_consejo/GUB_0081_C02.jpg
