ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,PAN_PRI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
27,TABASCO,1,CARDENAS,56,159,159,385,670,4156,1411,1135,2655,38518,1101,128,312,207,40,50718,12,1628,52358,88862,http://iepct.mx/computos/2024/GUB/1/ACTA_COMPUTO.pdf
27,TABASCO,2,CARDENAS,52,136,137,351,766,4282,1603,1336,1413,28296,960,144,381,175,33,39740,7,1564,41311,76554,http://iepct.mx/computos/2024/GUB/2/ACTA_COMPUTO.pdf
27,TABASCO,3,CARDENAS,50,130,130,408,786,4358,1669,1202,1341,29521,1115,100,394,214,36,41144,36,1340,42520,76222,http://iepct.mx/computos/2024/GUB/3/ACTA_COMPUTO.pdf
27,TABASCO,4,CENTLA,64,144,144,420,818,2000,7096,2232,2024,32548,756,147,377,234,48,48700,14,1590,50304,79935,http://iepct.mx/computos/2024/GUB/4/ACTA_COMPUTO.pdf
27,TABASCO,5,CENTRO,34,135,135,1134,1563,1318,3313,1724,2298,32048,1705,196,535,319,94,46247,51,1261,47559,87481,http://iepct.mx/computos/2024/GUB/5/ACTA_COMPUTO.pdf
27,TABASCO,6,CENTRO,44,138,138,584,1082,1497,3108,2471,1751,35300,2273,177,444,400,75,49162,16,1167,50345,86107,http://iepct.mx/computos/2024/GUB/6/ACTA_COMPUTO.pdf
27,TABASCO,7,CENTRO,61,151,153,2248,2498,2326,2817,2167,3567,32835,2081,213,424,418,215,51809,48,1249,53106,88944,http://iepct.mx/computos/2024/GUB/7/ACTA_COMPUTO.pdf
27,TABASCO,8,CENTRO,50,146,146,1924,2129,1958,3113,2108,2933,33535,2091,156,481,469,219,51116,24,1208,52348,88717,http://iepct.mx/computos/2024/GUB/8/ACTA_COMPUTO.pdf
27,TABASCO,9,CENTRO,82,172,172,2552,3191,2642,3375,2191,3984,36473,2760,173,506,463,359,58669,59,1264,59992,96979,http://iepct.mx/computos/2024/GUB/9/ACTA_COMPUTO.pdf
27,TABASCO,10,CENTRO,36,123,123,898,1362,1158,2557,1673,1966,29011,1829,146,481,450,106,41637,19,1176,42832,81031,http://iepct.mx/computos/2024/GUB/10/ACTA_COMPUTO.pdf
27,TABASCO,11,COMALCALCO,48,134,134,413,905,8604,1644,1771,867,35630,990,117,283,242,29,51495,43,1923,53461,80343,http://iepct.mx/computos/2024/GUB/11/ACTA_COMPUTO.pdf
27,TABASCO,12,COMALCALCO,52,141,142,297,806,10629,1293,1804,996,36316,892,146,352,263,43,53837,21,1614,55472,83973,http://iepct.mx/computos/2024/GUB/12/ACTA_COMPUTO.pdf
27,TABASCO,13,CUNDUACAN,50,144,144,634,1259,1965,3591,1830,2228,37877,1069,150,325,274,67,51269,18,2204,53491,86235,http://iepct.mx/computos/2024/GUB/13/ACTA_COMPUTO.pdf
27,TABASCO,14,EMILIANO ZAPATA,82,182,182,711,903,6448,2963,1856,5949,39808,1093,154,431,236,78,60630,40,1568,62238,99078,http://iepct.mx/computos/2024/GUB/14/ACTA_COMPUTO.pdf
27,TABASCO,15,HUIMANGUILLO,63,147,147,304,512,3795,1133,1059,6864,28168,898,112,437,364,19,43665,18,1634,45317,77571,http://iepct.mx/computos/2024/GUB/15/ACTA_COMPUTO.pdf
27,TABASCO,16,MACUSPANA,70,176,177,1140,1562,1441,5407,4535,2138,34373,1559,195,772,321,178,53621,26,1752,55399,100701,http://iepct.mx/computos/2024/GUB/16/ACTA_COMPUTO.pdf
27,TABASCO,17,JALPA DE MENDEZ,48,149,149,463,983,7771,1580,7691,927,38285,1280,228,147,498,62,59915,20,1806,61741,92030,http://iepct.mx/computos/2024/GUB/17/ACTA_COMPUTO.pdf
27,TABASCO,18,NACAJUCA,42,133,133,1047,1345,1425,1752,11242,1920,27451,1928,341,236,621,105,49413,39,1136,50588,84869,http://iepct.mx/computos/2024/GUB/18/ACTA_COMPUTO.pdf
27,TABASCO,19,PARAISO,55,155,156,423,685,4198,1913,2330,4983,38938,962,133,238,279,47,55129,22,1663,56814,87772,http://iepct.mx/computos/2024/GUB/19/ACTA_COMPUTO.pdf
27,TABASCO,20,TEAPA,54,142,142,445,1056,996,2300,5690,5496,27745,954,115,169,225,57,45248,19,1941,47208,77904,http://iepct.mx/computos/2024/GUB/20/ACTA_COMPUTO.pdf
27,TABASCO,21,TENOSIQUE,88,174,174,1005,812,2323,2062,7434,2351,36029,1379,285,365,419,60,54524,38,1836,56398,90319,http://iepct.mx/computos/2024/GUB/21/ACTA_COMPUTO.pdf
