ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
27,TABASCO,1,CARDENAS,56,159,159,405,690,4156,1998,1669,2655,39145,50718,12,1628,52358,88862,http://iepct.mx/computos/2024/GUB/1/ACTA_COMPUTO.pdf
27,TABASCO,2,CARDENAS,52,136,137,367,783,4282,2185,1815,1413,28895,39740,7,1564,41311,76554,http://iepct.mx/computos/2024/GUB/2/ACTA_COMPUTO.pdf
27,TABASCO,3,CARDENAS,50,130,130,426,804,4358,2288,1730,1341,30197,41144,36,1340,42520,76222,http://iepct.mx/computos/2024/GUB/3/ACTA_COMPUTO.pdf
27,TABASCO,4,CENTLA,64,144,144,444,842,2000,7610,2674,2024,33106,48700,14,1590,50304,79935,http://iepct.mx/computos/2024/GUB/4/ACTA_COMPUTO.pdf
27,TABASCO,5,CENTRO,34,135,135,1181,1610,1318,4246,2549,2298,33045,46247,51,1261,47559,87481,http://iepct.mx/computos/2024/GUB/5/ACTA_COMPUTO.pdf
27,TABASCO,6,CENTRO,44,138,138,621,1120,1497,4177,3516,1751,36480,49162,16,1167,50345,86107,http://iepct.mx/computos/2024/GUB/6/ACTA_COMPUTO.pdf
27,TABASCO,7,CENTRO,61,151,153,2355,2606,2326,3830,3175,3567,33950,51809,48,1249,53106,88944,http://iepct.mx/computos/2024/GUB/7/ACTA_COMPUTO.pdf
27,TABASCO,8,CENTRO,50,146,146,2033,2239,1958,4128,3117,2933,34708,51116,24,1208,52348,88717,http://iepct.mx/computos/2024/GUB/8/ACTA_COMPUTO.pdf
27,TABASCO,9,CENTRO,82,172,172,2731,3371,2642,4635,3428,3984,37878,58669,59,1264,59992,96979,http://iepct.mx/computos/2024/GUB/9/ACTA_COMPUTO.pdf
27,TABASCO,10,CENTRO,36,123,123,951,1415,1158,3480,2580,1966,30087,41637,19,1176,42832,81031,http://iepct.mx/computos/2024/GUB/10/ACTA_COMPUTO.pdf
27,TABASCO,11,COMALCALCO,48,134,134,427,920,8604,2173,2281,867,36223,51495,43,1923,53461,80343,http://iepct.mx/computos/2024/GUB/11/ACTA_COMPUTO.pdf
27,TABASCO,12,COMALCALCO,52,141,142,318,828,10629,1839,2305,996,36922,53837,21,1614,55472,83973,http://iepct.mx/computos/2024/GUB/12/ACTA_COMPUTO.pdf
27,TABASCO,13,CUNDUACAN,50,144,144,667,1293,1965,4184,2398,2228,38534,51269,18,2204,53491,86235,http://iepct.mx/computos/2024/GUB/13/ACTA_COMPUTO.pdf
27,TABASCO,14,EMILIANO ZAPATA,82,182,182,750,942,6448,3619,2415,5949,40507,60630,40,1568,62238,99078,http://iepct.mx/computos/2024/GUB/14/ACTA_COMPUTO.pdf
27,TABASCO,15,HUIMANGUILLO,63,147,147,313,522,3795,1706,1596,6864,28869,43665,18,1634,45317,77571,http://iepct.mx/computos/2024/GUB/15/ACTA_COMPUTO.pdf
27,TABASCO,16,MACUSPANA,70,176,177,1229,1651,1441,6411,5311,2138,35440,53621,26,1752,55399,100701,http://iepct.mx/computos/2024/GUB/16/ACTA_COMPUTO.pdf
27,TABASCO,17,JALPA DE MENDEZ,48,149,149,494,1014,7771,2193,8481,927,39035,59915,20,1806,61741,92030,http://iepct.mx/computos/2024/GUB/17/ACTA_COMPUTO.pdf
27,TABASCO,18,NACAJUCA,42,133,133,1099,1398,1425,2682,12366,1920,28523,49413,39,1136,50588,84869,http://iepct.mx/computos/2024/GUB/18/ACTA_COMPUTO.pdf
27,TABASCO,19,PARAISO,55,155,156,446,709,4198,2418,2857,4983,39518,55129,22,1663,56814,87772,http://iepct.mx/computos/2024/GUB/19/ACTA_COMPUTO.pdf
27,TABASCO,20,TEAPA,54,142,142,473,1085,996,2759,6178,5496,28261,45248,19,1941,47208,77904,http://iepct.mx/computos/2024/GUB/20/ACTA_COMPUTO.pdf
27,TABASCO,21,TENOSIQUE,88,174,174,1035,842,2323,2845,8246,2351,36882,54524,38,1836,56398,90319,http://iepct.mx/computos/2024/GUB/21/ACTA_COMPUTO.pdf
