CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,PAN_PRI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,27,TABASCO,1,CARDENAS,2,CARDENAS,71,7,7,65,40,291,104,87,129,1629,79,8,19,10,3,2464,1,71,2536,4619
3,27,TABASCO,1,CARDENAS,2,CARDENAS,72,4,4,17,31,119,55,57,52,1045,42,7,4,5,2,1436,0,52,1488,1118
3,27,TABASCO,1,CARDENAS,2,CARDENAS,80,1,1,3,6,36,13,19,15,212,20,0,0,0,7,331,0,13,344,652
3,27,TABASCO,1,CARDENAS,2,CARDENAS,81,3,3,19,16,109,36,38,42,546,31,1,4,6,1,849,0,22,871,1917
3,27,TABASCO,1,CARDENAS,2,CARDENAS,86,5,5,17,32,114,59,68,67,1370,49,1,18,7,2,1804,2,46,1852,3262
3,27,TABASCO,1,CARDENAS,2,CARDENAS,102,2,2,3,8,33,18,13,8,430,21,0,8,2,0,544,0,12,556,938
3,27,TABASCO,1,CARDENAS,2,CARDENAS,112,2,2,4,3,20,15,11,5,560,13,1,5,0,0,637,0,8,645,1082
3,27,TABASCO,1,CARDENAS,2,CARDENAS,113,2,2,0,0,46,13,11,6,385,15,0,0,0,1,477,0,20,497,855
3,27,TABASCO,1,CARDENAS,2,CARDENAS,114,2,2,0,13,110,16,20,7,340,10,4,3,2,0,525,0,28,553,972
3,27,TABASCO,1,CARDENAS,2,CARDENAS,115,2,2,6,5,45,13,12,8,344,15,0,4,6,0,458,0,20,478,913
3,27,TABASCO,1,CARDENAS,2,CARDENAS,116,2,2,3,11,46,22,8,8,274,14,5,8,1,0,400,0,20,420,758
3,27,TABASCO,1,CARDENAS,2,CARDENAS,126,2,2,7,4,42,27,14,8,486,11,0,5,9,0,613,0,25,638,992
3,27,TABASCO,1,CARDENAS,2,CARDENAS,128,3,3,0,16,35,9,12,12,736,9,0,0,3,1,833,0,28,861,1468
3,27,TABASCO,1,CARDENAS,2,CARDENAS,135,1,1,3,7,25,6,5,4,211,1,0,1,1,0,264,0,17,281,511
3,27,TABASCO,1,CARDENAS,2,CARDENAS,141,2,2,3,6,64,15,10,9,497,15,0,8,0,0,627,0,20,647,1372
3,27,TABASCO,1,CARDENAS,2,CARDENAS,157,3,3,10,15,42,41,17,16,978,33,2,12,11,0,1177,1,30,1208,2090
3,27,TABASCO,1,CARDENAS,2,CARDENAS,158,2,2,7,4,22,19,7,12,435,0,0,0,0,0,506,0,10,516,842
3,27,TABASCO,1,CARDENAS,2,CARDENAS,159,2,2,8,8,32,35,10,8,520,22,0,9,5,1,658,0,21,679,1298
3,27,TABASCO,1,CARDENAS,2,CARDENAS,161,2,2,3,11,51,17,12,19,697,17,1,5,6,0,839,0,23,862,1347
3,27,TABASCO,1,CARDENAS,2,CARDENAS,163,4,4,2,19,87,46,25,15,935,22,16,8,4,1,1180,0,35,1215,2268
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,699,4,4,8,9,76,25,23,63,1013,45,14,11,10,4,1301,1,38,1340,2153
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,700,2,2,12,11,46,19,18,50,548,30,1,6,6,1,748,1,22,771,1237
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,701,2,2,9,5,26,9,10,37,403,17,1,1,0,0,518,0,8,526,782
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,702,2,2,13,14,50,17,12,36,546,23,0,7,1,2,721,0,16,737,712
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,703,4,4,2,20,51,20,34,65,770,49,3,4,13,0,1031,1,29,1061,1827
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,704,3,3,5,4,73,20,21,47,685,26,3,12,6,0,902,1,23,926,1534
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,705,2,2,7,3,42,26,30,33,496,12,3,1,3,2,658,0,17,675,1174
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,706,4,4,8,29,114,37,24,60,799,87,3,14,8,0,1183,0,32,1215,2253
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,707,4,4,9,14,97,28,17,79,1006,21,7,11,6,2,1297,1,28,1326,2291
3,27,TABASCO,1,CARDENAS,8,HUIMANGUILLO,708,4,4,6,24,84,14,20,43,886,24,2,6,1,0,1110,0,35,1145,1801
