CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO,NUMERO_LISTA,PERSONA_CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
3,27,TABASCO,,,,,,,GOB,PVEM_PT_MORENA,1,JAVIER MAY RODRIGUEZ,1,,https://iepctabasco.mx/docs/acuerdos/2024/09JUN2024_ESP/1_CE-2024-080.pdf,MORENA
3,27,TABASCO,,,1,BALANCAN,,,PRES_MUN,PVEM_MORENA,1,BEATRIZ CASTAÑON FELIX,2,,https://iepctabasco.mx/computos/2024/PMR/1/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,1,BALANCAN,,,SIND_MR,PVEM_MORENA,2,EDGAR CHAN CASTRO,1,,https://iepctabasco.mx/computos/2024/PMR/1/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,1,BALANCAN,,,REG_MR,PVEM_MORENA,3,ORQUIDEA RESENDIZ MOSQUEDA,2,CANDIDATURAS DE PERSONAS JOVENES,https://iepctabasco.mx/computos/2024/PMR/1/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,2,CARDENAS,,,PRES_MUN,PVEM_MORENA,1,EUCLIDES ALEJANDRO ALEJANDRO,1,,https://iepctabasco.mx/computos/2024/PMR/2/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,2,CARDENAS,,,SIND_MR,PVEM_MORENA,2,SAIRA HERNANDEZ CORDOVA,2,CANDIDATURAS DE PERSONAS JOVENES,https://iepctabasco.mx/computos/2024/PMR/2/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,2,CARDENAS,,,REG_MR,PVEM_MORENA,3,SONIA LOPEZ GONZALEZ,2,,https://iepctabasco.mx/computos/2024/PMR/2/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,3,CENTLA,,,PRES_MUN,MORENA,1,SAUL ARMANDO RODRIGUEZ RODRIGUEZ,1,,https://iepctabasco.mx/computos/2024/PMR/3/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,3,CENTLA,,,SIND_MR,MORENA,2,MARIA DE JESUS BELTRAN CONTRERAS,2,,https://iepctabasco.mx/computos/2024/PMR/3/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,3,CENTLA,,,REG_MR,MORENA,3,GRISELDA ALEJANDRO ALEJANDRO,2,CANDIDATURAS INDIGENAS,https://iepctabasco.mx/computos/2024/PMR/3/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,4,CENTRO,,,PRES_MUN,MORENA,1,YOLANDA DEL CARMEN OSUNA HUERTA,2,,https://iepctabasco.mx/computos/2024/PMR/4/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,4,CENTRO,,,SIND_MR,MORENA,2,JOHNNY MAGAÑA ALVAREZ,1,,https://iepctabasco.mx/computos/2024/PMR/4/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,4,CENTRO,,,REG_MR,MORENA,3,MARIA CRISTINA PAYRO EVIA,2,CANDIDATURAS DE PERSONAS JOVENES,https://iepctabasco.mx/computos/2024/PMR/4/CONST_MAYORIA_VALIDEZ.pdf,MORENA
3,27,TABASCO,,,5,COMALCALCO,,,PRES_MUN,PVEM_MORENA,1,OVIDIO SALVADOR PERALTA SUAREZ,1,,https://iepctabasco.mx/computos/2024/PMR/5/CONST_MAYORIA_VALIDEZ.pdf,MORENA
