CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,PAN_PRI,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,1,B,1,0,B,0,14,119,0,21,14,0,131,0,0,0,0,0,0,0,5,11,3,4,1,323,8,6,337,467,ACTA CASILLA,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMABASOLO/0001_B1.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,2,B,1,0,B,0,13,126,0,22,12,0,112,0,0,0,0,0,0,0,12,20,1,1,6,325,2,11,338,530,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMABASOLO/0002_B1.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,2,C,1,0,C01,0,9,124,0,16,15,0,131,0,0,0,0,0,0,0,13,18,0,5,8,339,7,2,348,529,ACTA CASILLA,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMABASOLO/0002_C1.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,3,B,1,0,B,0,12,140,0,18,12,0,185,0,0,0,0,0,0,0,12,15,4,1,4,403,3,9,415,585,ACTA CASILLA,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMABASOLO/0003_B1.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,4,B,1,0,B,0,12,114,0,18,14,0,115,0,0,0,0,0,0,0,7,22,1,1,3,307,2,11,320,473,ACTA CASILLA,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMABASOLO/0004_B1.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,4,C,1,0,C01,0,8,142,0,21,7,0,106,0,0,0,0,0,0,0,1,15,3,3,2,308,8,9,325,473,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMABASOLO/0004_C1.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,5,B,1,0,B,0,19,187,0,31,24,0,183,0,0,0,0,0,0,0,11,20,2,7,5,489,4,20,513,715,ACTA CASILLA,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMABASOLO/0005_B1.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,6,B,1,0,B,0,17,163,0,29,17,0,210,0,0,0,0,0,0,0,15,10,3,6,9,479,4,7,490,706,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMABASOLO/0006_B1.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,8,B,1,0,B,0,4,113,0,31,18,0,234,0,0,0,0,0,0,0,4,18,2,3,5,432,1,7,440,701,ACTA CASILLA,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMABASOLO/0008_B1.pdf
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,9,B,1,0,B,0,8,125,0,30,18,0,207,0,0,0,0,0,0,0,4,8,6,3,8,417,7,16,440,700,GRUPO DE RECUENTO,,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Ayuntamientos/CMABASOLO/0009_B1.pdf
