ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,PAN_PRI,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
28,TAMAULIPAS,1,ABASOLO,11,16,16,168,2025,0,317,196,0,2229,,,,,,,,101,191,33,37,68,5365,90,135,5590,8270,https://www.ietam.org.mx/Portal/documentos/PE2021/Resultados/Actas/ActCom_Abasolo.pdf
28,TAMAULIPAS,2,ALDAMA,21,46,46,5445,129,77,145,295,940,6827,,,,,,,,52,143,22,19,94,14188,483,494,15165,23272,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Aldama.pdf
28,TAMAULIPAS,3,ALTAMIRA,86,298,299,15318,2271,4821,2849,2699,4222,60457,,,,,,,,501,2552,298,469,750,97207,63,2455,99725,188400,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Altamira.pdf
28,TAMAULIPAS,4,ANTIGUO MORELOS,7,14,14,3170,90,0,108,149,0,1677,,,,,,,,57,38,14,8,26,5337,0,97,5434,7388,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_AntiguoMorelos.pdf
28,TAMAULIPAS,5,BURGOS,8,13,13,2097,80,0,199,71,0,1062,,,,,,,,32,35,16,13,4,3609,2,103,3714,5133,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Burgos.pdf
28,TAMAULIPAS,6,BUSTAMANTE,9,15,15,2682,29,0,29,78,0,1456,,,,,,,,34,25,10,6,9,4358,54,65,4477,5952,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Bustamante.pdf
28,TAMAULIPAS,7,CAMARGO,15,26,26,2041,381,0,248,621,672,2874,,,,,,,,154,220,47,49,96,7403,1,241,7645,13447,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Camargo.pdf
28,TAMAULIPAS,8,CASAS,8,13,13,419,32,332,575,101,102,613,,,,,,,,22,212,56,35,13,2512,811,167,3490,4552,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Casas.pdf
28,TAMAULIPAS,9,CIUDAD MADERO,113,287,288,37218,2713,1423,2249,2692,5648,45927,,,,,,,,986,2301,184,364,505,102210,112,2040,104362,173633,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_CiudadMadero.pdf
28,TAMAULIPAS,10,CRUILLAS,5,7,7,1143,59,0,22,12,0,189,,,,,,,,24,4,1,0,2,1456,0,41,1497,2237,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Cruillas.pdf
28,TAMAULIPAS,11,GOMEZ FARIAS,7,18,18,2939,51,0,141,193,0,1524,,,,,,,,48,66,19,10,34,5025,23,165,5213,7282,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_GomezFarias.pdf
28,TAMAULIPAS,12,GONZALEZ,37,68,68,5230,293,163,415,435,1127,9306,,,,,,,,81,265,47,62,104,17528,11,590,18129,32840,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Gonzalez.pdf
28,TAMAULIPAS,13,GÜEMEZ,15,28,29,195,4997,0,100,176,714,3343,,,,,,,,92,63,24,10,51,9765,3,289,10057,13503,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Guemez.pdf
28,TAMAULIPAS,14,GUERRERO,3,6,6,34,24,0,12,750,609,200,,,,,,,,0,28,8,3,40,1708,1,75,1784,2614,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Guerrero.pdf
28,TAMAULIPAS,15,GUSTAVO DIAZ ORDAZ,14,27,27,2001,293,0,520,162,452,4593,,,,,,,,112,117,31,98,51,8430,7,234,8671,14153,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_GustavoDiazOrdaz.pdf
28,TAMAULIPAS,16,HIDALGO,21,31,32,262,177,91,254,256,219,8225,,,,,,,,8,186,22,30,66,9796,6,251,10053,14108,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Hidalgo.pdf
28,TAMAULIPAS,17,JAUMAVE,11,27,27,251,94,267,163,220,0,3777,0,3189,525,0,0,0,0,11,65,20,23,29,8634,43,300,8977,12511,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Actas/ActCom_Jaumave.pdf
